1504CD,139,,Linnaeusstraat,Zaandam
1504EA,1,,Abraham Kloosstraat,Zaandam
1541GX,8,,Zuiderkerkstraat,Koog aan de Zaan
1541GX,40,,Zuiderkerkstraat,Koog aan de Zaan
1502NR,2,,Kweekerstraat,Zaandam
1502NR,3,,Kweekerstraat,Zaandam
1502NR,4,,Kweekerstraat,Zaandam
1502NR,5,,Kweekerstraat,Zaandam
1502NR,6,,Kweekerstraat,Zaandam
1502NR,7,,Kweekerstraat,Zaandam
1502NR,8,,Kweekerstraat,Zaandam
1502NR,9,,Kweekerstraat,Zaandam
1502NR,10,,Kweekerstraat,Zaandam
1502NR,11,,Kweekerstraat,Zaandam
1502NR,12,,Kweekerstraat,Zaandam
1503CE,362,,Brandaris,Zaandam
1503CB,105,,Brandaris,Zaandam
1503CB,104,,Brandaris,Zaandam
1503CB,103,,Brandaris,Zaandam
1503CB,102,,Brandaris,Zaandam
1502PA,13,,Rosmolenstraat,Zaandam
1561AN,52,,Zuiderhoofdstraat,Krommenie
1502VX,9,,Redersstraat,Zaandam
1502VX,7,,Redersstraat,Zaandam
1502VX,5,,Redersstraat,Zaandam
1502VX,21,,Redersstraat,Zaandam
1502VZ,49,,Redersstraat,Zaandam
1502PB,25,,Rosmolenstraat,Zaandam
1502PG,46,,Rosmolenstraat,Zaandam
1502PG,54,,Rosmolenstraat,Zaandam
1502PG,58,,Rosmolenstraat,Zaandam
1502PG,52,,Rosmolenstraat,Zaandam
1502PG,50,,Rosmolenstraat,Zaandam
1502PB,39,,Rosmolenstraat,Zaandam
1502PG,48,,Rosmolenstraat,Zaandam
1502PG,44,,Rosmolenstraat,Zaandam
1502PG,62,,Rosmolenstraat,Zaandam
1561AM,38,,Zuiderhoofdstraat,Krommenie
1566TT,38,,Waterrijklaan,Assendelft
1566TV,51,,Luwte,Assendelft
1561AL,12,,Zuiderhoofdstraat,Krommenie
1502PG,42,,Rosmolenstraat,Zaandam
1502PG,56,,Rosmolenstraat,Zaandam
1502PG,40,,Rosmolenstraat,Zaandam
1561AL,4,,Zuiderhoofdstraat,Krommenie
1502VM,18,,Lijns Tewisz Roggeplein,Zaandam
1502VM,12,,Lijns Tewisz Roggeplein,Zaandam
1502PX,12,,Kopermolenstraat,Zaandam
1508EV,386,,Oostzijde,Zaandam
1507BE,1,,Adriaan Roggestraat,Zaandam
1506SP,54,,Czaar Peterstraat,Zaandam
1506DN,67,,Herengracht,Zaandam
1501AK,34,,Kattegat,Zaandam
1502BJ,72,,Oostzijde,Zaandam
1506AD,71,,Hogendijk,Zaandam
1502VC,52,,Bloemgracht,Zaandam
1502VC,54,,Bloemgracht,Zaandam
1506TG,86,,Botenmakersstraat,Zaandam
1506TG,84,,Botenmakersstraat,Zaandam
1506TG,82,,Botenmakersstraat,Zaandam
1541GA,39,,Emmastraat,Koog aan de Zaan
1541KK,28,,Boschjesstraat,Koog aan de Zaan
1541KK,34,,Boschjesstraat,Koog aan de Zaan
1521DG,17,,Hennepad,Wormerveer
1521DG,19,,Hennepad,Wormerveer
1521DG,21,,Hennepad,Wormerveer
1521EG,16,,Oversluispad,Wormerveer
1541KK,32,,Boschjesstraat,Koog aan de Zaan
1541KK,30,,Boschjesstraat,Koog aan de Zaan
1541GA,25,,Emmastraat,Koog aan de Zaan
1541AG,20,,Eendrachtstraat,Koog aan de Zaan
1541AG,16,,Eendrachtstraat,Koog aan de Zaan
1507CB,28,,Kleine Tocht,Zaandam
1541AG,22,,Eendrachtstraat,Koog aan de Zaan
1541AG,14,,Eendrachtstraat,Koog aan de Zaan
1541GA,9,,Emmastraat,Koog aan de Zaan
1541GA,11,,Emmastraat,Koog aan de Zaan
1541GA,13,,Emmastraat,Koog aan de Zaan
1541GA,17,,Emmastraat,Koog aan de Zaan
1541GA,19,,Emmastraat,Koog aan de Zaan
