1506CL,5,,Vinkenstraat,Zaandam
1509JB,32,,IJssel,Zaandam
1507AD,139,B,Westzanerdijk,Zaandam
1507AD,139,C,Westzanerdijk,Zaandam
1509BZ,5,,Zeilenmakerspad,Zaandam
1507AM,188,,Westzanerdijk,Zaandam
1544PV,7,,Nieuwe Vaartkade,Zaandijk
1544AB,2,,Smidslaan,Zaandijk
1507AS,416,,Westzanerdijk,Zaandam
1544PW,49,,Hazepad,Zaandijk
1544PS,27,,Langepad,Zaandijk
1504AK,73,,De Weer,Zaandam
1504AK,68,,De Weer,Zaandam
1504AK,74,,De Weer,Zaandam
1504AK,72,,De Weer,Zaandam
1506BX,7,,Syltpier,Zaandam
1506BX,24,,Syltpier,Zaandam
1506BX,52,,Syltpier,Zaandam
1504AK,71,,De Weer,Zaandam
1504AK,70,,De Weer,Zaandam
1504AK,69,,De Weer,Zaandam
1507AB,65,,Westzanerdijk,Zaandam
1544PT,12,,Domineestuin,Zaandijk
1544PT,6,,Domineestuin,Zaandijk
1544PT,10,,Domineestuin,Zaandijk
1506BX,50,,Syltpier,Zaandam
1509HA,14,,Waal,Zaandam
1509HA,34,,Waal,Zaandam
1509HA,30,,Waal,Zaandam
1509HA,28,,Waal,Zaandam
1509HA,26,,Waal,Zaandam
1509HA,24,,Waal,Zaandam
1509HA,22,,Waal,Zaandam
1509HA,20,,Waal,Zaandam
1509HA,18,,Waal,Zaandam
1509HA,16,,Waal,Zaandam
1509HA,38,,Waal,Zaandam
1509HB,52,,Waal,Zaandam
1509HB,54,,Waal,Zaandam
1509HB,56,,Waal,Zaandam
1509HB,58,,Waal,Zaandam
1509HB,60,,Waal,Zaandam
1509HA,36,,Waal,Zaandam
1509HB,3,,Waal,Zaandam
1509HA,40,,Waal,Zaandam
1509HA,12,,Waal,Zaandam
1509HA,2,,Waal,Zaandam
1509HA,4,,Waal,Zaandam
1509HB,5,,Waal,Zaandam
1509HA,6,,Waal,Zaandam
1509HB,7,,Waal,Zaandam
1509HA,8,,Waal,Zaandam
1509HB,9,,Waal,Zaandam
1509HA,10,,Waal,Zaandam
1509HB,1,,Waal,Zaandam
1509HS,12,,Voorster Beek,Zaandam
1509HS,10,,Voorster Beek,Zaandam
1509HS,7,,Voorster Beek,Zaandam
1509HS,11,,Voorster Beek,Zaandam
1509HS,2,,Voorster Beek,Zaandam
1509HT,13,,Voorster Beek,Zaandam
1509HS,8,,Voorster Beek,Zaandam
1509HS,6,,Voorster Beek,Zaandam
1509HS,5,,Voorster Beek,Zaandam
1509HS,4,,Voorster Beek,Zaandam
1509HS,3,,Voorster Beek,Zaandam
1509HC,104,,Waal,Zaandam
1509HC,102,,Waal,Zaandam
1509HC,100,,Waal,Zaandam
1509HS,1,,Voorster Beek,Zaandam
1509HS,9,,Voorster Beek,Zaandam
1509HT,25,,Voorster Beek,Zaandam
1509HT,24,,Voorster Beek,Zaandam
1509HT,23,,Voorster Beek,Zaandam
