1,3343EK,Soeteliefskamp,Hendrik-Ido-Ambacht
10,3344EK,Hooftlaantje,Hendrik-Ido-Ambacht
100,3344GK,Hooftlaantje,Hendrik-Ido-Ambacht
102,3344GK,Hooftlaantje,Hendrik-Ido-Ambacht
104,3344GK,Hooftlaantje,Hendrik-Ido-Ambacht
106,3344GK,Hooftlaantje,Hendrik-Ido-Ambacht
108,3344GK,Hooftlaantje,Hendrik-Ido-Ambacht
110,3344GK,Hooftlaantje,Hendrik-Ido-Ambacht
112,3344GK,Hooftlaantje,Hendrik-Ido-Ambacht
114,3344GK,Hooftlaantje,Hendrik-Ido-Ambacht
116,3344GK,Hooftlaantje,Hendrik-Ido-Ambacht
118,3344GK,Hooftlaantje,Hendrik-Ido-Ambacht
12,3344EK,Hooftlaantje,Hendrik-Ido-Ambacht
120,3344GK,Hooftlaantje,Hendrik-Ido-Ambacht
122,3344GK,Hooftlaantje,Hendrik-Ido-Ambacht
124,3344GK,Hooftlaantje,Hendrik-Ido-Ambacht
126,3344GK,Hooftlaantje,Hendrik-Ido-Ambacht
128,3344GK,Hooftlaantje,Hendrik-Ido-Ambacht
130,3344GK,Hooftlaantje,Hendrik-Ido-Ambacht
132,3344GK,Hooftlaantje,Hendrik-Ido-Ambacht
134,3344GK,Hooftlaantje,Hendrik-Ido-Ambacht
136,3344GK,Hooftlaantje,Hendrik-Ido-Ambacht
138,3344GK,Hooftlaantje,Hendrik-Ido-Ambacht
14,3344EK,Hooftlaantje,Hendrik-Ido-Ambacht
140,3344GK,Hooftlaantje,Hendrik-Ido-Ambacht
142,3344GK,Hooftlaantje,Hendrik-Ido-Ambacht
144,3344GK,Hooftlaantje,Hendrik-Ido-Ambacht
16,3344EK,Hooftlaantje,Hendrik-Ido-Ambacht
18,3344EK,Hooftlaantje,Hendrik-Ido-Ambacht
2,3344EK,Hooftlaantje,Hendrik-Ido-Ambacht
20,3344EK,Hooftlaantje,Hendrik-Ido-Ambacht
22,3344EK,Hooftlaantje,Hendrik-Ido-Ambacht
24,3344EK,Hooftlaantje,Hendrik-Ido-Ambacht
26,3344EK,Hooftlaantje,Hendrik-Ido-Ambacht
28,3344EK,Hooftlaantje,Hendrik-Ido-Ambacht
30,3344EK,Hooftlaantje,Hendrik-Ido-Ambacht
32,3344EK,Hooftlaantje,Hendrik-Ido-Ambacht
5,3343BC,Kievit,Hendrik-Ido-Ambacht
6,3343BC,Kievit,Hendrik-Ido-Ambacht
7,3343BC,Kievit,Hendrik-Ido-Ambacht
8,3343BC,Kievit,Hendrik-Ido-Ambacht
1,3343BD,Klerkskensland,Hendrik-Ido-Ambacht
11,3343BD,Klerkskensland,Hendrik-Ido-Ambacht
13,3343BD,Klerkskensland,Hendrik-Ido-Ambacht
15,3343BD,Klerkskensland,Hendrik-Ido-Ambacht
17,3343BD,Klerkskensland,Hendrik-Ido-Ambacht
18,3343BD,Klerkskensland,Hendrik-Ido-Ambacht
19,3343BD,Klerkskensland,Hendrik-Ido-Ambacht
20,3343BD,Klerkskensland,Hendrik-Ido-Ambacht
21,3343BD,Klerkskensland,Hendrik-Ido-Ambacht
22,3343BD,Klerkskensland,Hendrik-Ido-Ambacht
23,3343BD,Klerkskensland,Hendrik-Ido-Ambacht
24,3343BD,Klerkskensland,Hendrik-Ido-Ambacht
3,3343BD,Klerkskensland,Hendrik-Ido-Ambacht
5,3343BD,Klerkskensland,Hendrik-Ido-Ambacht
7,3343BD,Klerkskensland,Hendrik-Ido-Ambacht
9,3343BD,Klerkskensland,Hendrik-Ido-Ambacht
1,3344CC,Koningsvaren,Hendrik-Ido-Ambacht
10,3344CD,Koningsvaren,Hendrik-Ido-Ambacht
11,3344CC,Koningsvaren,Hendrik-Ido-Ambacht
12,3344CD,Koningsvaren,Hendrik-Ido-Ambacht
13,3344CC,Koningsvaren,Hendrik-Ido-Ambacht
14,3344CD,Koningsvaren,Hendrik-Ido-Ambacht
15,3344CC,Koningsvaren,Hendrik-Ido-Ambacht
