2628JD,68,,Kloosterkade,Delft
2612CC,131,,Brasserskade,Delft
2612CC,133,,Brasserskade,Delft
2612CC,163,,Brasserskade,Delft
2612CC,165,,Brasserskade,Delft
2612CC,141,,Brasserskade,Delft
2612CC,143,,Brasserskade,Delft
2612CC,145,,Brasserskade,Delft
2612CC,147,,Brasserskade,Delft
2612CD,213,,Brasserskade,Delft
2612CA,71,,Brasserskade,Delft
2612CA,73,,Brasserskade,Delft
2612CA,59,,Brasserskade,Delft
2612CA,69,,Brasserskade,Delft
2612CA,63,,Brasserskade,Delft
2612CA,65,,Brasserskade,Delft
2612CA,67,,Brasserskade,Delft
2612CB,93,,Brasserskade,Delft
2612CJ,192,,Brasserskade,Delft
2612CJ,162,,Brasserskade,Delft
2612CJ,164,,Brasserskade,Delft
2612CJ,166,,Brasserskade,Delft
2612CJ,168,,Brasserskade,Delft
2612CJ,170,,Brasserskade,Delft
2612CJ,172,,Brasserskade,Delft
2612CJ,180,,Brasserskade,Delft
2612CJ,182,,Brasserskade,Delft
2612CJ,184,,Brasserskade,Delft
2612CJ,186,,Brasserskade,Delft
2612CJ,188,,Brasserskade,Delft
2612CJ,160,,Brasserskade,Delft
2612CJ,174,,Brasserskade,Delft
2612CJ,176,,Brasserskade,Delft
2612CJ,178,,Brasserskade,Delft
2612CJ,190,,Brasserskade,Delft
2612CJ,158,,Brasserskade,Delft
2612CJ,156,,Brasserskade,Delft
2612AJ,68,,Bankastraat,Delft
2612CJ,154,,Brasserskade,Delft
2612CJ,152,,Brasserskade,Delft
2612CJ,150,,Brasserskade,Delft
2612CH,148,,Brasserskade,Delft
2612CH,146,,Brasserskade,Delft
2612CB,89,,Brasserskade,Delft
2612CB,87,,Brasserskade,Delft
2612CD,215,,Brasserskade,Delft
2612AN,3,,Javastraat,Delft
2612AN,5,,Javastraat,Delft
2612AN,9,,Javastraat,Delft
2612AN,11,,Javastraat,Delft
2612AN,13,,Javastraat,Delft
2612AN,15,,Javastraat,Delft
2612AN,17,,Javastraat,Delft
2612AN,21,,Javastraat,Delft
2612AN,23,,Javastraat,Delft
2612AP,29,,Javastraat,Delft
2612AP,31,,Javastraat,Delft
2612AP,35,,Javastraat,Delft
2612AP,37,,Javastraat,Delft
2612AP,39,,Javastraat,Delft
2612AP,41,,Javastraat,Delft
2612AP,43,,Javastraat,Delft
2612AP,47,,Javastraat,Delft
2612AP,49,,Javastraat,Delft
2612AP,51,,Javastraat,Delft
2612AP,53,,Javastraat,Delft
2612AP,55,,Javastraat,Delft
2612AP,59,,Javastraat,Delft
2612AP,61,,Javastraat,Delft
2612AN,7,,Javastraat,Delft
2612AN,19,,Javastraat,Delft
2612AP,33,,Javastraat,Delft
2612AP,45,,Javastraat,Delft
2612AP,57,,Javastraat,Delft
2612AN,25,,Javastraat,Delft
2612AP,27,,Javastraat,Delft
2612AP,63,,Javastraat,Delft
2612AR,4,,Javastraat,Delft
2612AR,6,,Javastraat,Delft
2612AR,8,,Javastraat,Delft
2612AR,10,,Javastraat,Delft
2612AR,12,,Javastraat,Delft
2612AR,14,,Javastraat,Delft
2612AR,18,,Javastraat,Delft
2612AR,20,,Javastraat,Delft
2612AR,22,,Javastraat,Delft
2612AR,24,,Javastraat,Delft
2612AR,26,,Javastraat,Delft
2612AR,28,,Javastraat,Delft
2612AR,32,,Javastraat,Delft
2612AR,34,,Javastraat,Delft
2612AR,36,,Javastraat,Delft
2612AR,38,,Javastraat,Delft
2612AS,40,,Javastraat,Delft
2612AS,42,,Javastraat,Delft
2612AS,46,,Javastraat,Delft
2612AS,48,,Javastraat,Delft
2612AS,50,,Javastraat,Delft
2612AS,52,,Javastraat,Delft
2612AS,54,,Javastraat,Delft
2612AS,56,,Javastraat,Delft
2612AS,60,,Javastraat,Delft
2612AS,62,,Javastraat,Delft
2612AS,64,,Javastraat,Delft
2612AS,66,,Javastraat,Delft
2612AS,68,,Javastraat,Delft
2612AR,16,,Javastraat,Delft
2612AR,30,,Javastraat,Delft
2612AS,44,,Javastraat,Delft
2612AS,58,,Javastraat,Delft
2612AS,70,,Javastraat,Delft
2612AK,6,,Celebesstraat,Delft
2612AK,8,,Celebesstraat,Delft
2612AK,10,,Celebesstraat,Delft
2612AK,12,,Celebesstraat,Delft
2612AK,14,,Celebesstraat,Delft
2612AK,16,,Celebesstraat,Delft
2612AK,18,,Celebesstraat,Delft
2612AK,20,,Celebesstraat,Delft
2612CK,1,,Vrijenbanselaan,Delft
2612CK,3,,Vrijenbanselaan,Delft
2612CK,5,,Vrijenbanselaan,Delft
