3312SN,60,,Kokmeeuwstraat,Dordrecht
3318JW,93,,P.A. de Kok-plein,Dordrecht
3318JW,95,,P.A. de Kok-plein,Dordrecht
3318JW,96,,P.A. de Kok-plein,Dordrecht
3318JW,107,,P.A. de Kok-plein,Dordrecht
3318JW,108,,P.A. de Kok-plein,Dordrecht
3318JW,109,,P.A. de Kok-plein,Dordrecht
3318JW,110,,P.A. de Kok-plein,Dordrecht
3318JW,111,,P.A. de Kok-plein,Dordrecht
3318JW,113,,P.A. de Kok-plein,Dordrecht
3318JW,114,,P.A. de Kok-plein,Dordrecht
3318JW,115,,P.A. de Kok-plein,Dordrecht
3318JW,116,,P.A. de Kok-plein,Dordrecht
3318JW,117,,P.A. de Kok-plein,Dordrecht
3318JW,118,,P.A. de Kok-plein,Dordrecht
3318JW,119,,P.A. de Kok-plein,Dordrecht
3318JW,120,,P.A. de Kok-plein,Dordrecht
3318JW,121,,P.A. de Kok-plein,Dordrecht
3318JW,122,,P.A. de Kok-plein,Dordrecht
3318JW,125,,P.A. de Kok-plein,Dordrecht
3318JW,126,,P.A. de Kok-plein,Dordrecht
3318JW,127,,P.A. de Kok-plein,Dordrecht
3318JW,129,,P.A. de Kok-plein,Dordrecht
3318JW,130,,P.A. de Kok-plein,Dordrecht
3318JW,131,,P.A. de Kok-plein,Dordrecht
3318JW,132,,P.A. de Kok-plein,Dordrecht
3318JW,133,,P.A. de Kok-plein,Dordrecht
3318JW,134,,P.A. de Kok-plein,Dordrecht
3318JW,136,,P.A. de Kok-plein,Dordrecht
3318JW,137,,P.A. de Kok-plein,Dordrecht
3318JW,138,,P.A. de Kok-plein,Dordrecht
3318JW,140,,P.A. de Kok-plein,Dordrecht
3318JW,141,,P.A. de Kok-plein,Dordrecht
3318JW,142,,P.A. de Kok-plein,Dordrecht
3318JW,143,,P.A. de Kok-plein,Dordrecht
3318JW,144,,P.A. de Kok-plein,Dordrecht
3318JW,145,,P.A. de Kok-plein,Dordrecht
3318JW,147,,P.A. de Kok-plein,Dordrecht
3318JW,148,,P.A. de Kok-plein,Dordrecht
3318JW,149,,P.A. de Kok-plein,Dordrecht
3318JW,153,,P.A. de Kok-plein,Dordrecht
3318JW,151,,P.A. de Kok-plein,Dordrecht
3318JW,152,,P.A. de Kok-plein,Dordrecht
