1,2984AT,Kolenbranderstraat,Ridderkerk
5,2984BG,Ridderpoort,Ridderkerk
4,2984BG,Ridderpoort,Ridderkerk
2,2984BG,Ridderpoort,Ridderkerk
30,2984AR,Brouwerstraat,Ridderkerk
7,2982VK,Ir. Albardastraat,Ridderkerk
69,2982VB,Groen van Prinstererweg,Ridderkerk
28,2987EH,Krammerhof,Ridderkerk
12,2982VS,Lohmanpark,Ridderkerk
8,2982VS,Lohmanpark,Ridderkerk
7,2982VS,Lohmanpark,Ridderkerk
3,2982VS,Lohmanpark,Ridderkerk
28,2982VS,Lohmanpark,Ridderkerk
16,2982VS,Lohmanpark,Ridderkerk
13,2982VS,Lohmanpark,Ridderkerk
69,2982RB,Jhr. De Savornin Lohmanstraat,Ridderkerk
55,2982RB,Jhr. De Savornin Lohmanstraat,Ridderkerk
57,2982RB,Jhr. De Savornin Lohmanstraat,Ridderkerk
89,2986HA,Brasem,Ridderkerk
69,2986HA,Brasem,Ridderkerk
70,2986HA,Brasem,Ridderkerk
125,2986HA,Brasem,Ridderkerk
113,2986HA,Brasem,Ridderkerk
115,2986HA,Brasem,Ridderkerk
116,2986HA,Brasem,Ridderkerk
102,2986HA,Brasem,Ridderkerk
82,2986HA,Brasem,Ridderkerk
9,2986PA,Karper,Ridderkerk
182,2986HB,Brasem,Ridderkerk
174,2986HB,Brasem,Ridderkerk
265,2983GD,Benedenrijweg,Ridderkerk
269,2983GD,Benedenrijweg,Ridderkerk
71,2982CC,Beukenhof,Ridderkerk
50,2987CW,Slingehof,Ridderkerk
54,2987CS,Noordstraat,Ridderkerk
11,2987SB,Rijnsingel,Ridderkerk
355,2988AC,Lagendijk,Ridderkerk
339,2988AB,Lagendijk,Ridderkerk
164,2988AD,Lagendijk,Ridderkerk
317,2988AB,Lagendijk,Ridderkerk
72,2982CE,Beukenhof,Ridderkerk
26,2982CD,Beukenhof,Ridderkerk
148,2983RK,Nassaustraat,Ridderkerk
97,2983HN,Oranjestraat,Ridderkerk
169,2986EL,Rosmolen,Ridderkerk
