4142EB,12,,Populierstraat,Leerdam
4143GB,28,,Palissade,Leerdam
4141ML,4,,Riga,Leerdam
4143BG,13,,Sarvaasstraat,Leerdam
4142VC,121,,Patrimoniumstraat,Leerdam
4141EV,4,,Prinses Margrietstraat,Leerdam
4141ET,35,,Prinses Margrietstraat,Leerdam
4142WG,15,,Tamarindeplein,Leerdam
4143AP,93,,Sperwerlaan,Leerdam
4143AR,145,,Sperwerlaan,Leerdam
4142TA,9,,Spartaveld,Leerdam
4142TD,61,,Spartaveld,Leerdam
4143AT,16,,Sperwerlaan,Leerdam
4141HT,24,,Watertorenlaan,Leerdam
4143BN,9,,Van Egmondstraat,Leerdam
4141DP,17,,Van Aalststraat,Leerdam
4142EH,73,,Tiendweg,Leerdam
4143BV,13,,Van Naaldwijcklaan,Leerdam
4143BL,1,,Verstolkstraat,Leerdam
4145KJ,26,,Koningin Wilhelminastraat,Schoonrewoerd
4141CK,33,,Vlietskant,Leerdam
4145KD,46,,Dorpsstraat,Schoonrewoerd
4145NM,76,,Kortgerecht,Schoonrewoerd
4145KL,33,,Koningin Julianastraat,Schoonrewoerd
4141AP,27,,Westwal,Leerdam
4141MX,14,,Wilna,Leerdam
4143LN,25,,Recht van ter Leede,Leerdam
4142BR,13,,De Stigterstraat,Leerdam
4145KT,26,,Overheicop,Schoonrewoerd
4142VL,74,,Patrimoniumstraat,Leerdam
4247EL,14,,Kerkstraat,Kedichem
4145KH,61,,Koningin Wilhelminastraat,Schoonrewoerd
4145KN,5,,Prins Bernhardstraat,Schoonrewoerd
4143EP,4,,Eiland,Leerdam
4143EP,10,,Eiland,Leerdam
4143EP,16,,Eiland,Leerdam
4143ER,52,,Eiland,Leerdam
4143ER,57,,Eiland,Leerdam
4143ES,29,,Eiland,Leerdam
4143ES,35,,Eiland,Leerdam
4143ES,40,,Eiland,Leerdam
4143ES,46,,Eiland,Leerdam
4143ES,51,,Eiland,Leerdam
4247GA,38,,Burgemeester Schefferhof,Kedichem
4247EG,71,,Lingedijk,Kedichem
4247ET,6,,Nieuweweg,Kedichem
4143GA,27,,Palissade,Leerdam
4143GA,29,,Palissade,Leerdam
4143GA,31,,Palissade,Leerdam
4143GA,33,,Palissade,Leerdam
4143GA,35,,Palissade,Leerdam
4143GA,37,,Palissade,Leerdam
4143GA,39,,Palissade,Leerdam
4143GA,41,,Palissade,Leerdam
4143GA,43,,Palissade,Leerdam
4143GA,45,,Palissade,Leerdam
4143GA,47,,Palissade,Leerdam
4143GA,49,,Palissade,Leerdam
4143GA,51,,Palissade,Leerdam
4143GA,53,,Palissade,Leerdam
4143GA,55,,Palissade,Leerdam
4143GA,57,,Palissade,Leerdam
4143GA,59,,Palissade,Leerdam
4143GA,61,,Palissade,Leerdam
4143GA,63,,Palissade,Leerdam
4143GA,65,,Palissade,Leerdam
4143GA,67,,Palissade,Leerdam
4143GA,69,,Palissade,Leerdam
4143GA,71,,Palissade,Leerdam
4143GA,73,,Palissade,Leerdam
4143GA,75,,Palissade,Leerdam
4143GA,77,,Palissade,Leerdam
4143GA,79,,Palissade,Leerdam
4143GA,81,,Palissade,Leerdam
4143GA,83,,Palissade,Leerdam
4143GA,85,,Palissade,Leerdam
4143GA,89,,Palissade,Leerdam
4143GA,91,,Palissade,Leerdam
4143GA,93,,Palissade,Leerdam
4143GA,95,,Palissade,Leerdam
4143GA,97,,Palissade,Leerdam
4143GA,99,,Palissade,Leerdam
4143GA,101,,Palissade,Leerdam
4143GA,103,,Palissade,Leerdam
4247EP,19,,Cornelis Verheuvelstraat,Kedichem
4247EC,1,,De Geer,Kedichem
4247EC,2,,De Geer,Kedichem
4247EC,3,,De Geer,Kedichem
4247EC,5,,De Geer,Kedichem
4247EC,6,,De Geer,Kedichem
4247EC,7,,De Geer,Kedichem
4247EC,9,,De Geer,Kedichem
4247EC,11,,De Geer,Kedichem
4247EC,13,,De Geer,Kedichem
4247EK,1,,Kerkstraat,Kedichem
4247EL,2,,Kerkstraat,Kedichem
4247EK,3,,Kerkstraat,Kedichem
4247EK,5,,Kerkstraat,Kedichem
