2312HM,158,,Oude Rijn,Leiden
2312HP,2,,Dullebakkersteeg,Leiden
2312JC,12,,Nieuwe Rijn,Leiden
2312JK,80,,Nieuwe Rijn,Leiden
2312JK,82,,Nieuwe Rijn,Leiden
2312KJ,10,,Middelweg,Leiden
2312KM,13,,Hooigracht,Leiden
2312KM,27,,Hooigracht,Leiden
2311GM,131,,Rapenburg,Leiden
2312KR,2,,Hooigracht,Leiden
2312KW,86,,Hooigracht,Leiden
2312LA,33,,Herengracht,Leiden
2312LB,35,,Herengracht,Leiden
2312LD,8,,Herengracht,Leiden
2312LE,60,,Herengracht,Leiden
2312LP,7,,Ververstraat,Leiden
2312MD,5,,Zijlstraat,Leiden
2312NN,30,,Korte Mare,Leiden
2312PK,4,,Zandstraat,Leiden
2312PW,3,,Brandewijnsgracht,Leiden
2312RA,18,,Oude Singel,Leiden
2312RG,138,,Oude Singel,Leiden
2312RN,101,,Waardgracht,Leiden
2312RN,105,,Waardgracht,Leiden
2312RN,109,,Waardgracht,Leiden
2312RN,73,,Waardgracht,Leiden
2312RN,77,,Waardgracht,Leiden
2312RN,81,,Waardgracht,Leiden
2312RN,85,,Waardgracht,Leiden
2312RN,89,,Waardgracht,Leiden
2312RN,97,,Waardgracht,Leiden
2312SG,101,,Kaarsenmakersstraat,Leiden
2312SG,105,,Kaarsenmakersstraat,Leiden
2312SG,107,,Kaarsenmakersstraat,Leiden
2312SG,109,,Kaarsenmakersstraat,Leiden
2312SG,11,,Kaarsenmakersstraat,Leiden
2312SG,111,,Kaarsenmakersstraat,Leiden
2312SG,115,,Kaarsenmakersstraat,Leiden
2312SG,117,,Kaarsenmakersstraat,Leiden
2312SG,119,,Kaarsenmakersstraat,Leiden
2312SG,121,,Kaarsenmakersstraat,Leiden
2312SG,13,,Kaarsenmakersstraat,Leiden
2312SG,15,,Kaarsenmakersstraat,Leiden
2312SG,17,,Kaarsenmakersstraat,Leiden
2312SG,19,,Kaarsenmakersstraat,Leiden
2312SG,21,,Kaarsenmakersstraat,Leiden
2312SG,2,3,Kaarsenmakersstraat,Leiden
2312SG,2,5,Kaarsenmakersstraat,Leiden
2312SG,2,7,Kaarsenmakersstraat,Leiden
2312SG,2,9,Kaarsenmakersstraat,Leiden
2312SG,31,,Kaarsenmakersstraat,Leiden
2312SG,35,,Kaarsenmakersstraat,Leiden
2312SG,37,,Kaarsenmakersstraat,Leiden
2312SG,39,,Kaarsenmakersstraat,Leiden
2312SG,41,,Kaarsenmakersstraat,Leiden
2312SG,43,,Kaarsenmakersstraat,Leiden
2312SG,45,,Kaarsenmakersstraat,Leiden
2312SG,47,,Kaarsenmakersstraat,Leiden
2312SG,49,,Kaarsenmakersstraat,Leiden
2312SG,51,,Kaarsenmakersstraat,Leiden
2312SG,53,,Kaarsenmakersstraat,Leiden
2312SG,57,,Kaarsenmakersstraat,Leiden
2312SG,59,,Kaarsenmakersstraat,Leiden
2312SG,61,,Kaarsenmakersstraat,Leiden
2312SG,63,,Kaarsenmakersstraat,Leiden
2312SG,65,,Kaarsenmakersstraat,Leiden
2312SG,67,,Kaarsenmakersstraat,Leiden
2312SG,69,,Kaarsenmakersstraat,Leiden
2312SG,71,,Kaarsenmakersstraat,Leiden
2312SG,73,,Kaarsenmakersstraat,Leiden
2312SG,77,,Kaarsenmakersstraat,Leiden
2312SG,79,,Kaarsenmakersstraat,Leiden
2312SG,81,,Kaarsenmakersstraat,Leiden
2312SG,83,,Kaarsenmakersstraat,Leiden
2312SG,87,,Kaarsenmakersstraat,Leiden
2312SG,89,,Kaarsenmakersstraat,Leiden
2312SG,91,,Kaarsenmakersstraat,Leiden
2312SG,93,,Kaarsenmakersstraat,Leiden
2312SG,95,,Kaarsenmakersstraat,Leiden
2312SG,99,,Kaarsenmakersstraat,Leiden
2312SW,65,,Vestestraat,Leiden
2312TH,168,,Uiterstegracht,Leiden
2312TV,129,,Middelstegracht,Leiden
2312VL,20,,Vollersgracht,Leiden
2312VR,7,,Van der Werfstraat,Leiden
2312VS,23,,Van der Werfstraat,Leiden
2312VS,25,,Van der Werfstraat,Leiden
2312VT,29,,Van der Werfstraat,Leiden
2312VT,33,,Van der Werfstraat,Leiden
2312VT,35,,Van der Werfstraat,Leiden
2312VT,41,,Van der Werfstraat,Leiden
2312VV,53,,Van der Werfstraat,Leiden
2312VW,2,,Van der Werfstraat,Leiden
2312WD,73,,Janvossensteeg,Leiden
2312XM,9,,Groeneveldstichting,Leiden
2312XX,181,,Oude Vest,Leiden
2312XZ,207,,Oude Vest,Leiden
2312XZ,223,,Oude Vest,Leiden
2312XZ,225,,Oude Vest,Leiden
2312XZ,233,,Oude Vest,Leiden
2312XZ,237,,Oude Vest,Leiden
2312XZ,239,,Oude Vest,Leiden
2312ZR,18,,President Steinstraat,Leiden
2313AG,87,,Herenstraat,Leiden
2313AV,9,,Prinses Wilhelminastraat,Leiden
2313DM,36,,Lammenschansweg,Leiden
2313ER,18,,Fruinlaan,Leiden
2313JP,66,,De Meij van Streefkerkstraat,Leiden
2313JP,68,,De Meij van Streefkerkstraat,Leiden
