3421KR,26,,Tros,Oudewater
3421GW,208,,Willeskop,Oudewater
3464HT,12,,Papekopperdijk,Papekop
3425TD,137,,Waardsedijk,Snelrewaard
3421GK,64,,Goudse straatweg,Oudewater
3421VL,20,,Hekendorperweg,Oudewater
3421AH,4,,Visbrug,Oudewater
3421CN,5,,Zuid-IJsselkade,Oudewater
3421AM,12,,Peperstraat,Oudewater
3421TX,47,,Populierenweg,Oudewater
3421CL,18,,Molenstraat,Oudewater
3421VE,22,,Schakenbosdreef,Oudewater
3421HR,3,,Jhr. A. van Swietenstraat,Oudewater
3421AP,35,,Marktstraat,Oudewater
3421XN,91,,Papenhoeflaan,Oudewater
3421VS,3,,Boezemsingel,Oudewater
3421GT,1,,De Meent,Oudewater
3421TZ,4,,E.C. Rahmspad,Oudewater
3421SJ,41,,Lange Burchwal,Oudewater
3421AZ,3,,West-IJsselkade,Oudewater
3421TJ,26,,Westsingel,Oudewater
3421EC,8,,van der Griendstraat,Oudewater
3421EC,19,,van der Griendstraat,Oudewater
3421SW,10,,Vinkenbuurt,Oudewater
3421AD,68,,Leeuweringerstraat,Oudewater
3421BG,4,,Lefébureplein,Oudewater
3421BG,18,,Lefébureplein,Oudewater
3421BG,42,,Lefébureplein,Oudewater
3421BG,56,,Lefébureplein,Oudewater
3421JH,8,,Lijnbaan,Oudewater
3421HJ,6,,Prinses Christinastraat,Oudewater
3421XT,90,,Papenhoeflaan,Oudewater
3421CH,33,,Vliet,Oudewater
3421JH,14,,Lijnbaan,Oudewater
3421JH,20,,Lijnbaan,Oudewater
3421JH,26,,Lijnbaan,Oudewater
3421JH,34,,Lijnbaan,Oudewater
3421JH,50,,Lijnbaan,Oudewater
3421JH,76,,Lijnbaan,Oudewater
3421JH,88,,Lijnbaan,Oudewater
3421BB,24,,Rodezand,Oudewater
3421JT,126,,Strengen,Oudewater
3421JT,150,,Strengen,Oudewater
3421TM,4,,Tappersheul,Oudewater
3421GW,166,,Willeskop,Oudewater
3421CT,12,,Ravelijnstraat,Oudewater
3421AV,17,,Rootstraat,Oudewater
3421TV,19,,Wilgenweg,Oudewater
3421GW,186,,Willeskop,Oudewater
3421GW,202,,Willeskop,Oudewater
3421AB,51,,Leeuweringerstraat,Oudewater
3421AB,59,,Leeuweringerstraat,Oudewater
3421AB,57,,Leeuweringerstraat,Oudewater
3421HJ,16,,Prinses Christinastraat,Oudewater
3421XN,77,,Papenhoeflaan,Oudewater
3421EE,14,,Oude Singel,Oudewater
3421ED,21,,Oude Singel,Oudewater
3421VK,2,4,Hekendorperweg,Oudewater
3421SC,57,,Wijngaardstraat,Oudewater
3421ED,31,,Oude Singel,Oudewater
3421ED,41,,Oude Singel,Oudewater
3421EG,52,,Oude Singel,Oudewater
3421EG,62,,Oude Singel,Oudewater
3421EG,68,,Oude Singel,Oudewater
3421EG,86,,Oude Singel,Oudewater
3421AV,7,,Rootstraat,Oudewater
3467PT,15,,Kolonel Stamfordstraat,Hekendorp
3421TV,24,,Wilgenweg,Oudewater
3421GV,89,,Willeskop,Oudewater
3421GR,2,,Oude Utrechtse straatweg,Oudewater
3421GX,1,,Oudeweg,Oudewater
3464HT,25,,Papekopperdijk,Papekop
3421XL,20,,De Cope,Oudewater
3421JC,50,,Koningin Julianastraat,Oudewater
3421GK,44,,Goudse straatweg,Oudewater
3421BP,4,,Romeijnstraat,Oudewater
3421BG,2,,Lefébureplein,Oudewater
3421JT,112,,Strengen,Oudewater
3421JM,7,,Twijnen,Oudewater
3425ER,9,,Laan van Snelrewaard,Snelrewaard
3421KL,4,,Garen,Oudewater
3421VL,44,,Hekendorperweg,Oudewater
3421TX,51,,Populierenweg,Oudewater
3421TR,4,,G.R. van Kinschotstraat,Oudewater
3421SR,4,,Gasthuissteeg,Oudewater
3421GH,75,,Goudse straatweg,Oudewater
3421XM,19,,Papenhoeflaan,Oudewater
3421EA,1,,Amsterdamse Veer,Oudewater
3421JA,13,,Koningin Julianastraat,Oudewater
3421JC,44,,Koningin Julianastraat,Oudewater
3421XK,21,,De Cope,Oudewater
3421GT,16,,De Meent,Oudewater
3421AR,18,,Marktstraat,Oudewater
3421AM,11,,Peperstraat,Oudewater
3421HH,11,,Prinses Irenestraat,Oudewater
3425EV,32,,Pastoorsakker,Snelrewaard
3421AZ,2,,West-IJsselkade,Oudewater
3421VP,22,,Ambachtsdreef,Oudewater
3421SL,46,,Lange Burchwal,Oudewater
3421KL,36,,Garen,Oudewater
3421AD,48,,Leeuweringerstraat,Oudewater
3421KL,5,,Garen,Oudewater
3421JK,43,,Hennepakker,Oudewater
3421JC,64,,Koningin Julianastraat,Oudewater
3421JW,1,,Hekelen,Oudewater
3467PR,56,,Goejanverwelle,Hekendorp
3421TG,13,,Essenweg,Oudewater
3421JT,134,,Strengen,Oudewater
3421XC,113,,Dijkgraaflaan,Oudewater
3421KZ,25,,Kabelslag,Oudewater
3421JD,33,,Prins Bernhardstraat,Oudewater
3464HL,4,,Papekopperstraatweg,Papekop
3421XG,80,,Dijkgraaflaan,Oudewater
3421XG,52,,Dijkgraaflaan,Oudewater
3421XB,69,,Dijkgraaflaan,Oudewater
3425TD,107,,Waardsedijk,Snelrewaard
3421TP,53,,G.R. van Kinschotstraat,Oudewater
3421VS,6,,Boezemsingel,Oudewater
3421GH,61,,Goudse straatweg,Oudewater
3421KM,14,,Kokos,Oudewater
3421VK,2,8,Hekendorperweg,Oudewater
3421VJ,19,,Hekendorperweg,Oudewater
3467PT,19,,Kolonel Stamfordstraat,Hekendorp
3425ES,35,,Laan van Snelrewaard,Snelrewaard
3425EP,75,,Zuid-Linschoterzandweg,Snelrewaard
3467PR,54,,Goejanverwelle,Hekendorp
3425TG,44,,Waardsedijk,Snelrewaard
3421KL,39,,Garen,Oudewater
3421GV,115,,Willeskop,Oudewater
3421HB,5,,Prinses Margrietstraat,Oudewater
3421KL,32,,Garen,Oudewater
3421HJ,10,,Prinses Christinastraat,Oudewater
3421ED,15,,Oude Singel,Oudewater
3421AS,1,,Donkere Gaard,Oudewater
3421VL,14,,Hekendorperweg,Oudewater
3421TT,22,,Elzenweg,Oudewater
3421EG,58,,Oude Singel,Oudewater
3464HT,6,,Papekopperdijk,Papekop
3421CC,18,,Titus Brandsmastraat,Oudewater
3421CJ,1,,Tramweg,Oudewater
3421XM,31,,Papenhoeflaan,Oudewater
3421AK,12,,Wijdstraat,Oudewater
3425EM,18,,Zuid-Linschoterzandweg,Snelrewaard
3421SM,56,,Lange Burchwal,Oudewater
3425EM,44,,Zuid-Linschoterzandweg,Snelrewaard
3421BG,46,,Lefébureplein,Oudewater
3421HJ,3,,Prinses Christinastraat,Oudewater
3421JH,80,,Lijnbaan,Oudewater
3421BB,18,,Rodezand,Oudewater
3421AD,52,,Leeuweringerstraat,Oudewater
3421KL,1,,Garen,Oudewater
3421VC,1,,Schakenbosdreef,Oudewater
3421VC,23,,Schakenbosdreef,Oudewater
3421VA,16,,Schoutdreef,Oudewater
3421KX,28,,Kardeel,Oudewater
3425TD,125,,Waardsedijk,Snelrewaard
3421KA,31,,Wantslag,Oudewater
3421CE,6,,Dijkveld,Oudewater
3421BT,18,,Nieuwstraat,Oudewater
