90,2726KT,Medeaschouw,Zoetermeer
80,2727BG,Buizerdveld,Zoetermeer
63,2727BJ,Kraaienveld,Zoetermeer
18,2726BX,Van Oudshoornhove,Zoetermeer
4,2726BX,Van Oudshoornhove,Zoetermeer
8,2726BX,Van Oudshoornhove,Zoetermeer
11,2726BZ,Multatulihove,Zoetermeer
27,2726BZ,Multatulihove,Zoetermeer
29,2726BZ,Multatulihove,Zoetermeer
33,2726BZ,Multatulihove,Zoetermeer
5,2726BZ,Multatulihove,Zoetermeer
79,2726CA,Multatulihove,Zoetermeer
10,2726CB,Multatulihove,Zoetermeer
22,2726CB,Multatulihove,Zoetermeer
46,2726CC,Multatulihove,Zoetermeer
176,2725PE,Broekwegzijde,Zoetermeer
180,2725PE,Broekwegzijde,Zoetermeer
188,2725PE,Broekwegzijde,Zoetermeer
13,2725PH,Strindbergzijde,Zoetermeer
17,2725PH,Strindbergzijde,Zoetermeer
217,2726CX,Leopoldhove,Zoetermeer
219,2726CX,Leopoldhove,Zoetermeer
231,2726CX,Leopoldhove,Zoetermeer
233,2726CX,Leopoldhove,Zoetermeer
255,2726CX,Leopoldhove,Zoetermeer
53,2718NN,Van Dijcksbruin,Zoetermeer
57,2718NN,Van Dijcksbruin,Zoetermeer
16,2718NP,Aloëbruin,Zoetermeer
116,2719CL,Samanthagang,Zoetermeer
158,2719CL,Samanthagang,Zoetermeer
10,2719CM,Milenagang,Zoetermeer
107,2719CP,Nathaliegang,Zoetermeer
11,2719CP,Nathaliegang,Zoetermeer
117,2719CP,Nathaliegang,Zoetermeer
81,2727BJ,Kraaienveld,Zoetermeer
99,2727BJ,Kraaienveld,Zoetermeer
101,2727BK,Kraaienveld,Zoetermeer
131,2727BK,Kraaienveld,Zoetermeer
90,2725GP,Columbusrede,Zoetermeer
23,2725GR,Redelaan,Zoetermeer
35,2725GR,Redelaan,Zoetermeer
39,2725GR,Redelaan,Zoetermeer
52,2726SE,Bunuelstrook,Zoetermeer
72,2726SG,Bunuelstrook,Zoetermeer
114,2726SH,Bunuelstrook,Zoetermeer
128,2726SH,Bunuelstrook,Zoetermeer
5,2726SJ,Chaplinstrook,Zoetermeer
18,2726SM,René Clairstrook,Zoetermeer
26,2726SM,René Clairstrook,Zoetermeer
293,2726CZ,Leopoldhove,Zoetermeer
327,2726CZ,Leopoldhove,Zoetermeer
18,2726TR,Jacques Tatistrook,Zoetermeer
36,2726TR,Jacques Tatistrook,Zoetermeer
40,2726TR,Jacques Tatistrook,Zoetermeer
46,2726TR,Jacques Tatistrook,Zoetermeer
48,2726TR,Jacques Tatistrook,Zoetermeer
19,2726TV,Joris Ivensstrook,Zoetermeer
23,2726TV,Joris Ivensstrook,Zoetermeer
38,2726JT,Saloméschouw,Zoetermeer
74,2726JV,Saloméschouw,Zoetermeer
84,2726JV,Saloméschouw,Zoetermeer
86,2726JV,Saloméschouw,Zoetermeer
98,2726JV,Saloméschouw,Zoetermeer
26,2725GT,Redelaan,Zoetermeer
54,2725GV,Redelaan,Zoetermeer
64,2725GV,Redelaan,Zoetermeer
16,2725GW,Tjotterkade,Zoetermeer
26,2725GW,Tjotterkade,Zoetermeer
38,2725GW,Tjotterkade,Zoetermeer
8,2725GW,Tjotterkade,Zoetermeer
79,2726BD,Pierre Kemphove,Zoetermeer
95,2726BE,Pierre Kemphove,Zoetermeer
16,2727BV,Kwikstaartveld,Zoetermeer
28,2727BV,Kwikstaartveld,Zoetermeer
44,2727BW,Kwikstaartveld,Zoetermeer
46,2727BW,Kwikstaartveld,Zoetermeer
11,2727BX,Ooievaarsveld,Zoetermeer
17,2727BX,Ooievaarsveld,Zoetermeer
23,2727BX,Ooievaarsveld,Zoetermeer
25,2727BX,Ooievaarsveld,Zoetermeer
19,2727CA,Velddreef,Zoetermeer
39,2727CA,Velddreef,Zoetermeer
57,2727CB,Velddreef,Zoetermeer
67,2727CB,Velddreef,Zoetermeer
69,2727CB,Velddreef,Zoetermeer
5,2725PM,Sartrezijde,Zoetermeer
51,2725PM,Sartrezijde,Zoetermeer
57,2725PN,Sartrezijde,Zoetermeer
61,2725PN,Sartrezijde,Zoetermeer
65,2725PN,Sartrezijde,Zoetermeer
77,2725PN,Sartrezijde,Zoetermeer
19,2725PP,Shawzijde,Zoetermeer
23,2725PP,Shawzijde,Zoetermeer
29,2725PP,Shawzijde,Zoetermeer
31,2725PP,Shawzijde,Zoetermeer
39,2725PP,Shawzijde,Zoetermeer
203,2726DM,Belle van Zuylenhove,Zoetermeer
