7,8582KR,Ige Galamawei,Oudega
6,8582KP,Sanne Windwei,Oudega
2,8567HD,Beukenlaan,Oudemirdum
1,8567HE,Beukenlaan Z,Oudemirdum
1,8567JC,Boegen,Oudemirdum
2,8567LG,De Alde Buorren,Oudemirdum
17,8567JV,De Flechtreed,Oudemirdum
35,8567JK,De Ikebosker,Oudemirdum
10,8567JT,Fonteinwei,Oudemirdum
12,8567JT,Fonteinwei,Oudemirdum
14,8567JT,Fonteinwei,Oudemirdum
1,8567JE,Kerkstraat,Oudemirdum
4,8567HM,Liemerige Wei,Oudemirdum
7,8567JX,Star Numanwei,Oudemirdum
8,8567JX,Star Numanwei,Oudemirdum
4,8572WK,Enkhuizerlaan,Rijs
4,8565GN,Beuckenswijkstraat,Sondel
26,8565GN,Beuckenswijkstraat,Sondel
15,8561BB,Jachthavendyk,Balk
79,8561CV,Jelle Meineszleane,Balk
3,8561AX,Lytse Side,Balk
10,8561AX,Lytse Side,Balk
14,8561AV,Meerweg,Balk
23,8561AV,Meerweg,Balk
24,8561AV,Meerweg,Balk
26,8561AV,Meerweg,Balk
1,8561AW,Pypsterstikke,Balk
2,8561AW,Pypsterstikke,Balk
2,8561BG,Raadhuisstraat,Balk
26,8561BH,Raadhuisstraat,Balk
33,8561BH,Raadhuisstraat,Balk
38,8561BH,Raadhuisstraat,Balk
43,8561BH,Raadhuisstraat,Balk
56,8561BJ,Raadhuisstraat,Balk
72,8561BJ,Raadhuisstraat,Balk
17,8561DV,Sate Steenbergenstrjitte,Balk
2,8561DP,Siemen de Jongstrjitte,Balk
4,8561DP,Siemen de Jongstrjitte,Balk
6,8563AR,De Vinkebuorren,Wijckel
8,8563AR,De Vinkebuorren,Wijckel
10,8563AR,De Vinkebuorren,Wijckel
2,8563AC,Dokter Hattinkstrjitte,Wijckel
3,8563AC,Dokter Hattinkstrjitte,Wijckel
4,8563AC,Dokter Hattinkstrjitte,Wijckel
5,8563AC,Dokter Hattinkstrjitte,Wijckel
8,8563AC,Dokter Hattinkstrjitte,Wijckel
9,8563AC,Dokter Hattinkstrjitte,Wijckel
10,8563AC,Dokter Hattinkstrjitte,Wijckel
12,8563AC,Dokter Hattinkstrjitte,Wijckel
13,8563AC,Dokter Hattinkstrjitte,Wijckel
15,8563AC,Dokter Hattinkstrjitte,Wijckel
22,8563AC,Dokter Hattinkstrjitte,Wijckel
23,8563AC,Dokter Hattinkstrjitte,Wijckel
39,8563AB,Dokter Hattinkstrjitte,Wijckel
1,8563AG,Du Toursstraat,Wijckel
3,8563AG,Du Toursstraat,Wijckel
28,8561EV,De Greide,Balk
30,8561EV,De Greide,Balk
34,8561EV,De Greide,Balk
36,8561EV,De Greide,Balk
38,8561EV,De Greide,Balk
40,8561EV,De Greide,Balk
24,8561ER,De Mieden,Balk
26,8561ER,De Mieden,Balk
28,8561JA,De Weind,Balk
1,8561JE,De Wurdze,Balk
2,8561JD,De Wurdze,Balk
12,8561JD,De Wurdze,Balk
34,8561DW,Sate Steenbergenstrjitte,Balk
36,8561DW,Sate Steenbergenstrjitte,Balk
38,8561DW,Sate Steenbergenstrjitte,Balk
40,8561DW,Sate Steenbergenstrjitte,Balk
42,8561DW,Sate Steenbergenstrjitte,Balk
44,8561DW,Sate Steenbergenstrjitte,Balk
1,8561BM,Schoolstraat,Balk
11,8561DK,Schwartzenbergstrjitte,Balk
13,8561DK,Schwartzenbergstrjitte,Balk
15,8561DK,Schwartzenbergstrjitte,Balk
17,8561DK,Schwartzenbergstrjitte,Balk
19,8561DK,Schwartzenbergstrjitte,Balk
21,8561DK,Schwartzenbergstrjitte,Balk
3,8561GP,Sportfjild,Balk
19,8561GP,Sportfjild,Balk
54,8561GM,Tribune,Balk
56,8561GM,Tribune,Balk
58,8561GM,Tribune,Balk
60,8561GM,Tribune,Balk
62,8561GM,Tribune,Balk
64,8561GM,Tribune,Balk
66,8561GM,Tribune,Balk
68,8561GM,Tribune,Balk
70,8561GM,Tribune,Balk
72,8561GM,Tribune,Balk
74,8561GM,Tribune,Balk
76,8561GM,Tribune,Balk
78,8561GM,Tribune,Balk
80,8561GM,Tribune,Balk
82,8561GM,Tribune,Balk
84,8561GM,Tribune,Balk
86,8561GM,Tribune,Balk
88,8561GM,Tribune,Balk
90,8561GM,Tribune,Balk
92,8561GM,Tribune,Balk
96,8561GM,Tribune,Balk
98,8561GM,Tribune,Balk
100,8561GM,Tribune,Balk
102,8561GM,Tribune,Balk
106,8561GM,Tribune,Balk
108,8561GM,Tribune,Balk
110,8561GM,Tribune,Balk
114,8561GM,Tribune,Balk
116,8561GM,Tribune,Balk
118,8561GM,Tribune,Balk
122,8561GM,Tribune,Balk
124,8561GM,Tribune,Balk
126,8561GM,Tribune,Balk
128,8561GM,Tribune,Balk
132,8561GM,Tribune,Balk
134,8561GM,Tribune,Balk
136,8561GM,Tribune,Balk
4,8561HA,Tsjamkedykje,Balk
3,8561GA,Van Heemstrastrjitte,Balk
9,8561GA,Van Heemstrastrjitte,Balk
15,8561GA,Van Heemstrastrjitte,Balk
17,8561GA,Van Heemstrastrjitte,Balk
15,8561BD,Wikelerdyk,Balk
46,8561BE,Wikelerdyk,Balk
66,8561AD,Wilhelminastraat,Balk
52,8561GM,Tribune,Balk
1,8567KA,De Bûgel,Oudemirdum
2,8567KA,De Bûgel,Oudemirdum
3,8567KA,De Bûgel,Oudemirdum
4,8567KA,De Bûgel,Oudemirdum
6,8567KA,De Bûgel,Oudemirdum
7,8567KA,De Bûgel,Oudemirdum
8,8567KA,De Bûgel,Oudemirdum
71,8581KD,Buorren,Elahuizen
8,8581KK,Joop Schweitzerstrjitte,Elahuizen
48,8561JD,De Wurdze,Balk
58,8561JD,De Wurdze,Balk
61,8561JE,De Wurdze,Balk
63,8561JE,De Wurdze,Balk
23,8561EX,Eigen Haard,Balk
7,8561BW,Erasmusstraat,Balk
10,8561BW,Erasmusstraat,Balk
12,8561BW,Erasmusstraat,Balk
18,8561BW,Erasmusstraat,Balk
34,8561AL,Gaaikemastraat,Balk
36,8561AL,Gaaikemastraat,Balk
37,8561AL,Gaaikemastraat,Balk
47,8561AM,Gaaikemastraat,Balk
49,8561AM,Gaaikemastraat,Balk
1,8561JC,Heechkamp,Balk
3,8561GH,Hoite Detmarstrjitte,Balk
16,8561GH,Hoite Detmarstrjitte,Balk
5,8561DT,It Bjirkenbosk,Balk
4,8561GD,It Hoefizer,Balk
5,8561GD,It Hoefizer,Balk
6,8561GD,It Hoefizer,Balk
11,8561GD,It Hoefizer,Balk
13,8561GD,It Hoefizer,Balk
15,8561GD,It Hoefizer,Balk
6,8561BD,It Hoekstee,Balk
7,8561BE,It Hoekstee,Balk
8,8561BD,It Hoekstee,Balk
9,8561BE,It Hoekstee,Balk
10,8561BD,It Hoekstee,Balk
11,8561BE,It Hoekstee,Balk
12,8561BD,It Hoekstee,Balk
13,8561BE,It Hoekstee,Balk
14,8561BD,It Hoekstee,Balk
15,8561BE,It Hoekstee,Balk
16,8561BD,It Hoekstee,Balk
17,8561BE,It Hoekstee,Balk
18,8561BD,It Hoekstee,Balk
19,8561BE,It Hoekstee,Balk
21,8561BE,It Hoekstee,Balk
22,8561BD,It Hoekstee,Balk
23,8561BE,It Hoekstee,Balk
1,8561GG,Jochem de Ruiterstrjitte,Balk
5,8561GG,Jochem de Ruiterstrjitte,Balk
9,8561GG,Jochem de Ruiterstrjitte,Balk
10,8561GG,Jochem de Ruiterstrjitte,Balk
3,8561AH,Julianastraat,Balk
25,8561AH,Julianastraat,Balk
10,8561GC,Klaas van Houtstrjitte,Balk
4,8561GJ,Lubertus van Beekstrjitte,Balk
6,8561GJ,Lubertus van Beekstrjitte,Balk
21,8561GJ,Lubertus van Beekstrjitte,Balk
14,8561BN,Ludgerusstraat,Balk
3,8561BK,Bogermanstraat,Balk
7,8561BK,Bogermanstraat,Balk
32,8561BK,Bogermanstraat,Balk
32,8561BL,Bogermanstraat,Balk
1,8561CS,Douwe Aukesstraat,Balk
2,8561BC,Dubbelstraat,Balk
5,8561AT,Meerweg,Balk
10,8561AT,Meerweg,Balk
22,8561AV,Meerweg,Balk
16,8561AV,Meerweg,Balk
19,8561BG,Raadhuisstraat,Balk
36,8561BH,Raadhuisstraat,Balk
37,8561BH,Raadhuisstraat,Balk
4,8561GE,Rosenbergstrjitte,Balk
11,8561GE,Rosenbergstrjitte,Balk
15,8561GE,Rosenbergstrjitte,Balk
28,8561DW,Sate Steenbergenstrjitte,Balk
30,8561DW,Sate Steenbergenstrjitte,Balk
38,8556AR,Menno van Coehoornstraat,Sloten
39,8556AR,Menno van Coehoornstraat,Sloten
40,8556AR,Menno van Coehoornstraat,Sloten
41,8556AR,Menno van Coehoornstraat,Sloten
9,8556AN,Ruurd Altastrjitte,Sloten
11,8556AN,Ruurd Altastrjitte,Sloten
12,8556AN,Ruurd Altastrjitte,Sloten
137,8556XL,Schoolstraat,Sloten
147,8556XJ,Slotmakerssteeg,Sloten
204,8556XJ,Slotmakerssteeg,Sloten
205,8556XJ,Slotmakerssteeg,Sloten
2,8556AJ,Spanjaardsdijk,Sloten
3,8556AJ,Spanjaardsdijk,Sloten
5,8556AJ,Spanjaardsdijk,Sloten
7,8556AJ,Spanjaardsdijk,Sloten
10,8556AJ,Spanjaardsdijk,Sloten
11,8556AJ,Spanjaardsdijk,Sloten
15,8556AJ,Spanjaardsdijk,Sloten
18,8556AJ,Spanjaardsdijk,Sloten
19,8556AJ,Spanjaardsdijk,Sloten
20,8556AJ,Spanjaardsdijk,Sloten
25,8556AK,Spanjaardsdijk,Sloten
224,8556XJ,Stadsschans,Sloten
225,8556XJ,Stadsschans,Sloten
3,8556AL,Varleane,Sloten
22,8556AL,Varleane,Sloten
107,8556XV,Voorstreek,Sloten
15,8567JT,Fonteinwei,Oudemirdum
17,8567JT,Fonteinwei,Oudemirdum
19,8567JT,Fonteinwei,Oudemirdum
23,8567JT,Fonteinwei,Oudemirdum
2,8567JS,Gaestwei,Oudemirdum
3,8567JR,Gaestwei,Oudemirdum
4,8567JS,Gaestwei,Oudemirdum
5,8567JR,Gaestwei,Oudemirdum
7,8567JR,Gaestwei,Oudemirdum
15,8567JR,Gaestwei,Oudemirdum
17,8567JR,Gaestwei,Oudemirdum
23,8567JR,Gaestwei,Oudemirdum
25,8567JR,Gaestwei,Oudemirdum
27,8567JR,Gaestwei,Oudemirdum
28,8567JS,Gaestwei,Oudemirdum
30,8567JS,Gaestwei,Oudemirdum
32,8567JS,Gaestwei,Oudemirdum
34,8567JS,Gaestwei,Oudemirdum
36,8567JS,Gaestwei,Oudemirdum
2,8567JN,Hegewei,Oudemirdum
6,8567JN,Hegewei,Oudemirdum
8,8567JN,Hegewei,Oudemirdum
12,8567JN,Hegewei,Oudemirdum
14,8567JN,Hegewei,Oudemirdum
2,8567JZ,Hoitebuorren,Oudemirdum
7,8567JZ,Hoitebuorren,Oudemirdum
9,8567JZ,Hoitebuorren,Oudemirdum
11,8567JZ,Hoitebuorren,Oudemirdum
13,8567JZ,Hoitebuorren,Oudemirdum
5,8567LL,Huningspaed,Oudemirdum
7,8567LL,Huningspaed,Oudemirdum
15,8567LL,Huningspaed,Oudemirdum
17,8567LA,Jan Schotanuswei,Oudemirdum
19,8567LA,Jan Schotanuswei,Oudemirdum
22,8567LA,Jan Schotanuswei,Oudemirdum
23,8567LA,Jan Schotanuswei,Oudemirdum
24,8567LA,Jan Schotanuswei,Oudemirdum
31,8567LB,Jan Schotanuswei,Oudemirdum
33,8567LC,Jan Schotanuswei,Oudemirdum
36,8567LA,Jan Schotanuswei,Oudemirdum
37,8567LD,Jan Schotanuswei,Oudemirdum
42,8567LC,Jan Schotanuswei,Oudemirdum
48,8567LC,Jan Schotanuswei,Oudemirdum
50,8567LC,Jan Schotanuswei,Oudemirdum
55,8567LE,Jan Schotanuswei,Oudemirdum
56,8567LC,Jan Schotanuswei,Oudemirdum
62,8567LC,Jan Schotanuswei,Oudemirdum
65,8567HH,Jan Schotanuswei,Oudemirdum
70,8567LD,Jan Schotanuswei,Oudemirdum
71,8567HH,Jan Schotanuswei,Oudemirdum
72,8567LD,Jan Schotanuswei,Oudemirdum
74,8567LD,Jan Schotanuswei,Oudemirdum
76,8567LD,Jan Schotanuswei,Oudemirdum
82,8567LD,Jan Schotanuswei,Oudemirdum
86,8567LD,Jan Schotanuswei,Oudemirdum
90,8567LE,Jan Schotanuswei,Oudemirdum
92,8567LE,Jan Schotanuswei,Oudemirdum
94,8567LE,Jan Schotanuswei,Oudemirdum
96,8567LE,Jan Schotanuswei,Oudemirdum
98,8567LE,Jan Schotanuswei,Oudemirdum
100,8567HH,Jan Schotanuswei,Oudemirdum
4,8567JG,Kerkstraat,Oudemirdum
6,8567JG,Kerkstraat,Oudemirdum
8,8567JG,Kerkstraat,Oudemirdum
15,8567JE,Kerkstraat,Oudemirdum
16,8567JG,Kerkstraat,Oudemirdum
17,8567JE,Kerkstraat,Oudemirdum
18,8567JG,Kerkstraat,Oudemirdum
20,8567JH,Kerkstraat,Oudemirdum
21,8567JE,Kerkstraat,Oudemirdum
23,8567JE,Kerkstraat,Oudemirdum
22,8581KA,Wâldwei,Elahuizen
24,8581KA,Wâldwei,Elahuizen
11,8571MZ,Keamerlânswei,Harich
13,8571MZ,Keamerlânswei,Harich
1,8571MT,Lorbuorren,Harich
3,8571MT,Lorbuorren,Harich
1,8571GA,Lykwei,Harich
3,8571GA,Lykwei,Harich
2,8571GG,Minnemastate,Harich
4,8571GG,Minnemastate,Harich
6,8571GG,Minnemastate,Harich
1,8571RH,Stinsenwei,Harich
5,8571RH,Stinsenwei,Harich
8,8571RJ,Stinsenwei,Harich
9,8571RH,Stinsenwei,Harich
10,8571RJ,Stinsenwei,Harich
13,8571RH,Stinsenwei,Harich
15,8571RH,Stinsenwei,Harich
17,8571RH,Stinsenwei,Harich
20,8571RJ,Stinsenwei,Harich
22,8571RJ,Stinsenwei,Harich
25,8571RH,Stinsenwei,Harich
26,8571RJ,Stinsenwei,Harich
27,8571RH,Stinsenwei,Harich
29,8571RH,Stinsenwei,Harich
31,8571RH,Stinsenwei,Harich
36,8571RJ,Stinsenwei,Harich
38,8571RJ,Stinsenwei,Harich
32,8565GN,Beuckenswijkstraat,Sondel
34,8565GN,Beuckenswijkstraat,Sondel
36,8565GN,Beuckenswijkstraat,Sondel
40,8565GN,Beuckenswijkstraat,Sondel
44,8565HH,Beuckenswijkstraat,Sondel
46,8565HH,Beuckenswijkstraat,Sondel
52,8565HH,Beuckenswijkstraat,Sondel
3,8565GK,Delbuursterweg,Sondel
4,8565GS,Delbuursterweg,Sondel
