3013AP,60,,Conradstraat,Rotterdam
3078RD,558,,Grote Hagen,Rotterdam
3078RD,560,,Grote Hagen,Rotterdam
3078RD,562,,Grote Hagen,Rotterdam
3078RD,564,,Grote Hagen,Rotterdam
3078RD,566,,Grote Hagen,Rotterdam
3078RD,568,,Grote Hagen,Rotterdam
3078RD,570,,Grote Hagen,Rotterdam
3078RD,572,,Grote Hagen,Rotterdam
3078RD,574,,Grote Hagen,Rotterdam
3078RD,576,,Grote Hagen,Rotterdam
3078RD,578,,Grote Hagen,Rotterdam
3078RD,580,,Grote Hagen,Rotterdam
3078RD,582,,Grote Hagen,Rotterdam
3078RD,584,,Grote Hagen,Rotterdam
3078RD,586,,Grote Hagen,Rotterdam
3078RD,588,,Grote Hagen,Rotterdam
3078RD,590,,Grote Hagen,Rotterdam
3078RD,592,,Grote Hagen,Rotterdam
3078RD,594,,Grote Hagen,Rotterdam
3078RD,596,,Grote Hagen,Rotterdam
3078RD,598,,Grote Hagen,Rotterdam
3078RD,600,,Grote Hagen,Rotterdam
3078RD,602,,Grote Hagen,Rotterdam
3078RD,604,,Grote Hagen,Rotterdam
3078RD,606,,Grote Hagen,Rotterdam
3078RD,608,,Grote Hagen,Rotterdam
3078RD,610,,Grote Hagen,Rotterdam
3078RD,612,,Grote Hagen,Rotterdam
3078RD,614,,Grote Hagen,Rotterdam
3078RD,616,,Grote Hagen,Rotterdam
3078RD,618,,Grote Hagen,Rotterdam
3078RD,620,,Grote Hagen,Rotterdam
3078RD,622,,Grote Hagen,Rotterdam
3078RD,624,,Grote Hagen,Rotterdam
3078RD,626,,Grote Hagen,Rotterdam
3078RD,628,,Grote Hagen,Rotterdam
3078RD,630,,Grote Hagen,Rotterdam
3078RD,632,,Grote Hagen,Rotterdam
3078RD,634,,Grote Hagen,Rotterdam
3078RD,636,,Grote Hagen,Rotterdam
3078RD,638,,Grote Hagen,Rotterdam
3078RD,640,,Grote Hagen,Rotterdam
3078RD,642,,Grote Hagen,Rotterdam
3078RD,644,,Grote Hagen,Rotterdam
3078RD,646,,Grote Hagen,Rotterdam
3078RD,648,,Grote Hagen,Rotterdam
3078RD,650,,Grote Hagen,Rotterdam
3078RD,652,,Grote Hagen,Rotterdam
3078RD,654,,Grote Hagen,Rotterdam
3078RD,656,,Grote Hagen,Rotterdam
3078RD,658,,Grote Hagen,Rotterdam
3078RD,660,,Grote Hagen,Rotterdam
3078RD,662,,Grote Hagen,Rotterdam
3078RD,664,,Grote Hagen,Rotterdam
3078RD,666,,Grote Hagen,Rotterdam
3078RD,668,,Grote Hagen,Rotterdam
3078RD,670,,Grote Hagen,Rotterdam
3078RD,672,,Grote Hagen,Rotterdam
3078RD,674,,Grote Hagen,Rotterdam
3078RD,676,,Grote Hagen,Rotterdam
3078RD,678,,Grote Hagen,Rotterdam
3078RD,680,,Grote Hagen,Rotterdam
3078RD,682,,Grote Hagen,Rotterdam
3078RD,684,,Grote Hagen,Rotterdam
3078RD,686,,Grote Hagen,Rotterdam
3078RD,688,,Grote Hagen,Rotterdam
3078RD,690,,Grote Hagen,Rotterdam
3078RD,692,,Grote Hagen,Rotterdam
3078RD,694,,Grote Hagen,Rotterdam
3078RD,696,,Grote Hagen,Rotterdam
3078RD,698,,Grote Hagen,Rotterdam
3078RD,700,,Grote Hagen,Rotterdam
3078RD,702,,Grote Hagen,Rotterdam
3078RD,704,,Grote Hagen,Rotterdam
3078RD,706,,Grote Hagen,Rotterdam
3078RD,708,,Grote Hagen,Rotterdam
3078RD,710,,Grote Hagen,Rotterdam
3078RD,712,,Grote Hagen,Rotterdam
3078RD,714,,Grote Hagen,Rotterdam
3078RD,716,,Grote Hagen,Rotterdam
3078RD,718,,Grote Hagen,Rotterdam
3078RD,720,,Grote Hagen,Rotterdam
3078RD,722,,Grote Hagen,Rotterdam
3078RD,724,,Grote Hagen,Rotterdam
3078RD,726,,Grote Hagen,Rotterdam
3078RD,728,,Grote Hagen,Rotterdam
3078RD,730,,Grote Hagen,Rotterdam
3078RD,732,,Grote Hagen,Rotterdam
3078RD,734,,Grote Hagen,Rotterdam
3078RD,736,,Grote Hagen,Rotterdam
3078RD,738,,Grote Hagen,Rotterdam
3078RD,740,,Grote Hagen,Rotterdam
3078RD,742,,Grote Hagen,Rotterdam
3078RD,744,,Grote Hagen,Rotterdam
3078RD,746,,Grote Hagen,Rotterdam
3078RD,748,,Grote Hagen,Rotterdam
3078RD,750,,Grote Hagen,Rotterdam
3078RD,752,,Grote Hagen,Rotterdam
3078RD,754,,Grote Hagen,Rotterdam
3078RD,756,,Grote Hagen,Rotterdam
3078RD,758,,Grote Hagen,Rotterdam
3078RD,760,,Grote Hagen,Rotterdam
3078RD,762,,Grote Hagen,Rotterdam
3078RD,764,,Grote Hagen,Rotterdam
3078RD,766,,Grote Hagen,Rotterdam
3078RD,768,,Grote Hagen,Rotterdam
3078RD,770,,Grote Hagen,Rotterdam
3078RD,772,,Grote Hagen,Rotterdam
3054SE,2,,Ajaxstraat,Rotterdam
3054SE,4,,Ajaxstraat,Rotterdam
3054SE,6,,Ajaxstraat,Rotterdam
3054SE,8,,Ajaxstraat,Rotterdam
3054SE,10,,Ajaxstraat,Rotterdam
3054SE,12,,Ajaxstraat,Rotterdam
3054SE,14,,Ajaxstraat,Rotterdam
3054SE,16,,Ajaxstraat,Rotterdam
3054SE,18,,Ajaxstraat,Rotterdam
3054SE,20,,Ajaxstraat,Rotterdam
3054SE,22,,Ajaxstraat,Rotterdam
3054SE,24,,Ajaxstraat,Rotterdam
3054SE,26,,Ajaxstraat,Rotterdam
3054SE,28,,Ajaxstraat,Rotterdam
3054SE,30,,Ajaxstraat,Rotterdam
3054SE,32,,Ajaxstraat,Rotterdam
3054SE,34,,Ajaxstraat,Rotterdam
3054SE,36,,Ajaxstraat,Rotterdam
3054SE,38,,Ajaxstraat,Rotterdam
3054SE,40,,Ajaxstraat,Rotterdam
3054SE,42,,Ajaxstraat,Rotterdam
3054SE,44,,Ajaxstraat,Rotterdam
3054SE,46,,Ajaxstraat,Rotterdam
3054SE,48,,Ajaxstraat,Rotterdam
3054SE,50,,Ajaxstraat,Rotterdam
3054SE,52,,Ajaxstraat,Rotterdam
3054SE,54,,Ajaxstraat,Rotterdam
3054SE,56,,Ajaxstraat,Rotterdam
3054SE,58,,Ajaxstraat,Rotterdam
3054SE,60,,Ajaxstraat,Rotterdam
3054SE,62,,Ajaxstraat,Rotterdam
3054SE,64,,Ajaxstraat,Rotterdam
3054SE,66,,Ajaxstraat,Rotterdam
3054SE,68,,Ajaxstraat,Rotterdam
3054SE,70,,Ajaxstraat,Rotterdam
3054SE,72,,Ajaxstraat,Rotterdam
3054SE,74,,Ajaxstraat,Rotterdam
3054SE,76,,Ajaxstraat,Rotterdam
3054SE,78,,Ajaxstraat,Rotterdam
3054SE,80,,Ajaxstraat,Rotterdam
3054SE,82,,Ajaxstraat,Rotterdam
3054SE,84,,Ajaxstraat,Rotterdam
3054SE,86,,Ajaxstraat,Rotterdam
3054SE,88,,Ajaxstraat,Rotterdam
3054SE,90,,Ajaxstraat,Rotterdam
3054SE,92,,Ajaxstraat,Rotterdam
3054SE,94,,Ajaxstraat,Rotterdam
3054SE,96,,Ajaxstraat,Rotterdam
3054SE,98,,Ajaxstraat,Rotterdam
3054SE,100,,Ajaxstraat,Rotterdam
3054SE,102,,Ajaxstraat,Rotterdam
3054SE,104,,Ajaxstraat,Rotterdam
3054SE,106,,Ajaxstraat,Rotterdam
3054SE,108,,Ajaxstraat,Rotterdam
3054SE,110,,Ajaxstraat,Rotterdam
3054SE,112,,Ajaxstraat,Rotterdam
3054SE,114,,Ajaxstraat,Rotterdam
3054SE,116,,Ajaxstraat,Rotterdam
3054SE,118,,Ajaxstraat,Rotterdam
3054SE,120,,Ajaxstraat,Rotterdam
3054SE,122,,Ajaxstraat,Rotterdam
3054SE,124,,Ajaxstraat,Rotterdam
3054SE,126,,Ajaxstraat,Rotterdam
3054SE,128,,Ajaxstraat,Rotterdam
3054SE,130,,Ajaxstraat,Rotterdam
3054SE,132,,Ajaxstraat,Rotterdam
3054SE,134,,Ajaxstraat,Rotterdam
3054SE,136,,Ajaxstraat,Rotterdam
3054SE,138,,Ajaxstraat,Rotterdam
3054ST,1,,Palamedesstraat,Rotterdam
3054ST,3,,Palamedesstraat,Rotterdam
3054ST,5,,Palamedesstraat,Rotterdam
3054ST,7,,Palamedesstraat,Rotterdam
3054ST,9,,Palamedesstraat,Rotterdam
3054ST,11,,Palamedesstraat,Rotterdam
3054ST,13,,Palamedesstraat,Rotterdam
3054ST,15,,Palamedesstraat,Rotterdam
3054ST,17,,Palamedesstraat,Rotterdam
3054ST,19,,Palamedesstraat,Rotterdam
3054ST,21,,Palamedesstraat,Rotterdam
3054ST,23,,Palamedesstraat,Rotterdam
3054ST,25,,Palamedesstraat,Rotterdam
3054ST,27,,Palamedesstraat,Rotterdam
3054ST,29,,Palamedesstraat,Rotterdam
3054ST,31,,Palamedesstraat,Rotterdam
3054ST,33,,Palamedesstraat,Rotterdam
3054ST,35,,Palamedesstraat,Rotterdam
3054ST,37,,Palamedesstraat,Rotterdam
3054ST,39,,Palamedesstraat,Rotterdam
3054ST,41,,Palamedesstraat,Rotterdam
3054ST,43,,Palamedesstraat,Rotterdam
3054ST,45,,Palamedesstraat,Rotterdam
3054ST,47,,Palamedesstraat,Rotterdam
3054ST,49,,Palamedesstraat,Rotterdam
3054ST,51,,Palamedesstraat,Rotterdam
3054ST,53,,Palamedesstraat,Rotterdam
3054ST,55,,Palamedesstraat,Rotterdam
3054ST,57,,Palamedesstraat,Rotterdam
3054ST,59,,Palamedesstraat,Rotterdam
3054ST,61,,Palamedesstraat,Rotterdam
3054ST,63,,Palamedesstraat,Rotterdam
3038XC,12,02,Geertsemastraat,Rotterdam
3029AC,501,,Benjamin Franklinstraat,Rotterdam
3029AC,503,,Benjamin Franklinstraat,Rotterdam
3029AC,505,,Benjamin Franklinstraat,Rotterdam
