10,8748BZ,Kaatsplein,Witmarsum
7,8748CC,van Aylvaweg,Witmarsum
24,8822VR,Oude Kerkstraat,Arum
2,8756JN,Kooireed,Piaam
7,8765LX,Dyksicht,Tjerkwerd
29,8748CC,van Aylvaweg,Witmarsum
33,8765LN,Waltaweg,Tjerkwerd
95,8748AC,Arumerweg,Witmarsum
5,8759LP,Exmorrazijl,Exmorra
10,8748GK,De Krânse,Witmarsum
13,8754CZ,Kerkeburen,Makkum
3,8748GM,It Partoer,Witmarsum
7,8821LA,Dijksterburen,Kimswerd
33,8754DM,Borndiep,Makkum
8,8823SK,Kerkstraat,Lollum
19,8748GK,De Krânse,Witmarsum
5,8743KX,Schwartzenbergweg,Hichtum
8,8749GE,Grote Buren,Pingjum
3,8744EV,van Osingaweg,Schettens
4,8747NM,Salverdastraat,Wons
2,8821LA,Dijksterburen,Kimswerd
1,8759LK,Ds. Wilhelmus à Brakelstrjitte,Exmorra
25,8748GK,De Krânse,Witmarsum
39,8754LB,It Ferset,Makkum
18,8754BS,Ds L Touwenlaan,Makkum
3,8754DM,Borndiep,Makkum
23,8754DM,Borndiep,Makkum
2,8754DM,Borndiep,Makkum
64,8748BW,Meester de Vriesstraat,Witmarsum
1,8748EC,Mulierlaan,Witmarsum
2,8748BP,Kerkplein,Witmarsum
4,8765LX,Dyksicht,Tjerkwerd
5,8748GM,It Partoer,Witmarsum
59,8748CG,van Aylvaweg,Witmarsum
8,8754HC,De Holle Poarte,Makkum
53,8748BK,Hertekampsreed,Witmarsum
55,8748BK,Hertekampsreed,Witmarsum
5,8754HP,De Skilbank,Makkum
1,8748GM,It Partoer,Witmarsum
21,8749GR,Pibemalaan,Pingjum
23,8748GK,De Krânse,Witmarsum
5,8761PB,Buren,Ferwoude
23,8754HJ,Langezand,Makkum
1,8754ES,Achterstraat,Makkum
3,8756JN,Kooireed,Piaam
21,8756JP,Buren,Piaam
25,8756JP,Buren,Piaam
15,8751TH,Caspar de Roblesdijk,Zurich
8,8821MC,Sjoerd van Stratenstrjitte,Kimswerd
6,8821MC,Sjoerd van Stratenstrjitte,Kimswerd
5,8821MC,Sjoerd van Stratenstrjitte,Kimswerd
2,8821MC,Sjoerd van Stratenstrjitte,Kimswerd
13,8759LX,Jelle Huitemastrjitte,Exmorra
15,8748GK,De Krânse,Witmarsum
17,8748GK,De Krânse,Witmarsum
11,8748GK,De Krânse,Witmarsum
21,8748GK,De Krânse,Witmarsum
6,8748GL,It Spul,Witmarsum
5,8748CC,van Aylvaweg,Witmarsum
2,8742KP,Trekpad,Burgwerd
3,8759LX,Jelle Huitemastrjitte,Exmorra
15,8748CZ,Menno Simonsstraat,Witmarsum
