101,5281HK,Parallelweg Noord,Boxtel
1,5281LA,Parallelweg Zuid,Boxtel
3,5281LA,Parallelweg Zuid,Boxtel
5,5281LA,Parallelweg Zuid,Boxtel
15,5281LA,Parallelweg Zuid,Boxtel
17,5281LA,Parallelweg Zuid,Boxtel
29,5281LA,Parallelweg Zuid,Boxtel
31,5281LB,Parallelweg Zuid,Boxtel
33,5281LB,Parallelweg Zuid,Boxtel
19,5282SE,Redoutestraat,Boxtel
21,5282SE,Redoutestraat,Boxtel
23,5282SE,Redoutestraat,Boxtel
25,5282SE,Redoutestraat,Boxtel
27,5282SE,Redoutestraat,Boxtel
1,5282GC,Reginahof,Boxtel
1,5282GA,Rentmeester,Boxtel
2,5282GA,Rentmeester,Boxtel
3,5282GA,Rentmeester,Boxtel
4,5282GA,Rentmeester,Boxtel
6,5282GA,Rentmeester,Boxtel
7,5282GA,Rentmeester,Boxtel
8,5282GA,Rentmeester,Boxtel
9,5282GA,Rentmeester,Boxtel
10,5282GA,Rentmeester,Boxtel
11,5282GA,Rentmeester,Boxtel
12,5282GA,Rentmeester,Boxtel
34,5283HG,Oosterpad,Boxtel
36,5283HG,Oosterpad,Boxtel
38,5283HG,Oosterpad,Boxtel
40,5283HG,Oosterpad,Boxtel
42,5283HG,Oosterpad,Boxtel
44,5283HG,Oosterpad,Boxtel
46,5283HG,Oosterpad,Boxtel
1,5283HX,Orlando di Lassostraat,Boxtel
2,5283HZ,Orlando di Lassostraat,Boxtel
3,5283HX,Orlando di Lassostraat,Boxtel
4,5283HZ,Orlando di Lassostraat,Boxtel
5,5283HX,Orlando di Lassostraat,Boxtel
6,5283HZ,Orlando di Lassostraat,Boxtel
7,5283HX,Orlando di Lassostraat,Boxtel
52,5281BX,Rechterstraat,Boxtel
54,5281BX,Rechterstraat,Boxtel
35,5281LB,Parallelweg Zuid,Boxtel
55,5281PW,Parallelweg Zuid,Boxtel
2,5282SM,Parkweg,Boxtel
3,5282SM,Parkweg,Boxtel
4,5282SM,Parkweg,Boxtel
