2716BS,10,,Kennemerland,Zoetermeer
2716GN,12,,Tankenberg,Zoetermeer
2716GN,23,,Tankenberg,Zoetermeer
2716GP,48,,Tankenberg,Zoetermeer
2716GR,62,,Tankenberg,Zoetermeer
2715VD,78,,Belvédèrebos,Zoetermeer
2715VE,102,,Belvédèrebos,Zoetermeer
2715VE,104,,Belvédèrebos,Zoetermeer
2715VE,92,,Belvédèrebos,Zoetermeer
2715VG,120,,Belvédèrebos,Zoetermeer
2716CR,27,,Beveland,Zoetermeer
2716CR,32,,Beveland,Zoetermeer
2716CR,43,,Beveland,Zoetermeer
2716KB,57,,Zalkerbos,Zoetermeer
2716KC,64,,Zalkerbos,Zoetermeer
2716KC,66,,Zalkerbos,Zoetermeer
2716KC,73,,Zalkerbos,Zoetermeer
2716VC,88,,Uiterwaard,Zoetermeer
2716VD,128,,Uiterwaard,Zoetermeer
2716XA,18,,Bagijnenwaard,Zoetermeer
2716XA,20,,Bagijnenwaard,Zoetermeer
2716LC,56,,Tempelberg,Zoetermeer
2716LC,64,,Tempelberg,Zoetermeer
2716LD,75,,Tempelberg,Zoetermeer
2716LD,77,,Tempelberg,Zoetermeer
2716LD,83,,Tempelberg,Zoetermeer
2716LD,86,,Tempelberg,Zoetermeer
2716LG,104,,Tempelberg,Zoetermeer
2717AC,115,,Andriessenrode,Zoetermeer
2717AC,83,,Andriessenrode,Zoetermeer
2717AC,91,,Andriessenrode,Zoetermeer
2717AC,93,,Andriessenrode,Zoetermeer
2716GR,70,,Tankenberg,Zoetermeer
2716GS,78,,Tankenberg,Zoetermeer
2716GS,90,,Tankenberg,Zoetermeer
2716LX,15,,Zilverberg,Zoetermeer
2716LX,6,,Zilverberg,Zoetermeer
2716LZ,24,,Zilverberg,Zoetermeer
2716LZ,27,,Zilverberg,Zoetermeer
2716NA,24,,Zijlberg,Zoetermeer
2716NA,9,,Zijlberg,Zoetermeer
2716PM,79,,Hoevenbos,Zoetermeer
2716PM,84,,Hoevenbos,Zoetermeer
2716PM,88,,Hoevenbos,Zoetermeer
2716PM,90,,Hoevenbos,Zoetermeer
2716PM,91,,Hoevenbos,Zoetermeer
2716PN,100,,Hoevenbos,Zoetermeer
2716PN,105,,Hoevenbos,Zoetermeer
2716PN,109,,Hoevenbos,Zoetermeer
2716PP,115,,Hoevenbos,Zoetermeer
2716PP,119,,Hoevenbos,Zoetermeer
2716PP,124,,Hoevenbos,Zoetermeer
2716PP,126,,Hoevenbos,Zoetermeer
2716PP,128,,Hoevenbos,Zoetermeer
2716PR,139,,Hoevenbos,Zoetermeer
2716PR,140,,Hoevenbos,Zoetermeer
2716PR,149,,Hoevenbos,Zoetermeer
2716PR,151,,Hoevenbos,Zoetermeer
2715VM,219,,Belvédèrebos,Zoetermeer
2715VM,221,,Belvédèrebos,Zoetermeer
2716XB,108,,Bagijnenwaard,Zoetermeer
2716XB,116,,Bagijnenwaard,Zoetermeer
2716XB,82,,Bagijnenwaard,Zoetermeer
2716XB,84,,Bagijnenwaard,Zoetermeer
2716XB,88,,Bagijnenwaard,Zoetermeer
2716XB,92,,Bagijnenwaard,Zoetermeer
2715XJ,162,,Fonteinbos,Zoetermeer
2715XJ,163,,Fonteinbos,Zoetermeer
2715XJ,164,,Fonteinbos,Zoetermeer
2715XJ,168,,Fonteinbos,Zoetermeer
2715XK,189,,Fonteinbos,Zoetermeer
2715XL,191,,Fonteinbos,Zoetermeer
2715XL,202,,Fonteinbos,Zoetermeer
2715XL,203,,Fonteinbos,Zoetermeer
2717AD,32,,Andriessenrode,Zoetermeer
2717AD,4,,Andriessenrode,Zoetermeer
2717AE,11,,Bessie Smithrode,Zoetermeer
2717AE,17,,Bessie Smithrode,Zoetermeer
2717AE,19,,Bessie Smithrode,Zoetermeer
2717AE,21,,Bessie Smithrode,Zoetermeer
2717AG,51,,Bessie Smithrode,Zoetermeer
2717AH,16,,Bessie Smithrode,Zoetermeer
2716AD,9,,Smallingerland,Zoetermeer
2716AE,22,,Smallingerland,Zoetermeer
2716AE,27,,Smallingerland,Zoetermeer
2716AE,28,,Smallingerland,Zoetermeer
2716AE,30,,Smallingerland,Zoetermeer
2716AG,13,,Schokland,Zoetermeer
2716NB,34,,Zijlberg,Zoetermeer
2716NB,38,,Zijlberg,Zoetermeer
2716NB,45,,Zijlberg,Zoetermeer
2716NB,46,,Zijlberg,Zoetermeer
2716NB,47,,Zijlberg,Zoetermeer
2717BD,10,,César Franckrode,Zoetermeer
2717BD,14,,César Franckrode,Zoetermeer
2717BD,16,,César Franckrode,Zoetermeer
2717BD,26,,César Franckrode,Zoetermeer
2717BE,54,,César Franckrode,Zoetermeer
2717BH,1,,Chopinrode,Zoetermeer
2717BH,23,,Chopinrode,Zoetermeer
2717BH,29,,Chopinrode,Zoetermeer
2717BH,5,,Chopinrode,Zoetermeer
2717BJ,41,,Chopinrode,Zoetermeer
2716HR,304,,Savelsbos,Zoetermeer
2716HS,322,,Savelsbos,Zoetermeer
2716HS,327,,Savelsbos,Zoetermeer
2716HS,329,,Savelsbos,Zoetermeer
2716HT,14,,Scheveningsebos,Zoetermeer
2716HT,8,,Scheveningsebos,Zoetermeer
2716HV,26,,Scheveningsebos,Zoetermeer
2716HV,29,,Scheveningsebos,Zoetermeer
2716HV,30,,Scheveningsebos,Zoetermeer
2716HV,37,,Scheveningsebos,Zoetermeer
2716HV,40,,Scheveningsebos,Zoetermeer
2716PE,32,,Wijnberg,Zoetermeer
2716PE,34,,Wijnberg,Zoetermeer
2716PE,40,,Wijnberg,Zoetermeer
2716PG,15,,Zonnenberg,Zoetermeer
2716PG,5,,Zonnenberg,Zoetermeer
2716DS,140,,Vrouwenhuiswaard,Zoetermeer
2716DS,156,,Vrouwenhuiswaard,Zoetermeer
2716DS,168,,Vrouwenhuiswaard,Zoetermeer
2716DS,174,,Vrouwenhuiswaard,Zoetermeer
2716DT,188,,Vrouwenhuiswaard,Zoetermeer
2716DT,192,,Vrouwenhuiswaard,Zoetermeer
2716DT,196,,Vrouwenhuiswaard,Zoetermeer
2716KC,79,,Zalkerbos,Zoetermeer
2716KD,82,,Zalkerbos,Zoetermeer
2716KD,83,,Zalkerbos,Zoetermeer
2716KD,84,,Zalkerbos,Zoetermeer
2716KE,115,,Zalkerbos,Zoetermeer
2716KE,117,,Zalkerbos,Zoetermeer
2716KE,127,,Zalkerbos,Zoetermeer
2716AG,20,,Schokland,Zoetermeer
2716AG,3,,Schokland,Zoetermeer
2716AH,25,,Schokland,Zoetermeer
2716AJ,10,,Salland,Zoetermeer
2716AJ,11,,Salland,Zoetermeer
2716AJ,6,,Salland,Zoetermeer
2716AL,21,,Reiderland,Zoetermeer
2716EV,89,,Herikerberg,Zoetermeer
2717BJ,57,,Chopinrode,Zoetermeer
2717BJ,69,,Chopinrode,Zoetermeer
2717BK,14,,Chopinrode,Zoetermeer
2717BK,16,,Chopinrode,Zoetermeer
2717BK,36,,Chopinrode,Zoetermeer
2717BK,4,,Chopinrode,Zoetermeer
2716BT,17,,Lemsterland,Zoetermeer
2716BT,29,,Lemsterland,Zoetermeer
2716BT,5,,Lemsterland,Zoetermeer
2716BT,7,,Lemsterland,Zoetermeer
2716BV,11,,Munnikenland,Zoetermeer
2716BV,27,,Munnikenland,Zoetermeer
2716BV,29,,Munnikenland,Zoetermeer
2716BV,31,,Munnikenland,Zoetermeer
2716BV,37,,Munnikenland,Zoetermeer
2716BW,10,,Munnikenland,Zoetermeer
2716BW,6,,Munnikenland,Zoetermeer
2716CV,44,,Ameland,Zoetermeer
2716CV,45,,Ameland,Zoetermeer
2716CV,46,,Ameland,Zoetermeer
2716CW,18,,Middelwaard,Zoetermeer
2716CW,21,,Middelwaard,Zoetermeer
2716HW,49,,Scheveningsebos,Zoetermeer
2715XL,211,,Fonteinbos,Zoetermeer
2715XM,222,,Fonteinbos,Zoetermeer
2715XM,225,,Fonteinbos,Zoetermeer
2715XM,227,,Fonteinbos,Zoetermeer
2715XM,228,,Fonteinbos,Zoetermeer
2715XM,229,,Fonteinbos,Zoetermeer
2715XM,230,,Fonteinbos,Zoetermeer
2715XM,232,,Fonteinbos,Zoetermeer
2715XM,238,,Fonteinbos,Zoetermeer
2716DP,24,,Vrouwenhuiswaard,Zoetermeer
2716DP,6,,Vrouwenhuiswaard,Zoetermeer
2716DR,118,,Vrouwenhuiswaard,Zoetermeer
2716DR,120,,Vrouwenhuiswaard,Zoetermeer
2716DR,96,,Vrouwenhuiswaard,Zoetermeer
2716DS,126,,Vrouwenhuiswaard,Zoetermeer
2716EX,86,,Herikerberg,Zoetermeer
2716EZ,12,,Holterberg,Zoetermeer
2716EZ,19,,Holterberg,Zoetermeer
2716EZ,7,,Holterberg,Zoetermeer
2716GA,1,,Kozakkenberg,Zoetermeer
2716GA,15,,Kozakkenberg,Zoetermeer
2716GA,17,,Kozakkenberg,Zoetermeer
2716GB,24,,Kozakkenberg,Zoetermeer
2716GB,32,,Kozakkenberg,Zoetermeer
2716LH,12,,Tijberg,Zoetermeer
2716LH,13,,Tijberg,Zoetermeer
2716LH,18,,Tijberg,Zoetermeer
2716BX,4,,Eemland,Zoetermeer
2716BZ,19,,Eemland,Zoetermeer
