2727DV,3,,Paardenweide,Zoetermeer
2727EC,139,,Weidedreef,Zoetermeer
2727EC,93,,Weidedreef,Zoetermeer
2727EC,97,,Weidedreef,Zoetermeer
2727ED,149,,Weidedreef,Zoetermeer
2727ED,151,,Weidedreef,Zoetermeer
2727ED,161,,Weidedreef,Zoetermeer
2711AV,250,,Promenade,Zoetermeer
2711AW,17,,Plaats,Zoetermeer
2711AX,15,,Hogerop,Zoetermeer
2711AX,35,,Hogerop,Zoetermeer
2711AX,49,,Hogerop,Zoetermeer
2711AX,9,,Hogerop,Zoetermeer
2711AZ,37,,Het Rond,Zoetermeer
2711AZ,5,,Het Rond,Zoetermeer
2711AZ,51,,Het Rond,Zoetermeer
2711BC,2,,Luxemburglaan,Zoetermeer
2711BE,62,,Luxemburglaan,Zoetermeer
2711BE,76,,Luxemburglaan,Zoetermeer
2711BE,88,,Luxemburglaan,Zoetermeer
2711BE,92,,Luxemburglaan,Zoetermeer
2711BE,94,,Luxemburglaan,Zoetermeer
2711BG,15,,Duitslandlaan,Zoetermeer
2711BG,42,,Duitslandlaan,Zoetermeer
2711AC,24,,Westwaarts,Zoetermeer
2711AC,48,,Westwaarts,Zoetermeer
2711AD,3,,Westwaarts,Zoetermeer
2711AD,31,,Westwaarts,Zoetermeer
2711AK,8,,Burgemeester Wegstapelplein,Zoetermeer
2711AL,17,,Promenade,Zoetermeer
2711AM,27,,Promenade,Zoetermeer
2711AM,29,,Promenade,Zoetermeer
2711AM,31,,Promenade,Zoetermeer
2711AM,35,,Promenade,Zoetermeer
2711AM,51,,Promenade,Zoetermeer
2711AN,145,,Promenade,Zoetermeer
2711AS,58,,Promenade,Zoetermeer
2711AS,60,,Promenade,Zoetermeer
2711AS,78,,Promenade,Zoetermeer
2711AS,80,,Promenade,Zoetermeer
2711AS,84,,Promenade,Zoetermeer
2711AS,88,,Promenade,Zoetermeer
2711AS,90,,Promenade,Zoetermeer
2711AT,114,,Promenade,Zoetermeer
2711AT,140,,Promenade,Zoetermeer
2711AT,148,,Promenade,Zoetermeer
2711AT,164,,Promenade,Zoetermeer
2711AV,190,,Promenade,Zoetermeer
2711AV,202,,Promenade,Zoetermeer
2711AV,212,,Promenade,Zoetermeer
2711AV,214,,Promenade,Zoetermeer
2711AV,224,,Promenade,Zoetermeer
2713HA,35,,Boerhaavelaan,Zoetermeer
2723VB,42,,Haverakker,Zoetermeer
2725PR,20,,Sartrezijde,Zoetermeer
2724GJ,118,,Vaartdreef,Zoetermeer
2713AG,2,,Willemstraat,Zoetermeer
2711AV,232,,Promenade,Zoetermeer
2711DD,84,,Londenstraat,Zoetermeer
2711DD,96,,Londenstraat,Zoetermeer
