2719VD,6,,Topaas,Zoetermeer
2719VE,1,,Tijgeroog,Zoetermeer
2719VE,15,,Tijgeroog,Zoetermeer
2719VE,24,,Tijgeroog,Zoetermeer
2719VE,26,,Tijgeroog,Zoetermeer
2719VE,9,,Tijgeroog,Zoetermeer
2719VH,14,,Zirkoon,Zoetermeer
2719VH,17,,Zirkoon,Zoetermeer
2719VH,21,,Zirkoon,Zoetermeer
2721GS,48,,Sumatra,Zoetermeer
2721GS,52,,Sumatra,Zoetermeer
2721GS,54,,Sumatra,Zoetermeer
2722EE,105,,Croesinckplein,Zoetermeer
2722EE,114,,Croesinckplein,Zoetermeer
2722EE,115,,Croesinckplein,Zoetermeer
2722EE,117,,Croesinckplein,Zoetermeer
2722EE,120,,Croesinckplein,Zoetermeer
2722EE,126,,Croesinckplein,Zoetermeer
2722EG,138,,Croesinckplein,Zoetermeer
2722EG,145,,Croesinckplein,Zoetermeer
2722EH,156,,Croesinckplein,Zoetermeer
2722EH,170,,Croesinckplein,Zoetermeer
2722NA,18,,Philipsstraat,Zoetermeer
2721HM,15,,Shetlandpad,Zoetermeer
2721HM,22,,Shetlandpad,Zoetermeer
2721HM,7,,Shetlandpad,Zoetermeer
2721HN,5,,Sicilië,Zoetermeer
2721HN,8,,Sicilië,Zoetermeer
2721HN,9,,Sicilië,Zoetermeer
2722RM,84,,Van Aalstlaan,Zoetermeer
2722RM,88,,Van Aalstlaan,Zoetermeer
2722RM,90,,Van Aalstlaan,Zoetermeer
2722RN,126,,Van Aalstlaan,Zoetermeer
2722RN,128,,Van Aalstlaan,Zoetermeer
2722RP,132,,Van Aalstlaan,Zoetermeer
2722RP,140,,Van Aalstlaan,Zoetermeer
2722RP,154,,Van Aalstlaan,Zoetermeer
2722RP,164,,Van Aalstlaan,Zoetermeer
2722RP,166,,Van Aalstlaan,Zoetermeer
2721DE,30,,Waalstroom,Zoetermeer
2721DG,8,,Vechtstroom,Zoetermeer
2721DL,10,,Rijnstroom,Zoetermeer
2721DL,2,,Rijnstroom,Zoetermeer
2722AK,35,,Cretstraat,Zoetermeer
2722AL,1,,Vendelpad,Zoetermeer
2722AL,16,,Vendelpad,Zoetermeer
2722BL,13,,Asselierspad,Zoetermeer
2722BL,14,,Asselierspad,Zoetermeer
2722BL,16,,Asselierspad,Zoetermeer
2722VB,986,,Jan van Beierenlaan,Zoetermeer
2722VC,1004,,Jan van Beierenlaan,Zoetermeer
2722VD,1056,,Jan van Beierenlaan,Zoetermeer
2722VE,1068,,Jan van Beierenlaan,Zoetermeer
2722NA,20,,Philipsstraat,Zoetermeer
2722NA,24,,Philipsstraat,Zoetermeer
2722NA,29,,Philipsstraat,Zoetermeer
2722XE,670,,Dirc van de Doortogelaan,Zoetermeer
2722XE,676,,Dirc van de Doortogelaan,Zoetermeer
2722XE,684,,Dirc van de Doortogelaan,Zoetermeer
2722XG,702,,Dirc van de Doortogelaan,Zoetermeer
2722XG,712,,Dirc van de Doortogelaan,Zoetermeer
2722XH,740,,Dirc van de Doortogelaan,Zoetermeer
2722XJ,24,,Florens van Brederodelaan,Zoetermeer
2722XJ,28,,Florens van Brederodelaan,Zoetermeer
2722XJ,40,,Florens van Brederodelaan,Zoetermeer
2722RR,190,,Van Aalstlaan,Zoetermeer
2722RS,244,,Van Aalstlaan,Zoetermeer
2722RT,252,,Van Aalstlaan,Zoetermeer
2722RT,254,,Van Aalstlaan,Zoetermeer
2723AG,94,,Moerbeigaarde,Zoetermeer
2723AH,24,,Gaardedreef,Zoetermeer
2723AH,4,,Gaardedreef,Zoetermeer
2723AH,6,,Gaardedreef,Zoetermeer
2723AH,8,,Gaardedreef,Zoetermeer
2723AJ,40,,Gaardedreef,Zoetermeer
2723AK,23,,Gaardedreef,Zoetermeer
2723AK,25,,Gaardedreef,Zoetermeer
2722AL,24,,Vendelpad,Zoetermeer
2722AN,21,,Lumeystraat,Zoetermeer
2722AN,24,,Lumeystraat,Zoetermeer
2722AN,26,,Lumeystraat,Zoetermeer
2722AN,27,,Lumeystraat,Zoetermeer
2722AP,46,,Lumeystraat,Zoetermeer
2722AR,18,,Van der Werffstraat,Zoetermeer
2722AR,19,,Van der Werffstraat,Zoetermeer
2722AR,21,,Van der Werffstraat,Zoetermeer
2722AS,26,,Van der Werffstraat,Zoetermeer
2722TE,737,,Willem van Cleeflaan,Zoetermeer
2722TE,747,,Willem van Cleeflaan,Zoetermeer
2721GB,186,,Tasmanië,Zoetermeer
2721GC,19,,Tonga,Zoetermeer
2722CA,9,,Van Nispenpad,Zoetermeer
2722CB,5,,Van Duvenvoordepad,Zoetermeer
2722CC,15,,Voorhamstraat,Zoetermeer
2722CC,21,,Voorhamstraat,Zoetermeer
2722CC,23,,Voorhamstraat,Zoetermeer
2722CD,37,,Voorhamstraat,Zoetermeer
2722CE,13,,Sandrinapad,Zoetermeer
2721BB,18,,Maasstroom,Zoetermeer
2721GT,72,,Sumatra,Zoetermeer
2721GT,94,,Sumatra,Zoetermeer
2721HA,15,,Sardinië,Zoetermeer
2721HA,25,,Sardinië,Zoetermeer
2721HA,29,,Sardinië,Zoetermeer
2721HA,41,,Sardinië,Zoetermeer
2721HA,57,,Sardinië,Zoetermeer
2723AK,35,,Gaardedreef,Zoetermeer
2723AK,7,,Gaardedreef,Zoetermeer
2723AK,9,,Gaardedreef,Zoetermeer
2723AL,77,,Gaardedreef,Zoetermeer
2723AM,19,,Pruimengaarde,Zoetermeer
2723AM,25,,Pruimengaarde,Zoetermeer
2723AM,29,,Pruimengaarde,Zoetermeer
2723AM,37,,Pruimengaarde,Zoetermeer
2721CG,5,,Spreestroom,Zoetermeer
2721CG,9,,Spreestroom,Zoetermeer
2721CH,14,,Taagstroom,Zoetermeer
2721CH,21,,Taagstroom,Zoetermeer
2721CJ,13,,Tarnstroom,Zoetermeer
2721CJ,15,,Tarnstroom,Zoetermeer
2721CJ,16,,Tarnstroom,Zoetermeer
2722TG,763,,Willem van Cleeflaan,Zoetermeer
2722TG,765,,Willem van Cleeflaan,Zoetermeer
2722TG,775,,Willem van Cleeflaan,Zoetermeer
2722TJ,853,,Willem van Cleeflaan,Zoetermeer
2722TJ,857,,Willem van Cleeflaan,Zoetermeer
2722TJ,861,,Willem van Cleeflaan,Zoetermeer
2722TK,879,,Willem van Cleeflaan,Zoetermeer
2722TK,881,,Willem van Cleeflaan,Zoetermeer
2722TK,893,,Willem van Cleeflaan,Zoetermeer
2721AA,23,,Donaustroom,Zoetermeer
2721GC,29,,Tonga,Zoetermeer
2721GC,31,,Tonga,Zoetermeer
2721GG,53,,Sumatra,Zoetermeer
2721GH,135,,Sumatra,Zoetermeer
2721GH,67,,Sumatra,Zoetermeer
2721GH,71,,Sumatra,Zoetermeer
2722XJ,46,,Florens van Brederodelaan,Zoetermeer
2722XJ,56,,Florens van Brederodelaan,Zoetermeer
2722XJ,66,,Florens van Brederodelaan,Zoetermeer
2721AX,53,,IJsselstroom,Zoetermeer
2721AX,85,,IJsselstroom,Zoetermeer
2721AZ,171,,IJsselstroom,Zoetermeer
2721AZ,177,,IJsselstroom,Zoetermeer
2721AZ,191,,IJsselstroom,Zoetermeer
2721AZ,205,,IJsselstroom,Zoetermeer
2721CL,21,,Tiberstroom,Zoetermeer
2721CL,23,,Tiberstroom,Zoetermeer
2721CL,25,,Tiberstroom,Zoetermeer
2721HP,4,,Sint Helena,Zoetermeer
2721HP,6,,Sint Helena,Zoetermeer
2721JB,48,,Lombok,Zoetermeer
2721JB,50,,Lombok,Zoetermeer
2721JB,6,,Lombok,Zoetermeer
2722ZK,494,,Du Meelaan,Zoetermeer
2722ZL,504,,Du Meelaan,Zoetermeer
2722ZL,510,,Du Meelaan,Zoetermeer
2722ZL,520,,Du Meelaan,Zoetermeer
2722ZM,542,,Du Meelaan,Zoetermeer
2722ZM,552,,Du Meelaan,Zoetermeer
2722ZM,568,,Du Meelaan,Zoetermeer
2722ZM,570,,Du Meelaan,Zoetermeer
2722ZM,588,,Du Meelaan,Zoetermeer
2723AA,17,,Moerbeigaarde,Zoetermeer
2722VG,1106,,Jan van Beierenlaan,Zoetermeer
2721AA,43,,Donaustroom,Zoetermeer
2721AA,5,,Donaustroom,Zoetermeer
2721AB,27,,Geulstroom,Zoetermeer
2721AB,33,,Geulstroom,Zoetermeer
