2718AL,66,,Spierwit,Zoetermeer
2718GW,26,,Grasgroen,Zoetermeer
2718GZ,3,,Grasgroen,Zoetermeer
2718EX,122,,Geel-groenlaan,Zoetermeer
2718AJ,307,,Derde Stationsstraat,Zoetermeer
2716BE,24,,Fivelingo,Zoetermeer
2716PD,17,,Wijnberg,Zoetermeer
2716PD,18,,Wijnberg,Zoetermeer
2716EJ,126,,Berglaan,Zoetermeer
2716EM,3,,Braamberg,Zoetermeer
2716BL,8,,Duiveland,Zoetermeer
2716EZ,21,,Holterberg,Zoetermeer
2716CA,1,,Westergo,Zoetermeer
2716EW,30,,Herikerberg,Zoetermeer
2716LJ,36,,Tijberg,Zoetermeer
2716LJ,42,,Tijberg,Zoetermeer
2716AA,2,,Vlieland,Zoetermeer
2716AA,3,,Vlieland,Zoetermeer
2716LN,2,,Valenberg,Zoetermeer
2716LR,57,,Valenberg,Zoetermeer
2721JD,15,,Lofoten,Zoetermeer
2719AE,16,,Bernadettegang,Zoetermeer
2719AE,20,,Bernadettegang,Zoetermeer
2719RR,14,,Barnsteen,Zoetermeer
2718KP,7,,Staalblauw,Zoetermeer
2718KR,101,,Staalblauw,Zoetermeer
2719KP,22,,Resakhout,Zoetermeer
2725BV,90,,Turfschipkade,Zoetermeer
2725BV,66,,Turfschipkade,Zoetermeer
2716PE,136,,Wijnberg,Zoetermeer
2716PE,131,,Wijnberg,Zoetermeer
2724TT,10,,Irisvaart,Zoetermeer
2724TT,2,,Irisvaart,Zoetermeer
2716NK,160,,Voorweg,Zoetermeer
2712BW,10,,Leidsewallen,Zoetermeer
2712KL,12,,Banckertstraat,Zoetermeer
2724TC,28,,Andoornvaart,Zoetermeer
2729LE,65,,Stellendamstraat,Zoetermeer
2716XT,153,,Herenwaard,Zoetermeer
2716XT,155,,Herenwaard,Zoetermeer
2716XB,180,,Bagijnenwaard,Zoetermeer
2713XE,624,,Dunantstraat,Zoetermeer
2722BH,18,,Van der Maasstraat,Zoetermeer
2716XT,149,,Herenwaard,Zoetermeer
2713BB,20,,Charlotteplaats,Zoetermeer
2713ER,2,,Koningstraat,Zoetermeer
2715BG,31,,Zwanewater,Zoetermeer
2718CZ,69,,Spectrumsingel,Zoetermeer
2716CG,16,,Biesland,Zoetermeer
2716BS,8,,Kennemerland,Zoetermeer
2716CA,55,,Westergo,Zoetermeer
2718KL,12,,Pruisisch blauw,Zoetermeer
2719AM,73,,Tintlaan,Zoetermeer
2719MB,7,,Eikehout,Zoetermeer
2719MD,1,,Essehout,Zoetermeer
2718KR,99,,Staalblauw,Zoetermeer
2716PE,133,,Wijnberg,Zoetermeer
2716PE,135,,Wijnberg,Zoetermeer
2724TT,6,,Irisvaart,Zoetermeer
2716XT,163,,Herenwaard,Zoetermeer
2713JA,32,,J.L. van Rijweg,Zoetermeer
2713ES,39,,Van Stolberglaan,Zoetermeer
2712EG,37,,Tollensstraat,Zoetermeer
2715AT,70,,Groenewater,Zoetermeer
2715AT,74,,Groenewater,Zoetermeer
2718BP,27,,Geel-groenlaan,Zoetermeer
2716PD,19,,Wijnberg,Zoetermeer
2716LJ,38,,Tijberg,Zoetermeer
2718BC,14,,Wit-geellaan,Zoetermeer
2719RR,10,,Barnsteen,Zoetermeer
2725BV,92,,Turfschipkade,Zoetermeer
2718RC,2,,Goudstraat,Zoetermeer
2716PE,132,,Wijnberg,Zoetermeer
2718AK,346,,Derde Stationsstraat,Zoetermeer
2716XT,165,,Herenwaard,Zoetermeer
2719TK,24,,Dolomiet,Zoetermeer
2721LG,1,,Aruba,Zoetermeer
2716XB,122,,Bagijnenwaard,Zoetermeer
2716XB,120,,Bagijnenwaard,Zoetermeer
2715AC,68,,Korfwater,Zoetermeer
2715AT,72,,Groenewater,Zoetermeer
