2931RH,9,,Hogerzeil,Krimpen aan de Lek
2941VJ,19,,Thorbeckestraat,Lekkerkerk
2941VE,30,,Lorentzweg,Lekkerkerk
2931AW,22,,Rijsdijk,Krimpen aan de Lek
2931PL,19,,Rederij van Holststraat,Krimpen aan de Lek
2941AG,16,,Lekdijksteeg,Lekkerkerk
2941EX,166,,Voorstraat,Lekkerkerk
2941GD,34,,Bilderdijkhof,Lekkerkerk
2941AE,3,,Lange Stoep,Lekkerkerk
2931SL,54,,Noord,Krimpen aan de Lek
2931XR,8,,Neptunushof,Krimpen aan de Lek
2941BP,136,,Kerkweg,Lekkerkerk
2931AR,61,,Onder de Waal,Krimpen aan de Lek
2931XZ,34,,De Dertienhuizen,Krimpen aan de Lek
2931GE,1000,,Houtzagersstraat,Krimpen aan de Lek
2931GE,4,NG01,Houtzagersstraat,Krimpen aan de Lek
2931RP,28,,Baken,Krimpen aan de Lek
2931GX,112,,Schoolstraat,Krimpen aan de Lek
2941TP,12,,Nicolaas Beetsstraat,Lekkerkerk
2941TD,4,,Molenwerf,Lekkerkerk
2931TN,12,,Leliestraat,Krimpen aan de Lek
2941TL,113,,Molenwerf,Lekkerkerk
2941PD,35,,Watersniplaan,Lekkerkerk
2941VB,24,,Kamerlingh Onnessingel,Lekkerkerk
2931CK,26,,Hoofdstraat,Krimpen aan de Lek
2941VJ,1002,,Thorbeckestraat,Lekkerkerk
2931XJ,18,,Joost van den Vondelstraat,Krimpen aan de Lek
2931GT,33,,Schoolstraat,Krimpen aan de Lek
2931XD,16,,Jacob Catsstraat,Krimpen aan de Lek
2941PD,63,,Watersniplaan,Lekkerkerk
2941PD,33,,Watersniplaan,Lekkerkerk
2941CE,9,,Luijtenstraat,Lekkerkerk
2931CH,133,,Hoofdstraat,Krimpen aan de Lek
2931PE,17,,Noorderlicht,Krimpen aan de Lek
2931CV,15,,Oranje Nassauplein,Krimpen aan de Lek
2941EW,110,,Voorstraat,Lekkerkerk
2931CZ,14,,Rembrandtstraat,Krimpen aan de Lek
2931CH,117,,Hoofdstraat,Krimpen aan de Lek
2941VG,5,,Piersonstraat,Lekkerkerk
2941BG,47,,Kerkweg,Lekkerkerk
2931TN,8,,Leliestraat,Krimpen aan de Lek
2941BM,52,,Kerkweg,Lekkerkerk
2941XX,8,,Baanderspad,Lekkerkerk
2931AD,57,,Dorpsstraat,Krimpen aan de Lek
2941CD,10,,Jan Tomstraat,Lekkerkerk
2931TK,55,,Klaproosveld,Krimpen aan de Lek
2931XW,6,,Speenhoffstraat,Krimpen aan de Lek
2941VN,7,,Willem Dreeshof,Lekkerkerk
2941BB,23,,Julianastraat,Lekkerkerk
2941GE,33,,Bilderdijkstraat,Lekkerkerk
2931CN,7,,Jan van Goyenstraat,Krimpen aan de Lek
2941XN,190,,Koninginneweg,Lekkerkerk
2931PJ,25,,Annetje Ockersstraat,Krimpen aan de Lek
2941RG,3,,Patrijspad,Lekkerkerk
2941GB,61,,Berlagestraat,Lekkerkerk
2931TT,10,,Speenkruidstraat,Krimpen aan de Lek
2941XA,12,,Beatrixplantsoen,Lekkerkerk
2941SB,69,,Jan Ligthartstraat,Lekkerkerk
2931GN,18,,Scheepmakersstraat,Krimpen aan de Lek
2941GN,21,,Jan Ligthartstraat,Lekkerkerk
