2935LE,1,,Tiendweg-Oost,Ouderkerk aan den IJssel
2935XG,4,,Graaf Hendrik van Nassaustraat,Ouderkerk aan den IJssel
2935SZ,3,,Wilgenhof,Ouderkerk aan den IJssel
2935BA,25,,Burgemeester Neetstraat,Ouderkerk aan den IJssel
2935VN,54,,Reigerlaan,Ouderkerk aan den IJssel
2831BJ,27,,Middelblok,Gouderak
2831AP,131,,Dorpsstraat,Gouderak
2935SW,5,,'t Sandtpad,Ouderkerk aan den IJssel
2935RB,5,,Polderhof,Ouderkerk aan den IJssel
2935XG,22,,Graaf Hendrik van Nassaustraat,Ouderkerk aan den IJssel
2935XP,6,,Marijkestraat,Ouderkerk aan den IJssel
2935BH,69,,IJsseldijk-Noord,Ouderkerk aan den IJssel
2935AS,8,,Burgemeester De Zeeuwlaan,Ouderkerk aan den IJssel
2935XC,7,,Dekkerstraat,Ouderkerk aan den IJssel
2935CT,401,,IJsseldijk-Noord,Ouderkerk aan den IJssel
2935SC,5,,Bakwetering,Ouderkerk aan den IJssel
2935XA,3,,Beatrixstraat,Ouderkerk aan den IJssel
2935AB,57,,Dorpsstraat,Ouderkerk aan den IJssel
2831XJ,2,,Kievit,Gouderak
2831AM,39,,Dorpsstraat,Gouderak
2831XL,15,,Groene Wetering,Gouderak
2935LC,21,,Oudelandseweg,Ouderkerk aan den IJssel
2935CM,25,,Wildertkade,Ouderkerk aan den IJssel
2935XJ,6,,Irenestraat,Ouderkerk aan den IJssel
2831BP,32,,Middelblok,Gouderak
2935BL,132,,IJsseldijk-Noord,Ouderkerk aan den IJssel
2935AD,130,,Dorpsstraat,Ouderkerk aan den IJssel
2935BA,15,,Burgemeester Neetstraat,Ouderkerk aan den IJssel
2935CR,342,,IJsseldijk-Noord,Ouderkerk aan den IJssel
2935VB,11,,De Kievit,Ouderkerk aan den IJssel
2935XW,2,,Wilhelminastraat,Ouderkerk aan den IJssel
2935AX,42,,Houtzaagmolen,Ouderkerk aan den IJssel
2935AS,37,,Burgemeester De Zeeuwlaan,Ouderkerk aan den IJssel
2935VD,17,,Ganzenhof,Ouderkerk aan den IJssel
2831BK,69,,Middelblok,Gouderak
2935LD,14,,Oudelandseweg,Ouderkerk aan den IJssel
2935XM,8,,Julianastraat,Ouderkerk aan den IJssel
2935AS,24,,Burgemeester De Zeeuwlaan,Ouderkerk aan den IJssel
2831AT,98,,Dorpsstraat,Gouderak
2935AK,100,,Kerkweg,Ouderkerk aan den IJssel
2935VD,9,,Ganzenhof,Ouderkerk aan den IJssel
2831XK,4,,Grutto,Gouderak
2935XG,8,,Graaf Hendrik van Nassaustraat,Ouderkerk aan den IJssel
2831KA,103,,Gouderakse Tiendweg,Gouderak
2935AS,21,,Burgemeester De Zeeuwlaan,Ouderkerk aan den IJssel
2935AD,126,,Dorpsstraat,Ouderkerk aan den IJssel
2831AM,12,,Veerstraat,Gouderak
2935BM,172,,IJsseldijk-Noord,Ouderkerk aan den IJssel
2831VE,2,,Kastanjehof,Gouderak
2935CT,418,,IJsseldijk-Noord,Ouderkerk aan den IJssel
2935SB,6,,Abelenlaan,Ouderkerk aan den IJssel
2831XS,46,,Boezemsingel,Gouderak
2935CE,6,,Lageweg,Ouderkerk aan den IJssel
2935BH,70,,IJsseldijk-Noord,Ouderkerk aan den IJssel
2935AB,99,,Dorpsstraat,Ouderkerk aan den IJssel
2935CV,5,,IJssellaan,Ouderkerk aan den IJssel
2935AP,22,,IJsseldijk-West,Ouderkerk aan den IJssel
2935SC,4,,Bakwetering,Ouderkerk aan den IJssel
2935BJ,92,,IJsseldijk-Noord,Ouderkerk aan den IJssel
2935VG,13,,Merelhof,Ouderkerk aan den IJssel
2935BL,143,,IJsseldijk-Noord,Ouderkerk aan den IJssel
2935BB,38,,Burgemeester Neetstraat,Ouderkerk aan den IJssel
2831VE,20,,Kastanjehof,Gouderak
2831XL,11,,Groene Wetering,Gouderak
2935XK,20,,Jan van Polanenstraat,Ouderkerk aan den IJssel
2935CL,3,,Vlamingsweer,Ouderkerk aan den IJssel
2935AV,36,,Sportlaan,Ouderkerk aan den IJssel
2935XH,52,,Graaf Hendrik van Nassaustraat,Ouderkerk aan den IJssel
2935TA,8,,De Doornboom,Ouderkerk aan den IJssel
2935SP,18,,Hennepwerf,Ouderkerk aan den IJssel
2831VN,26,,Pijlkruid,Gouderak
2935CK,3,,Schaapjeszijde,Ouderkerk aan den IJssel
2935CK,4,,Schaapjeszijde,Ouderkerk aan den IJssel
2831VD,16,,Iependaal,Gouderak
2935TC,39,,Aelbrecht van Naaldwijklaan,Ouderkerk aan den IJssel
2935AG,59,,Kerkweg,Ouderkerk aan den IJssel
2935TC,25,,Aelbrecht van Naaldwijklaan,Ouderkerk aan den IJssel
2935LC,25,,Oudelandseweg,Ouderkerk aan den IJssel
2935XG,15,,Graaf Hendrik van Nassaustraat,Ouderkerk aan den IJssel
2831BL,101,,Middelblok,Gouderak
2831AP,135,,Dorpsstraat,Gouderak
2935VJ,10,,Nachtegaallaan,Ouderkerk aan den IJssel
2935VH,6,,Mezenhof,Ouderkerk aan den IJssel
2831BR,142,,Middelblok,Gouderak
2935SP,8,,Hennepwerf,Ouderkerk aan den IJssel
2831BJ,5,,Middelblok,Gouderak
2935VC,17,,De Wulp,Ouderkerk aan den IJssel
2935BC,80,,Burgemeester Neetstraat,Ouderkerk aan den IJssel
2935VJ,4,,Nachtegaallaan,Ouderkerk aan den IJssel
2935AH,1,,Sportlaan,Ouderkerk aan den IJssel
2935XZ,1,,Sportlaan,Ouderkerk aan den IJssel
2935AH,81,,Kerkweg,Ouderkerk aan den IJssel
2935LB,25,,Zijdepark,Ouderkerk aan den IJssel
2935AH,125,,Kerkweg,Ouderkerk aan den IJssel
2935BM,194,,IJsseldijk-Noord,Ouderkerk aan den IJssel
2831XP,3,,Hazepad,Gouderak
2935VE,3,,Lijsterhof,Ouderkerk aan den IJssel
2831XL,37,,Groene Wetering,Gouderak
2935VR,5,,Wielewaal,Ouderkerk aan den IJssel
2831AE,188,,Kattendijk,Gouderak
2935AS,16,,Burgemeester De Zeeuwlaan,Ouderkerk aan den IJssel
2831BN,191,,Middelblok,Gouderak
2935AV,54,,Sportlaan,Ouderkerk aan den IJssel
2831BM,133,,Middelblok,Gouderak
2935AZ,13,,Parkzicht,Ouderkerk aan den IJssel
2935SN,34,,Essenlaan,Ouderkerk aan den IJssel
2831XS,74,,Boezemsingel,Gouderak
2935XR,6,,Tuindorp,Ouderkerk aan den IJssel
2935AJ,48,,Kerkweg,Ouderkerk aan den IJssel
2935AG,29,,Kerkweg,Ouderkerk aan den IJssel
2935CZ,4,,Kaaswetering,Ouderkerk aan den IJssel
2831XG,68,,Snip,Gouderak
2935BR,267,,IJsseldijk-Noord,Ouderkerk aan den IJssel
2831XS,64,,Boezemsingel,Gouderak
2935XP,31,,Marijkestraat,Ouderkerk aan den IJssel
2831AM,45,,Dorpsstraat,Gouderak
2935RA,10,,Geerlaan,Ouderkerk aan den IJssel
2935TC,1,,Aelbrecht van Naaldwijklaan,Ouderkerk aan den IJssel
2935CT,414,,IJsseldijk-Noord,Ouderkerk aan den IJssel
2935CR,341,,IJsseldijk-Noord,Ouderkerk aan den IJssel
2831XD,5,,Snip,Gouderak
2831XD,16,,Snip,Gouderak
2831AR,48,,Dorpsstraat,Gouderak
2935SR,7,,Hulsthof,Ouderkerk aan den IJssel
2935CT,4,,Vlietweer,Ouderkerk aan den IJssel
2935AR,67,,IJsseldijk-West,Ouderkerk aan den IJssel
2935SP,35,,Hennepwerf,Ouderkerk aan den IJssel
2935CM,27,,Wildertkade,Ouderkerk aan den IJssel
2831XE,17,,Snip,Gouderak
2831AD,155,,Kattendijk,Gouderak
2831VA,10,,Beukendaal,Gouderak
2935VH,1,,Mezenhof,Ouderkerk aan den IJssel
2935CE,28,,Lageweg,Ouderkerk aan den IJssel
2935BD,100,,Burgemeester Neetstraat,Ouderkerk aan den IJssel
2831VP,28,,Weegbree,Gouderak
2831VR,11,,Weegbree,Gouderak
2831XH,21,,Beemd,Gouderak
2935XW,90,,Wilhelminastraat,Ouderkerk aan den IJssel
2935AT,11,,Harmanshoeve,Ouderkerk aan den IJssel
2831VB,25,,Beukendaal,Gouderak
2935AR,36,,IJsseldijk-West,Ouderkerk aan den IJssel
2935XD,41,,Dekkerstraat,Ouderkerk aan den IJssel
2935SB,21,,Abelenlaan,Ouderkerk aan den IJssel
2935CR,346,,IJsseldijk-Noord,Ouderkerk aan den IJssel
2831VJ,6,,Elzenhof,Gouderak
2831XR,12,,Boezemsingel,Gouderak
2831AV,9,,Kerkhoflaan,Gouderak
2935CZ,22,,Kaaswetering,Ouderkerk aan den IJssel
2935RC,2,,Vliethof,Ouderkerk aan den IJssel
2935CS,353,,IJsseldijk-Noord,Ouderkerk aan den IJssel
2935CN,20,,Wildertkade,Ouderkerk aan den IJssel
2935VA,18,,De Grutto,Ouderkerk aan den IJssel
2935AN,9,,IJsseldijk-West,Ouderkerk aan den IJssel
2935CT,403,,IJsseldijk-Noord,Ouderkerk aan den IJssel
2935BB,14,,Burgemeester Neetstraat,Ouderkerk aan den IJssel
2831VL,3,,Wilgenhof,Gouderak
2831XG,44,,Snip,Gouderak
2831VE,11,,Kastanjehof,Gouderak
2935RA,7,,Geerlaan,Ouderkerk aan den IJssel
2935BK,108,,IJsseldijk-Noord,Ouderkerk aan den IJssel
2831VP,16,,Weegbree,Gouderak
2831BK,81,,Middelblok,Gouderak
2831XP,1,,Hazepad,Gouderak
2831AN,75,,Dorpsstraat,Gouderak
2831AK,22,,Kranepoort,Gouderak
2831XL,35,,Groene Wetering,Gouderak
2935AV,42,,Sportlaan,Ouderkerk aan den IJssel
2831AT,96,,Dorpsstraat,Gouderak
2935BM,193,,IJsseldijk-Noord,Ouderkerk aan den IJssel
2935BG,12,,IJsseldijk-Noord,Ouderkerk aan den IJssel
2935AR,61,,IJsseldijk-West,Ouderkerk aan den IJssel
2935AD,72,,Dorpsstraat,Ouderkerk aan den IJssel
2935XX,4,,Sportlaan,Ouderkerk aan den IJssel
2831AP,119,,Dorpsstraat,Gouderak
2831VM,28,,Dotterlei,Gouderak
2935LC,1,,Oudelandseweg,Ouderkerk aan den IJssel
2935VE,6,,Lijsterhof,Ouderkerk aan den IJssel
2831VD,21,,Iependaal,Gouderak
2935CD,45,,Lageweg,Ouderkerk aan den IJssel
2831VG,16,,Populierenhof,Gouderak
2831AH,4,,Schoolstraat,Gouderak
2831BN,209,,Middelblok,Gouderak
2935AW,8,,Heemraadsweg,Ouderkerk aan den IJssel
2831VG,15,,Populierenhof,Gouderak
2935BR,264,,IJsseldijk-Noord,Ouderkerk aan den IJssel
2935AK,70,,Kerkweg,Ouderkerk aan den IJssel
2831AC,123,,Kattendijk,Gouderak
2935VC,3,,De Wulp,Ouderkerk aan den IJssel
2935AK,80,,Kerkweg,Ouderkerk aan den IJssel
2831VH,12,,Eikenhof,Gouderak
2831XS,54,,Boezemsingel,Gouderak
2831VL,1,,Wilgenhof,Gouderak
2935CG,23,,Nieuwlandsekade,Ouderkerk aan den IJssel
2831AE,174,,Kattendijk,Gouderak
2831BR,158,,Middelblok,Gouderak
2935BJ,77,,IJsseldijk-Noord,Ouderkerk aan den IJssel
2935XW,54,,Wilhelminastraat,Ouderkerk aan den IJssel
2935CT,6,,Vlietweer,Ouderkerk aan den IJssel
2935AW,16,,Heemraadsweg,Ouderkerk aan den IJssel
2935AS,45,,Burgemeester De Zeeuwlaan,Ouderkerk aan den IJssel
2935AW,1,,Heemraadsweg,Ouderkerk aan den IJssel
2935VE,4,,Lijsterhof,Ouderkerk aan den IJssel
2935SJ,18,,De Meidoorn,Ouderkerk aan den IJssel
2935SN,52,,Essenlaan,Ouderkerk aan den IJssel
2935CE,60,,Lageweg,Ouderkerk aan den IJssel
2935BC,72,,Burgemeester Neetstraat,Ouderkerk aan den IJssel
2935CG,3,,Nieuwlandsekade,Ouderkerk aan den IJssel
2935SB,31,,Abelenlaan,Ouderkerk aan den IJssel
2935AA,9,,Dorpsstraat,Ouderkerk aan den IJssel
2935VG,9,,Merelhof,Ouderkerk aan den IJssel
2935CL,6,,Vlamingsweer,Ouderkerk aan den IJssel
2935SC,17,,Bakwetering,Ouderkerk aan den IJssel
2935BN,203,,IJsseldijk-Noord,Ouderkerk aan den IJssel
2831BT,41,,Veerstalblok,Gouderak
2831VE,24,,Kastanjehof,Gouderak
2935XW,58,,Wilhelminastraat,Ouderkerk aan den IJssel
2935SW,2,,'t Sandtpad,Ouderkerk aan den IJssel
2831XM,34,,Essendreef,Gouderak
2935BG,14,,IJsseldijk-Noord,Ouderkerk aan den IJssel
2831VN,9,,Pijlkruid,Gouderak
2831XK,2,,Grutto,Gouderak
2935AL,162,,Kerkweg,Ouderkerk aan den IJssel
2935BC,50,,Burgemeester Neetstraat,Ouderkerk aan den IJssel
2831XR,15,,Boezemsingel,Gouderak
2935AW,22,,Heemraadsweg,Ouderkerk aan den IJssel
2935CA,1,,Breeweer,Ouderkerk aan den IJssel
2831AT,106,,Dorpsstraat,Gouderak
2935BJ,89,,IJsseldijk-Noord,Ouderkerk aan den IJssel
2935XK,8,,Jan van Polanenstraat,Ouderkerk aan den IJssel
2935AX,5,,Houtzaagmolen,Ouderkerk aan den IJssel
2935SK,2,,De Peppel,Ouderkerk aan den IJssel
2935AC,12,,Dorpsstraat,Ouderkerk aan den IJssel
2935BK,103,,IJsseldijk-Noord,Ouderkerk aan den IJssel
2831BJ,33,,Middelblok,Gouderak
2831XL,19,,Groene Wetering,Gouderak
2935VM,32,,Reigerlaan,Ouderkerk aan den IJssel
2831AK,20,,Kranepoort,Gouderak
2935XL,9,,Julianastraat,Ouderkerk aan den IJssel
2935BA,1,,Burgemeester Neetstraat,Ouderkerk aan den IJssel
2831XS,92,,Boezemsingel,Gouderak
2935AS,35,,Burgemeester De Zeeuwlaan,Ouderkerk aan den IJssel
2935CZ,18,,Kaaswetering,Ouderkerk aan den IJssel
2831AJ,7,,Karel Doormanlaan,Gouderak
2935XW,96,,Wilhelminastraat,Ouderkerk aan den IJssel
2935XV,13,,Wilhelminastraat,Ouderkerk aan den IJssel
2935VV,9,,Leeuwerikhof,Ouderkerk aan den IJssel
2935XA,7,,Beatrixstraat,Ouderkerk aan den IJssel
2935CG,63,,Nieuwlandsekade,Ouderkerk aan den IJssel
2831VK,14,,Elzenhof,Gouderak
2935VM,16,,Reigerlaan,Ouderkerk aan den IJssel
2935BD,106,,Burgemeester Neetstraat,Ouderkerk aan den IJssel
2831AG,22,,Smitsstraat,Gouderak
2935XW,66,,Wilhelminastraat,Ouderkerk aan den IJssel
2935RC,15,,Vliethof,Ouderkerk aan den IJssel
2935VK,26,,Nachtegaallaan,Ouderkerk aan den IJssel
2935BB,44,,Burgemeester Neetstraat,Ouderkerk aan den IJssel
2935BN,224,,IJsseldijk-Noord,Ouderkerk aan den IJssel
2935CV,15,,IJssellaan,Ouderkerk aan den IJssel
2935BS,5,,De Wetering,Ouderkerk aan den IJssel
2935VP,10,,Vinkenhof,Ouderkerk aan den IJssel
2935VH,10,,Mezenhof,Ouderkerk aan den IJssel
