8748AM,30,,Oostend,Witmarsum
8765PA,21,,Hemdijk,Tjerkwerd
8765PD,4,,Jousterperweg,Tjerkwerd
8765LJ,2,,Kade,Tjerkwerd
8765PC,1,,Rytseterp,Tjerkwerd
8765PC,2,,Rytseterp,Tjerkwerd
8765PC,4,,Rytseterp,Tjerkwerd
8765LL,4,,Singel,Tjerkwerd
8754HE,7,,De Stienplaat,Makkum
8754BP,3,,Ds L Touwenlaan,Makkum
8748AK,24,,Menno Simonsstraat,Witmarsum
8754BS,4,,Ds L Touwenlaan,Makkum
8754BP,17,,Ds L Touwenlaan,Makkum
8754JE,2,,Engwierderlaan,Makkum
8754JE,23,,Engwierderlaan,Makkum
8754EH,24,,Gedempte Putten,Makkum
8754GG,4,,Grote Zijlroede,Makkum
8754GG,32,,Grote Zijlroede,Makkum
8748AK,26,,Menno Simonsstraat,Witmarsum
8754CV,10,,Schoolbuurt,Makkum
8754CV,12,,Schoolbuurt,Makkum
8754CV,16,,Schoolbuurt,Makkum
8754EM,2,,Slotmakersstraat,Makkum
8754EL,3,,Slotmakersstraat,Makkum
8754EM,4,,Slotmakersstraat,Makkum
8746NJ,21,,Dorpsstraat,Schraard
8754EL,5,,Slotmakersstraat,Makkum
8754EM,6,,Slotmakersstraat,Makkum
8754EL,9,,Slotmakersstraat,Makkum
8754EL,13,,Slotmakersstraat,Makkum
8754EM,14,,Slotmakersstraat,Makkum
8754EL,23,,Slotmakersstraat,Makkum
8754EM,24,,Slotmakersstraat,Makkum
8754EM,30,,Slotmakersstraat,Makkum
8754EM,32,,Slotmakersstraat,Makkum
8754EM,34,,Slotmakersstraat,Makkum
8746NJ,22,,Dorpsstraat,Schraard
8754EM,36,,Slotmakersstraat,Makkum
8754EM,40,,Slotmakersstraat,Makkum
8754EM,42,,Slotmakersstraat,Makkum
8754HA,2,,Strânwei,Makkum
8754HA,5,,Strânwei,Makkum
8754HA,7,,Strânwei,Makkum
8754CA,1,,Tichelwerk,Makkum
8754CB,2,,Tichelwerk,Makkum
8754CA,3,,Tichelwerk,Makkum
8746NJ,23,,Dorpsstraat,Schraard
8754CB,4,,Tichelwerk,Makkum
8754CA,5,,Tichelwerk,Makkum
8754CB,6,,Tichelwerk,Makkum
8754CA,9,,Tichelwerk,Makkum
8754CB,10,,Tichelwerk,Makkum
8748AH,30,,Mauritsstraat,Witmarsum
8754BL,27,,Lieuwkemastraat,Makkum
8754BN,28,,Lieuwkemastraat,Makkum
8754BL,29,,Lieuwkemastraat,Makkum
8754BN,30,,Lieuwkemastraat,Makkum
8754BL,31,,Lieuwkemastraat,Makkum
8754BN,32,,Lieuwkemastraat,Makkum
8754BL,33,,Lieuwkemastraat,Makkum
8754BN,34,,Lieuwkemastraat,Makkum
8754BN,36,,Lieuwkemastraat,Makkum
8754BL,37,,Lieuwkemastraat,Makkum
8748AH,32,,Mauritsstraat,Witmarsum
8754BN,38,,Lieuwkemastraat,Makkum
8754BL,35,,Lieuwkemastraat,Makkum
