463,5245AW,Groote Wielenlaan,Rosmalen
2,5245BA,Coupletweg,Rosmalen
4,5245BA,Coupletweg,Rosmalen
6,5245BA,Coupletweg,Rosmalen
8,5245BA,Coupletweg,Rosmalen
10,5245BA,Coupletweg,Rosmalen
12,5245BA,Coupletweg,Rosmalen
14,5245BA,Coupletweg,Rosmalen
16,5245BA,Coupletweg,Rosmalen
77,5211VJ,Boschveldweg,'s-Hertogenbosch
38,5211VT,Brugstraat,'s-Hertogenbosch
40,5211VT,Brugstraat,'s-Hertogenbosch
42,5211VT,Brugstraat,'s-Hertogenbosch
44,5211VT,Brugstraat,'s-Hertogenbosch
46,5211VT,Brugstraat,'s-Hertogenbosch
48,5211VT,Brugstraat,'s-Hertogenbosch
50,5211VT,Brugstraat,'s-Hertogenbosch
52,5211VT,Brugstraat,'s-Hertogenbosch
56,5211VT,Brugstraat,'s-Hertogenbosch
58,5211VT,Brugstraat,'s-Hertogenbosch
60,5211VT,Brugstraat,'s-Hertogenbosch
64,5211VT,Brugstraat,'s-Hertogenbosch
66,5211VT,Brugstraat,'s-Hertogenbosch
68,5211VT,Brugstraat,'s-Hertogenbosch
70,5211VT,Brugstraat,'s-Hertogenbosch
74,5211VT,Brugstraat,'s-Hertogenbosch
78,5211VT,Brugstraat,'s-Hertogenbosch
80,5211VT,Brugstraat,'s-Hertogenbosch
82,5211VT,Brugstraat,'s-Hertogenbosch
84,5211VT,Brugstraat,'s-Hertogenbosch
86,5211VT,Brugstraat,'s-Hertogenbosch
138,5223MT,Bordeslaan,'s-Hertogenbosch
46,5223DK,Westerparklaan,'s-Hertogenbosch
7,5232AA,Bruistensingel,'s-Hertogenbosch
8,5232AB,Bruistensingel,'s-Hertogenbosch
10,5232AB,Bruistensingel,'s-Hertogenbosch
21,5232AA,Bruistensingel,'s-Hertogenbosch
100,5232AC,Bruistensingel,'s-Hertogenbosch
102,5232AC,Bruistensingel,'s-Hertogenbosch
106,5232AC,Bruistensingel,'s-Hertogenbosch
108,5232AC,Bruistensingel,'s-Hertogenbosch
112,5232AC,Bruistensingel,'s-Hertogenbosch
114,5232AC,Bruistensingel,'s-Hertogenbosch
