3,5406PT,Nistelrodeseweg,Uden
7,5406VK,Slabroekseweg,Uden
5,5406NE,Ruitersweg,Uden
8,5406NB,Munterweg,Uden
7,5406TS,Canadasweg,Uden
1,5406PR,Boterkampweg,Uden
5,5406PS,Strikseweg,Uden
112,5402CV,Muziekplein,Uden
116,5402CV,Muziekplein,Uden
114,5402CV,Muziekplein,Uden
22,5403PA,Hoevenseweg,Uden
11,5403PD,Klantstraat,Uden
13,5403PD,Klantstraat,Uden
15,5403PD,Klantstraat,Uden
19,5403PD,Klantstraat,Uden
17,5403PD,Klantstraat,Uden
13,5406SC,Kleuterweg,Uden
4,5406SC,Kleuterweg,Uden
6,5406SC,Kleuterweg,Uden
2,5406SC,Kleuterweg,Uden
5,5406SC,Kleuterweg,Uden
9,5406SC,Kleuterweg,Uden
7,5406SC,Kleuterweg,Uden
17,5408AK,Aert Willemsstraat,Volkel
15,5408AK,Aert Willemsstraat,Volkel
13,5408AK,Aert Willemsstraat,Volkel
650,5403RJ,Wijsthoek,Uden
37,1234XX,St. Annastraat,Uden
1,5408RB,Oosterensepad,Volkel
74,5408RD,Antoniusstraat,Volkel
1,5408RG,Lagedijk,Volkel
68,5408RD,Antoniusstraat,Volkel
66,5408RD,Antoniusstraat,Volkel
2,5408RG,Lagedijk,Volkel
6,5408RG,Lagedijk,Volkel
8,5408RG,Lagedijk,Volkel
35,5408RV,Lagenheuvelstraat,Volkel
39,5408RD,Antoniusstraat,Volkel
35,5408RD,Antoniusstraat,Volkel
56,5408RD,Antoniusstraat,Volkel
58,5408RD,Antoniusstraat,Volkel
62,5408RD,Antoniusstraat,Volkel
64,5408RD,Antoniusstraat,Volkel
37,5408RD,Antoniusstraat,Volkel
54,5408RD,Antoniusstraat,Volkel
46,5408RD,Antoniusstraat,Volkel
50,5408RD,Antoniusstraat,Volkel
52,5408RD,Antoniusstraat,Volkel
34,5408AN,Antoniusstraat,Volkel
36,5408AN,Antoniusstraat,Volkel
38,5408AN,Antoniusstraat,Volkel
510,5403EK,Rentmeestershoef,Uden
508,5403EK,Rentmeestershoef,Uden
506,5403EK,Rentmeestershoef,Uden
20,5408NG,Beekvloed,Volkel
4,5401HX,Mondriaanplein,Uden
48,5401GS,Brabantplein,Uden
46,5401GS,Brabantplein,Uden
44,5401GS,Brabantplein,Uden
50,5401GS,Brabantplein,Uden
16,5402GH,Prior van Milstraat,Uden
109,5402GR,Prior van Milstraat,Uden
8,5406XP,Vluchtoord,Uden
25,5405BH,Vliegeniersstraat,Uden
28,5405BH,Vliegeniersstraat,Uden
4,5405BD,Bovenstraat,Uden
2,5405BS,Koperslagerstraat,Uden
4,5405BS,Koperslagerstraat,Uden
1,5404NM,Sportlaan,Uden
13,5401PC,Groenewoud,Uden
15,5401PC,Groenewoud,Uden
19,5401ED,Burgemeester Buskensstraat,Uden
19,5402ED,Heinsbergenstraat,Uden
28,5402XD,Leeuweriksweg,Uden
58,5402EG,Heinsbergenstraat,Uden
14,5401EB,Mgr. Bosstraat,Uden
3,5404NM,Sportlaan,Uden
