5688EA,1,,Harnasweg,Oirschot
5688VT,15,,den Bongerd,Oirschot
5688LJ,2,,'t Ven,Oirschot
5688GP,4,,Bloemendaal,Oirschot
5688LN,3,,Logtsebaan,Oirschot
5688RK,37,,het Veld,Oirschot
5688AV,46,,Agnes van Kleefstraat,Oirschot
5688NB,20,,Notel,Oirschot
5688BW,3,,Moosbroek,Oirschot
5688DZ,8,,van Eschstraat,Oirschot
5688TG,26,,Keizerweg,Oirschot
5688RZ,1,,de Geer,Oirschot
5688KL,15,,Merodelaan,Oirschot
5688BR,50,,Karel Doormanlaan,Oirschot
5688VX,4,,Jonathan,Oirschot
5688AD,14,,Molenstraat,Oirschot
5688NW,7,,Heersdijk,Oirschot
5688MA,22,,Oude Grintweg,Oirschot
5688EH,3,,Parallelweg,Oirschot
5688LL,8,,Bremsteeg,Oirschot
5688SE,23,,het Bovenwiel,Oirschot
5688EB,6,,Dr van Wamelstraat,Oirschot
5688VV,15,,Goudrenet,Oirschot
5688BX,18,,Kwinkert,Oirschot
5688NP,35,,Bestseweg,Oirschot
5688BS,2,,Jan van Galenstraat,Oirschot
5688LK,41,,Nieuwedijk,Oirschot
5688PJ,75,,Castaert,Oirschot
5688CA,6,,Keiaart,Oirschot
5688ED,18,,Rijkesluisstraat,Oirschot
5688DK,27,,Raffendonkstraat,Oirschot
5688HD,1,,Beerseweg,Oirschot
5688HX,9,,Boterwijksestraat,Oirschot
5688AH,30,,Koestraat,Oirschot
5688DW,13,,van der Hofstatstraat,Oirschot
5688DD,4,,Schoemekerstraat,Oirschot
5688AC,27,,Molenstraat,Oirschot
5688KC,107,,Spoordonkseweg,Oirschot
5688BG,7,,Begijnhof,Oirschot
5688ES,34,,Kapittelhof,Oirschot
5688DP,24,,Industrieweg,Oirschot
5688TM,10,,St. Barbarastraat,Oirschot
5688TT,26,,de Toog,Oirschot
5688NZ,7,,Lazarusbocht,Oirschot
5688DD,5,,Schoemekerstraat,Oirschot
5688CZ,3,,Snellaertsstraat,Oirschot
5688TP,8,,de Assekop,Oirschot
5688KT,8,,van Petershemstraat,Oirschot
5688JH,2,,Proosbroekweg,Oirschot
5688NC,16,,Schansstraat,Oirschot
5688LA,5,,Peperstraat,Oirschot
5688EK,1,,Wilhelminakade,Oirschot
5688NX,2,,de Stad,Oirschot
5688RJ,16,,Snijdersstraat,Oirschot
5688CL,30,,Michiel de Ruyterlaan,Oirschot
5688PJ,55,,Castaert,Oirschot
5688PD,48,,Cloete,Oirschot
5688CC,11,,Punder,Oirschot
5688NJ,17,,Straten,Oirschot
5688HZ,1,,Lieveld,Oirschot
5688CE,13,,Kortenaarlaan,Oirschot
5688TT,9,,de Toog,Oirschot
5688GH,23,,Slingerbos,Oirschot
5688SH,7,,de Wieg,Oirschot
5688BA,27,,St Odulphusstraat,Oirschot
5688PR,8,,Stapakker,Oirschot
5688TT,13,,de Toog,Oirschot
5688PJ,53,,Castaert,Oirschot
5688RP,14,,de Eeusel,Oirschot
5688AX,44,,Gasthuisstraat,Oirschot
5688XG,8,,den Uitvanck,Oirschot
5688EC,63,,Rijkesluisstraat,Oirschot
5688PK,2,,Nevenakker,Oirschot
5688DM,9,,Oude Bestseweg,Oirschot
5688RG,3,,van Heesterbeeckstraat,Oirschot
5688BL,9,,St. Jorishof,Oirschot
5688SN,12,,de Beempd,Oirschot
5688CZ,14,,Snellaertsstraat,Oirschot
5688NS,1,,Akkerweg,Oirschot
