5066PV,6,,Molenakkerstraat,Moergestel
5066XH,1,,Molenstraat,Moergestel
5066XH,2,,Molenstraat,Moergestel
5066XH,3,,Molenstraat,Moergestel
5066XH,4,,Molenstraat,Moergestel
5066XH,5,,Molenstraat,Moergestel
5066AG,1,,Nieuwenhoflaan,Moergestel
5066AG,10,,Nieuwenhoflaan,Moergestel
5066AG,11,,Nieuwenhoflaan,Moergestel
5066AG,2,,Nieuwenhoflaan,Moergestel
5066AG,3,,Nieuwenhoflaan,Moergestel
5066AG,4,,Nieuwenhoflaan,Moergestel
5066BB,19,,Prinses Beatrixstraat,Moergestel
5066BC,2,,Prinses Beatrixstraat,Moergestel
5066BC,20,,Prinses Beatrixstraat,Moergestel
5066BB,21,,Prinses Beatrixstraat,Moergestel
5066BC,22,,Prinses Beatrixstraat,Moergestel
5066BB,23,,Prinses Beatrixstraat,Moergestel
5066BC,24,,Prinses Beatrixstraat,Moergestel
5066BB,25,,Prinses Beatrixstraat,Moergestel
5066BC,26,,Prinses Beatrixstraat,Moergestel
5066BB,27,,Prinses Beatrixstraat,Moergestel
5066BC,28,,Prinses Beatrixstraat,Moergestel
5066BB,3,,Prinses Beatrixstraat,Moergestel
5066BC,30,,Prinses Beatrixstraat,Moergestel
5066BC,32,,Prinses Beatrixstraat,Moergestel
5066BC,34,,Prinses Beatrixstraat,Moergestel
5066BC,36,,Prinses Beatrixstraat,Moergestel
5066BC,38,,Prinses Beatrixstraat,Moergestel
5066BC,4,,Prinses Beatrixstraat,Moergestel
5066BB,5,,Prinses Beatrixstraat,Moergestel
5066BC,6,,Prinses Beatrixstraat,Moergestel
5066BB,7,,Prinses Beatrixstraat,Moergestel
5066BC,8,,Prinses Beatrixstraat,Moergestel
5066BB,9,,Prinses Beatrixstraat,Moergestel
5066BE,1,,Prinses Christinastraat,Moergestel
5066BE,10,,Prinses Christinastraat,Moergestel
5066BE,12,,Prinses Christinastraat,Moergestel
5066BE,2,,Prinses Christinastraat,Moergestel
5066BE,3,,Prinses Christinastraat,Moergestel
5066BE,4,,Prinses Christinastraat,Moergestel
5066BE,5,,Prinses Christinastraat,Moergestel
5066BE,6,,Prinses Christinastraat,Moergestel
5066BE,8,,Prinses Christinastraat,Moergestel
5066BD,10,,Prinses Irenestraat,Moergestel
5066BD,11,,Prinses Irenestraat,Moergestel
5066BD,12,,Prinses Irenestraat,Moergestel
5066BD,13,,Prinses Irenestraat,Moergestel
5066BD,14,,Prinses Irenestraat,Moergestel
5066BD,16,,Prinses Irenestraat,Moergestel
5066BD,18,,Prinses Irenestraat,Moergestel
5066BD,2,,Prinses Irenestraat,Moergestel
5066BD,20,,Prinses Irenestraat,Moergestel
5066BD,22,,Prinses Irenestraat,Moergestel
5066BD,3,,Prinses Irenestraat,Moergestel
5066BD,4,,Prinses Irenestraat,Moergestel
5066BD,5,,Prinses Irenestraat,Moergestel
5066BD,6,,Prinses Irenestraat,Moergestel
5066BD,7,,Prinses Irenestraat,Moergestel
5066BD,8,,Prinses Irenestraat,Moergestel
5066BD,9,,Prinses Irenestraat,Moergestel
5066BA,1,,Prinses Margrietstraat,Moergestel
5066BA,10,,Prinses Margrietstraat,Moergestel
5066BA,11,,Prinses Margrietstraat,Moergestel
5066BA,13,,Prinses Margrietstraat,Moergestel
5066BA,15,,Prinses Margrietstraat,Moergestel
5066BA,16,,Prinses Margrietstraat,Moergestel
5066BA,17,,Prinses Margrietstraat,Moergestel
5066BA,18,,Prinses Margrietstraat,Moergestel
5066BA,19,,Prinses Margrietstraat,Moergestel
5066BA,20,,Prinses Margrietstraat,Moergestel
5066BA,21,,Prinses Margrietstraat,Moergestel
5066BA,22,,Prinses Margrietstraat,Moergestel
5066BA,23,,Prinses Margrietstraat,Moergestel
5066BA,25,,Prinses Margrietstraat,Moergestel
5066BA,27,,Prinses Margrietstraat,Moergestel
5066BA,4,,Prinses Margrietstraat,Moergestel
5066BA,6,,Prinses Margrietstraat,Moergestel
5066BA,8,,Prinses Margrietstraat,Moergestel
5066BA,9,,Prinses Margrietstraat,Moergestel
5066AP,1,,Raadhuisstraat,Moergestel
5066AP,11,,Raadhuisstraat,Moergestel
5066AP,12,,Raadhuisstraat,Moergestel
5066AP,13,,Raadhuisstraat,Moergestel
5066AP,14,,Raadhuisstraat,Moergestel
5066AP,15,,Raadhuisstraat,Moergestel
5066AP,16,,Raadhuisstraat,Moergestel
5066AP,18,,Raadhuisstraat,Moergestel
5066AP,19,,Raadhuisstraat,Moergestel
5066AP,20,,Raadhuisstraat,Moergestel
5066AP,21,,Raadhuisstraat,Moergestel
5066AP,22,,Raadhuisstraat,Moergestel
5066AP,24,,Raadhuisstraat,Moergestel
5066AP,25,,Raadhuisstraat,Moergestel
5066AP,26,,Raadhuisstraat,Moergestel
5066AP,27,,Raadhuisstraat,Moergestel
5066AP,28,,Raadhuisstraat,Moergestel
5066AP,28,BIJ,Raadhuisstraat,Moergestel
5066AP,29,,Raadhuisstraat,Moergestel
5066AP,3,,Raadhuisstraat,Moergestel
5066AP,31,,Raadhuisstraat,Moergestel
5066AP,32,,Raadhuisstraat,Moergestel
5066AP,33,,Raadhuisstraat,Moergestel
5066AP,34,,Raadhuisstraat,Moergestel
5066AP,35,,Raadhuisstraat,Moergestel
5066AP,36,,Raadhuisstraat,Moergestel
5066AP,37,,Raadhuisstraat,Moergestel
5066AP,38,,Raadhuisstraat,Moergestel
5066AP,40,,Raadhuisstraat,Moergestel
5066AP,42,,Raadhuisstraat,Moergestel
5066AP,44,,Raadhuisstraat,Moergestel
5066AP,46,,Raadhuisstraat,Moergestel
5066AP,48,,Raadhuisstraat,Moergestel
5066AP,5,,Raadhuisstraat,Moergestel
5066AP,50,,Raadhuisstraat,Moergestel
5066AP,52,,Raadhuisstraat,Moergestel
5066AP,54,,Raadhuisstraat,Moergestel
5066AP,56,,Raadhuisstraat,Moergestel
5066AP,58,,Raadhuisstraat,Moergestel
5066AP,60,,Raadhuisstraat,Moergestel
5066AP,62,,Raadhuisstraat,Moergestel
5066AP,64,,Raadhuisstraat,Moergestel
5066AP,66,,Raadhuisstraat,Moergestel
5066AP,68,,Raadhuisstraat,Moergestel
5066AP,7,,Raadhuisstraat,Moergestel
5066AP,70,,Raadhuisstraat,Moergestel
5066AP,72,,Raadhuisstraat,Moergestel
5066AP,74,,Raadhuisstraat,Moergestel
5066AP,76,,Raadhuisstraat,Moergestel
5066AP,78,,Raadhuisstraat,Moergestel
5066AP,80,,Raadhuisstraat,Moergestel
5066AP,9,,Raadhuisstraat,Moergestel
5066XN,1,,Raamackerstraat,Moergestel
5066XN,10,,Raamackerstraat,Moergestel
5066XN,11,,Raamackerstraat,Moergestel
5066XN,12,,Raamackerstraat,Moergestel
5066XN,13,,Raamackerstraat,Moergestel
5066XN,14,,Raamackerstraat,Moergestel
5066XN,15,,Raamackerstraat,Moergestel
5066XN,16,,Raamackerstraat,Moergestel
5066XN,18,,Raamackerstraat,Moergestel
5066XN,2,,Raamackerstraat,Moergestel
5066XN,20,,Raamackerstraat,Moergestel
5066XN,3,,Raamackerstraat,Moergestel
5066XN,4,,Raamackerstraat,Moergestel
5066XN,5,,Raamackerstraat,Moergestel
5066GM,19,,Pastoor Müskenshof,Moergestel
5066GM,2,,Pastoor Müskenshof,Moergestel
5066GM,20,,Pastoor Müskenshof,Moergestel
5066GM,21,,Pastoor Müskenshof,Moergestel
5066GM,23,,Pastoor Müskenshof,Moergestel
5066GM,25,,Pastoor Müskenshof,Moergestel
5066GM,3,,Pastoor Müskenshof,Moergestel
5066GM,4,,Pastoor Müskenshof,Moergestel
5066GM,5,,Pastoor Müskenshof,Moergestel
5066GM,6,,Pastoor Müskenshof,Moergestel
5066GM,7,,Pastoor Müskenshof,Moergestel
5066GM,8,,Pastoor Müskenshof,Moergestel
5066GM,9,,Pastoor Müskenshof,Moergestel
5066VM,1,,Pastoor van den Boogaardstraat,Moergestel
5066VN,10,,Pastoor van den Boogaardstraat,Moergestel
5066VM,11,,Pastoor van den Boogaardstraat,Moergestel
5066VN,12,,Pastoor van den Boogaardstraat,Moergestel
5066VM,13,,Pastoor van den Boogaardstraat,Moergestel
5066VN,14,,Pastoor van den Boogaardstraat,Moergestel
5066VM,15,,Pastoor van den Boogaardstraat,Moergestel
5066VN,16,,Pastoor van den Boogaardstraat,Moergestel
5066VM,17,,Pastoor van den Boogaardstraat,Moergestel
5066VN,18,,Pastoor van den Boogaardstraat,Moergestel
5066VM,19,,Pastoor van den Boogaardstraat,Moergestel
