5397BH,20,,Wiegersmastraat,Lith
5396PL,2,,Nieuwstraat,Lithoijen
5398JH,23,,Provincialeweg,Maren-Kessel
5398JL,26,,Provincialeweg,Maren-Kessel
5398JH,27,,Provincialeweg,Maren-Kessel
5398JM,28,,Provincialeweg,Maren-Kessel
5398JH,29,,Provincialeweg,Maren-Kessel
5398JM,32,,Provincialeweg,Maren-Kessel
5398JH,33,,Provincialeweg,Maren-Kessel
5398JM,42,,Provincialeweg,Maren-Kessel
5398JH,43,,Provincialeweg,Maren-Kessel
5398JM,44,,Provincialeweg,Maren-Kessel
5398JM,46,,Provincialeweg,Maren-Kessel
5398JJ,47,,Provincialeweg,Maren-Kessel
5398JM,48,,Provincialeweg,Maren-Kessel
5398JM,50,,Provincialeweg,Maren-Kessel
5398JM,58,,Provincialeweg,Maren-Kessel
5398JM,60,,Provincialeweg,Maren-Kessel
5398JM,62,,Provincialeweg,Maren-Kessel
5398JJ,63,,Provincialeweg,Maren-Kessel
5398JJ,65,,Provincialeweg,Maren-Kessel
5398JJ,67,,Provincialeweg,Maren-Kessel
5398JM,68,,Provincialeweg,Maren-Kessel
5398JJ,69,,Provincialeweg,Maren-Kessel
5398JJ,73,,Provincialeweg,Maren-Kessel
5398JK,95,,Provincialeweg,Maren-Kessel
5398JK,97,,Provincialeweg,Maren-Kessel
5398JK,101,,Provincialeweg,Maren-Kessel
5398HR,3,,Pastoor Roesweg,Maren-Kessel
5398HR,2,,Pastoor Roesweg,Maren-Kessel
5398HR,6,,Pastoor Roesweg,Maren-Kessel
5398HR,10,,Pastoor Roesweg,Maren-Kessel
5398HR,11,,Pastoor Roesweg,Maren-Kessel
5398HR,12,,Pastoor Roesweg,Maren-Kessel
5398HR,13,,Pastoor Roesweg,Maren-Kessel
5398HR,14,,Pastoor Roesweg,Maren-Kessel
5398HR,15,,Pastoor Roesweg,Maren-Kessel
5398HR,24,,Pastoor Roesweg,Maren-Kessel
5398HR,26,,Pastoor Roesweg,Maren-Kessel
5398HR,28,,Pastoor Roesweg,Maren-Kessel
5398HR,30,,Pastoor Roesweg,Maren-Kessel
5398HS,1,,Schoolstraat,Maren-Kessel
5398HS,2,,Schoolstraat,Maren-Kessel
5398HS,4,,Schoolstraat,Maren-Kessel
5398HS,5,,Schoolstraat,Maren-Kessel
5398HS,10,,Schoolstraat,Maren-Kessel
5398HS,15,,Schoolstraat,Maren-Kessel
5398JV,1,,Burgemeester Smitsweg,Maren-Kessel
5398JV,4,,Burgemeester Smitsweg,Maren-Kessel
5398HA,2,,Velmerweg,Maren-Kessel
5398CK,9,,Vorstweg,Maren-Kessel
5398HL,3,,Dr. Willemsstraat,Maren-Kessel
5396PL,10,,Nieuwstraat,Lithoijen
5396NJ,1,,Olijfstraat,Lithoijen
5396PA,1,,Osseweg,Lithoijen
5396PE,7,,Schutstraat,Lithoijen
5396PE,9,,Schutstraat,Lithoijen
5396NB,2,,Sluisstraat,Lithoijen
5396NN,4,,Steegeindstraat,Lithoijen
5396NN,8,,Steegeindstraat,Lithoijen
5396PK,1,,Stuwstraat,Lithoijen
5396PK,2,,Stuwstraat,Lithoijen
5396PK,4,,Stuwstraat,Lithoijen
5396PK,5,,Stuwstraat,Lithoijen
5396PK,10,,Stuwstraat,Lithoijen
5396NV,27,,Valkseweg,Lithoijen
5396NV,31,,Valkseweg,Lithoijen
5396NM,4,,Weisestraat,Lithoijen
5396NL,5,,Weisestraat,Lithoijen
5396NL,7,,Weisestraat,Lithoijen
5396NM,8,,Weisestraat,Lithoijen
5396NL,13,,Weisestraat,Lithoijen
5396NL,19,,Weisestraat,Lithoijen
5396NM,22,,Weisestraat,Lithoijen
5396NL,29,,Weisestraat,Lithoijen
5396NL,33,,Weisestraat,Lithoijen
5396NS,3,,Leijgraafstraat,Lithoijen
5394LN,11,,Beatrixweg,Oijen
5396PC,11,,Beatrixweg,Lithoijen
5394AG,4,,Bernhardweg,Oijen
5394AG,7,,Bernhardweg,Oijen
5394LM,24,,Bernhardweg,Oijen
5394LM,26,,Bernhardweg,Oijen
5394AG,9,,Bernhardweg,Oijen
5394LM,28,,Bernhardweg,Oijen
5394LM,50,,Bernhardweg,Oijen
5394LM,60,,Bernhardweg,Oijen
5394AG,23,,Bernhardweg,Oijen
5394AG,27,,Bernhardweg,Oijen
5394AG,29,,Bernhardweg,Oijen
5394LM,33,,Bernhardweg,Oijen
5394AW,1,,Den Bogert,Oijen
5394AW,3,,Den Bogert,Oijen
5394AW,6,,Den Bogert,Oijen
5394AW,10,,Den Bogert,Oijen
5394AW,11,,Den Bogert,Oijen
5394AW,13,,Den Bogert,Oijen
5394AW,14,,Den Bogert,Oijen
5394AW,15,,Den Bogert,Oijen
5394AW,17,,Den Bogert,Oijen
5394AW,31,,Den Bogert,Oijen
5394AW,33,,Den Bogert,Oijen
5394AP,1,,Dirk van Meerhemgaarde,Oijen
5398CE,3,,Achterstraat,Maren-Kessel
5398HT,1,,Achtmorgenstraat,Maren-Kessel
5398HT,4,,Achtmorgenstraat,Maren-Kessel
5397ES,65,,Constantijnstraat,Lith
5397AR,4,,Meester van Coothstraat,Lith
5397AT,7,,Meester van Coothstraat,Lith
5397AT,13,,Meester van Coothstraat,Lith
5397AT,17,,Meester van Coothstraat,Lith
5397AR,20,,Meester van Coothstraat,Lith
5397AT,21,,Meester van Coothstraat,Lith
5397AS,22,,Meester van Coothstraat,Lith
5397AT,23,,Meester van Coothstraat,Lith
5397AS,24,,Meester van Coothstraat,Lith
5397AV,29,,Meester van Coothstraat,Lith
5397AV,35,,Meester van Coothstraat,Lith
5397LL,40,,Meester van Coothstraat,Lith
5397LL,45,,Meester van Coothstraat,Lith
5397LL,47,,Meester van Coothstraat,Lith
5397LL,50,,Meester van Coothstraat,Lith
5397LL,51,,Meester van Coothstraat,Lith
5397LL,61,,Meester van Coothstraat,Lith
5398HM,10,,Dr. Willemsstraat,Maren-Kessel
5398HL,11,,Dr. Willemsstraat,Maren-Kessel
5398HM,12,,Dr. Willemsstraat,Maren-Kessel
5398HL,13,,Dr. Willemsstraat,Maren-Kessel
5398HM,16,,Dr. Willemsstraat,Maren-Kessel
5398HL,17,,Dr. Willemsstraat,Maren-Kessel
5398HM,18,,Dr. Willemsstraat,Maren-Kessel
5398HL,27,,Dr. Willemsstraat,Maren-Kessel
5398JB,1,,Wijlseweg,Maren-Kessel
5398JB,3,,Wijlseweg,Maren-Kessel
5398JB,11,,Wijlseweg,Maren-Kessel
5398JB,13,,Wijlseweg,Maren-Kessel
5398KC,3,,Leeuwkesgraaf,Maren-Kessel
5398KC,10,,Leeuwkesgraaf,Maren-Kessel
5398KC,12,,Leeuwkesgraaf,Maren-Kessel
5398KC,16,,Leeuwkesgraaf,Maren-Kessel
5398KC,18,,Leeuwkesgraaf,Maren-Kessel
5398KG,1,,Nieuwe Provincialeweg,Maren-Kessel
5398KG,3,,Nieuwe Provincialeweg,Maren-Kessel
5398KG,11,,Nieuwe Provincialeweg,Maren-Kessel
5398KG,15,,Nieuwe Provincialeweg,Maren-Kessel
5398KG,21,,Nieuwe Provincialeweg,Maren-Kessel
5398KJ,1,,Nieuweweg,Maren-Kessel
5398KB,1,,Paalderweg,Maren-Kessel
5398KA,1,,Wildseweg,Maren-Kessel
5398KA,4,,Wildseweg,Maren-Kessel
5398KD,4,,Zandenweg,Maren-Kessel
5396PX,18,,Kleine Eng,Lithoijen
5396PX,16,,Kleine Eng,Lithoijen
5396NG,46,,Lithoijense Dijk,Lithoijen
5398KC,15,,Leeuwkesgraaf,Maren-Kessel
5398KC,13,BY,Leeuwkesgraaf,Maren-Kessel
5398KC,13,,Leeuwkesgraaf,Maren-Kessel
5398KM,16,,Marense Dijk,Maren-Kessel
5396NK,34,,Valkseweg,Lithoijen
5397BK,33,,Pastoor van Hapertstraat,Lith
5394LM,32,,Bernhardweg,Oijen
5398HX,8,,Van Irhovenstraat,Maren-Kessel
5398JS,7,,Oude Kerkstraat,Maren-Kessel
5397LD,1,,Spapenhoefstraat,Lith
5398HW,14,,Hille Kampkes,Maren-Kessel
5398HV,15,,Hille Kampkes,Maren-Kessel
5398HW,16,,Hille Kampkes,Maren-Kessel
5398HV,17,,Hille Kampkes,Maren-Kessel
5398HV,19,,Hille Kampkes,Maren-Kessel
5398HW,20,,Hille Kampkes,Maren-Kessel
5398HV,25,,Hille Kampkes,Maren-Kessel
5398HV,31,,Hille Kampkes,Maren-Kessel
5398CJ,1,,Hoevenweg,Maren-Kessel
5398HH,1,,Kerkhofstraat,Maren-Kessel
5398HH,2,,Kerkhofstraat,Maren-Kessel
5398HH,3,,Kerkhofstraat,Maren-Kessel
5398HH,14,,Kerkhofstraat,Maren-Kessel
5398HJ,4,,Kerkweg,Maren-Kessel
5398HJ,8,,Kerkweg,Maren-Kessel
5398HJ,14,,Kerkweg,Maren-Kessel
5398CA,4,,Kesselse Dijk,Maren-Kessel
5398CA,5,,Kesselse Dijk,Maren-Kessel
5398CA,8,,Kesselse Dijk,Maren-Kessel
5398CA,11,,Kesselse Dijk,Maren-Kessel
5398CA,13,,Kesselse Dijk,Maren-Kessel
5398CA,19,,Kesselse Dijk,Maren-Kessel
5398CA,22,,Kesselse Dijk,Maren-Kessel
5398CA,23,,Kesselse Dijk,Maren-Kessel
5398CB,24,,Kesselse Dijk,Maren-Kessel
5398CB,27,,Kesselse Dijk,Maren-Kessel
5396NA,18,,Molenweg,Lithoijen
5396NA,24,,Molenweg,Lithoijen
5396NA,26,,Molenweg,Lithoijen
5396NA,30,,Molenweg,Lithoijen
5396PL,1,,Nieuwstraat,Lithoijen
5397AH,30,,Lange Weide,Lith
5397AH,32,,Lange Weide,Lith
5397AG,35,,Lange Weide,Lith
5397AG,37,,Lange Weide,Lith
5397AH,40,,Lange Weide,Lith
5397AG,41,,Lange Weide,Lith
5397LG,9,,Lithergraaf,Lith
5397LG,14,,Lithergraaf,Lith
5397EA,1,,Lithse Dijk,Lith
5397EC,2,,Lithse Dijk,Lith
5397EA,3,,Lithse Dijk,Lith
5397EC,6,,Lithse Dijk,Lith
5397EA,7,,Lithse Dijk,Lith
5397EC,10,,Lithse Dijk,Lith
5397EC,12,,Lithse Dijk,Lith
5397EA,27,,Lithse Dijk,Lith
5397EC,30,,Lithse Dijk,Lith
5397EC,32,,Lithse Dijk,Lith
5397EA,33,,Lithse Dijk,Lith
5397EB,53,,Lithse Dijk,Lith
5397ED,70,,Lithse Dijk,Lith
5397EB,57,,Lithse Dijk,Lith
5397EE,72,,Lithse Dijk,Lith
5397EE,84,,Lithse Dijk,Lith
5397EE,100,,Lithse Dijk,Lith
5397LK,118,,Lithse Dijk,Lith
5397LK,120,,Lithse Dijk,Lith
5397EV,19,,Marktplein,Lith
5397EV,35,,Marktplein,Lith
5397EV,41,,Marktplein,Lith
5397EP,1,,Mauritsstraat,Lith
5397EP,14,,Mauritsstraat,Lith
5397EP,20,,Mauritsstraat,Lith
5397AM,6,,Moleneind,Lith
5397EL,4,,Molenstraat,Lith
5397EL,8,,Molenstraat,Lith
5397EK,19,,Molenstraat,Lith
5398CB,34,,Kesselse Dijk,Maren-Kessel
5398CH,5,,Kesselsegraaf,Lith
5398HC,7,,Kesselseweg,Maren-Kessel
5398JA,6,,Liesdaalweg,Maren-Kessel
