5258VE,44,,Zuid-Willemsvaart,Berlicum
5258JH,1,,De Vorweg,Berlicum
5258JH,3,,De Vorweg,Berlicum
5258AB,1,,Gildehof,Berlicum
5258AB,2,,Gildehof,Berlicum
5258AB,3,,Gildehof,Berlicum
5258AB,4,,Gildehof,Berlicum
5258AB,5,,Gildehof,Berlicum
5271ZM,3,,Wort,Sint-Michielsgestel
5271DA,1,,Spreeuwenbos,Sint-Michielsgestel
5271DA,2,,Spreeuwenbos,Sint-Michielsgestel
5271DA,3,,Spreeuwenbos,Sint-Michielsgestel
5271DA,4,,Spreeuwenbos,Sint-Michielsgestel
5271DA,5,,Spreeuwenbos,Sint-Michielsgestel
5271DA,6,,Spreeuwenbos,Sint-Michielsgestel
5271DA,7,,Spreeuwenbos,Sint-Michielsgestel
5271DA,8,,Spreeuwenbos,Sint-Michielsgestel
5271DA,9,,Spreeuwenbos,Sint-Michielsgestel
5271DA,10,,Spreeuwenbos,Sint-Michielsgestel
5271DA,11,,Spreeuwenbos,Sint-Michielsgestel
5271SG,21,,Seminarielaan,Sint-Michielsgestel
5271SG,22,,Seminarielaan,Sint-Michielsgestel
5271SG,23,,Seminarielaan,Sint-Michielsgestel
5271SG,24,,Seminarielaan,Sint-Michielsgestel
5271SG,25,,Seminarielaan,Sint-Michielsgestel
5271SG,26,,Seminarielaan,Sint-Michielsgestel
5271SG,27,,Seminarielaan,Sint-Michielsgestel
5271SG,28,,Seminarielaan,Sint-Michielsgestel
5271SG,29,,Seminarielaan,Sint-Michielsgestel
5271SG,30,,Seminarielaan,Sint-Michielsgestel
5271SG,31,,Seminarielaan,Sint-Michielsgestel
5271SG,32,,Seminarielaan,Sint-Michielsgestel
5271SG,33,,Seminarielaan,Sint-Michielsgestel
5271SG,34,,Seminarielaan,Sint-Michielsgestel
5271SG,35,,Seminarielaan,Sint-Michielsgestel
5271SG,36,,Seminarielaan,Sint-Michielsgestel
5271SG,37,,Seminarielaan,Sint-Michielsgestel
5271SG,38,,Seminarielaan,Sint-Michielsgestel
5271SG,39,,Seminarielaan,Sint-Michielsgestel
5271SG,40,,Seminarielaan,Sint-Michielsgestel
5271SG,41,,Seminarielaan,Sint-Michielsgestel
5271SG,42,,Seminarielaan,Sint-Michielsgestel
5271SG,43,,Seminarielaan,Sint-Michielsgestel
5271SG,44,,Seminarielaan,Sint-Michielsgestel
5271SG,45,,Seminarielaan,Sint-Michielsgestel
5271SG,46,,Seminarielaan,Sint-Michielsgestel
5271SG,47,,Seminarielaan,Sint-Michielsgestel
5271SG,48,,Seminarielaan,Sint-Michielsgestel
5271SG,49,,Seminarielaan,Sint-Michielsgestel
5271SG,50,,Seminarielaan,Sint-Michielsgestel
5271SG,51,,Seminarielaan,Sint-Michielsgestel
5271JC,2,,Seringenlaan,Sint-Michielsgestel
5271JA,3,,Seringenlaan,Sint-Michielsgestel
5271JC,4,,Seringenlaan,Sint-Michielsgestel
5271JA,5,,Seringenlaan,Sint-Michielsgestel
5271JC,6,,Seringenlaan,Sint-Michielsgestel
5271JA,7,,Seringenlaan,Sint-Michielsgestel
5271JC,8,,Seringenlaan,Sint-Michielsgestel
5271JA,9,,Seringenlaan,Sint-Michielsgestel
5271JC,10,,Seringenlaan,Sint-Michielsgestel
5271JA,11,,Seringenlaan,Sint-Michielsgestel
5271JC,12,,Seringenlaan,Sint-Michielsgestel
5271JA,13,,Seringenlaan,Sint-Michielsgestel
5271JC,14,,Seringenlaan,Sint-Michielsgestel
5271JA,15,,Seringenlaan,Sint-Michielsgestel
5271JC,16,,Seringenlaan,Sint-Michielsgestel
5271JA,17,,Seringenlaan,Sint-Michielsgestel
5271JC,18,,Seringenlaan,Sint-Michielsgestel
5271JA,19,,Seringenlaan,Sint-Michielsgestel
