6,8239DK,Poseidonweg,Lelystad
15,8225SJ,Griend 31,Lelystad
214,8223GB,Bastion,Lelystad
222,8223GB,Bastion,Lelystad
223,8223GN,Bastion,Lelystad
229,8223GN,Bastion,Lelystad
231,8223GN,Bastion,Lelystad
233,8223GN,Bastion,Lelystad
237,8223GN,Bastion,Lelystad
213,8223GM,Bastion,Lelystad
191,8223GM,Bastion,Lelystad
193,8223GM,Bastion,Lelystad
194,8223GB,Bastion,Lelystad
198,8223GB,Bastion,Lelystad
202,8223GB,Bastion,Lelystad
208,8223GB,Bastion,Lelystad
2,8244AG,Binnendijk,Lelystad
211,8223GM,Bastion,Lelystad
40,8226AJ,Noordzeestraat,Lelystad
84,8226EC,Biesbosstraat,Lelystad
16,8231JA,De Veste 10,Lelystad
61,8232VM,Stadhuisplein,Lelystad
37,8245BE,Betuwe,Lelystad
45,8245BE,Betuwe,Lelystad
34,8245BG,Betuwe,Lelystad
38,8245BG,Betuwe,Lelystad
40,8245BG,Betuwe,Lelystad
42,8245BG,Betuwe,Lelystad
46,8245BG,Betuwe,Lelystad
8,8245BG,Betuwe,Lelystad
12,8245BG,Betuwe,Lelystad
14,8245BG,Betuwe,Lelystad
16,8245BG,Betuwe,Lelystad
84,8212VE,Plantage,Lelystad
85,8212VE,Plantage,Lelystad
89,8212VG,Plantage,Lelystad
91,8212VG,Plantage,Lelystad
92,8212VG,Plantage,Lelystad
96,8212VG,Plantage,Lelystad
82,8212VE,Plantage,Lelystad
69,8212VD,Plantage,Lelystad
72,8212VE,Plantage,Lelystad
73,8212VE,Plantage,Lelystad
75,8212VE,Plantage,Lelystad
76,8212VE,Plantage,Lelystad
80,8212VE,Plantage,Lelystad
66,8212VD,Plantage,Lelystad
67,8212VD,Plantage,Lelystad
68,8212VD,Plantage,Lelystad
57,8212VD,Plantage,Lelystad
11,8242GN,Punter 49,Lelystad
15,8242GN,Punter 49,Lelystad
64,8242GL,Punter 48,Lelystad
59,8242GK,Punter 48,Lelystad
49,8242GK,Punter 48,Lelystad
83,8242VT,Karveel 49,Lelystad
85,8242VT,Karveel 49,Lelystad
89,8242VT,Karveel 49,Lelystad
69,8242VT,Karveel 49,Lelystad
36,8242VN,Karveel 49,Lelystad
40,8242VP,Karveel 49,Lelystad
32,8242VN,Karveel 49,Lelystad
10,8242VN,Karveel 49,Lelystad
28,8242VN,Karveel 49,Lelystad
2,8242VN,Karveel 49,Lelystad
70,8242VK,Karveel 48,Lelystad
