5046CE,20,42,Wittebollestraat,Tilburg
5045NG,149,,Ketelhavenstraat,Tilburg
5045NG,151,,Ketelhavenstraat,Tilburg
5045NG,95,,Ketelhavenstraat,Tilburg
5045NG,91,,Ketelhavenstraat,Tilburg
5045NG,93,,Ketelhavenstraat,Tilburg
5045NG,121,,Ketelhavenstraat,Tilburg
5045NG,119,,Ketelhavenstraat,Tilburg
5045NG,117,,Ketelhavenstraat,Tilburg
5045NG,123,,Ketelhavenstraat,Tilburg
5045NG,129,,Ketelhavenstraat,Tilburg
5045NG,127,,Ketelhavenstraat,Tilburg
5045NG,125,,Ketelhavenstraat,Tilburg
5045NG,115,,Ketelhavenstraat,Tilburg
5045NG,105,,Ketelhavenstraat,Tilburg
5045NG,103,,Ketelhavenstraat,Tilburg
5045NG,101,,Ketelhavenstraat,Tilburg
5045NG,107,,Ketelhavenstraat,Tilburg
5045NG,113,,Ketelhavenstraat,Tilburg
5045NG,111,,Ketelhavenstraat,Tilburg
5045NG,109,,Ketelhavenstraat,Tilburg
5045NG,143,,Ketelhavenstraat,Tilburg
5045NG,141,,Ketelhavenstraat,Tilburg
5045NG,147,,Ketelhavenstraat,Tilburg
5045NG,145,,Ketelhavenstraat,Tilburg
5045NG,139,,Ketelhavenstraat,Tilburg
5045NG,133,,Ketelhavenstraat,Tilburg
5045NG,131,,Ketelhavenstraat,Tilburg
5045NG,137,,Ketelhavenstraat,Tilburg
5045NG,135,,Ketelhavenstraat,Tilburg
5045NE,44,,Ketelhavenplein,Tilburg
5045NE,43,,Ketelhavenplein,Tilburg
5045NE,46,,Ketelhavenplein,Tilburg
5045NE,45,,Ketelhavenplein,Tilburg
5045NE,6,,Ketelhavenplein,Tilburg
5045NE,3,,Ketelhavenplein,Tilburg
5045NE,2,,Ketelhavenplein,Tilburg
5045NE,5,,Ketelhavenplein,Tilburg
5045NE,4,,Ketelhavenplein,Tilburg
5045NE,17,,Ketelhavenplein,Tilburg
5045NE,16,,Ketelhavenplein,Tilburg
5045NE,15,,Ketelhavenplein,Tilburg
5045NE,18,,Ketelhavenplein,Tilburg
5045NE,21,,Ketelhavenplein,Tilburg
5045NE,20,,Ketelhavenplein,Tilburg
5045NE,19,,Ketelhavenplein,Tilburg
5045NE,14,,Ketelhavenplein,Tilburg
5045NE,9,,Ketelhavenplein,Tilburg
5045NE,8,,Ketelhavenplein,Tilburg
5045NE,7,,Ketelhavenplein,Tilburg
5045NE,10,,Ketelhavenplein,Tilburg
5045NE,13,,Ketelhavenplein,Tilburg
5045NE,12,,Ketelhavenplein,Tilburg
5045NE,11,,Ketelhavenplein,Tilburg
5071VR,16,,'t Buske,Udenhout
5045NE,32,,Ketelhavenplein,Tilburg
5045NE,31,,Ketelhavenplein,Tilburg
5045NE,30,,Ketelhavenplein,Tilburg
5045NE,33,,Ketelhavenplein,Tilburg
5045NE,36,,Ketelhavenplein,Tilburg
5045NE,35,,Ketelhavenplein,Tilburg
5045NE,34,,Ketelhavenplein,Tilburg
5045NE,29,,Ketelhavenplein,Tilburg
5045NE,24,,Ketelhavenplein,Tilburg
5045NE,23,,Ketelhavenplein,Tilburg
5045NE,22,,Ketelhavenplein,Tilburg
5045NE,25,,Ketelhavenplein,Tilburg
5045NE,28,,Ketelhavenplein,Tilburg
5045NE,27,,Ketelhavenplein,Tilburg
5045NE,26,,Ketelhavenplein,Tilburg
5045NE,40,,Ketelhavenplein,Tilburg
5045NE,41,,Ketelhavenplein,Tilburg
5045NE,42,,Ketelhavenplein,Tilburg
5045NE,37,,Ketelhavenplein,Tilburg
5045NE,38,,Ketelhavenplein,Tilburg
5045NE,39,,Ketelhavenplein,Tilburg
5071BC,147,,Kreitenmolenstraat,Udenhout
5045NE,50,,Ketelhavenplein,Tilburg
5045NE,52,,Ketelhavenplein,Tilburg
5045NE,54,,Ketelhavenplein,Tilburg
5045NE,47,,Ketelhavenplein,Tilburg
5045NE,48,,Ketelhavenplein,Tilburg
5045NE,49,,Ketelhavenplein,Tilburg
5045NE,66,,Ketelhavenplein,Tilburg
5045NE,67,,Ketelhavenplein,Tilburg
5045NE,64,,Ketelhavenplein,Tilburg
5045NE,65,,Ketelhavenplein,Tilburg
5045NE,70,,Ketelhavenplein,Tilburg
5045NE,71,,Ketelhavenplein,Tilburg
5045NE,68,,Ketelhavenplein,Tilburg
5045NE,69,,Ketelhavenplein,Tilburg
5045NE,58,,Ketelhavenplein,Tilburg
5045NE,59,,Ketelhavenplein,Tilburg
5045NE,56,,Ketelhavenplein,Tilburg
5045NE,57,,Ketelhavenplein,Tilburg
5045NE,62,,Ketelhavenplein,Tilburg
5045NE,63,,Ketelhavenplein,Tilburg
5045NE,60,,Ketelhavenplein,Tilburg
5045NE,61,,Ketelhavenplein,Tilburg
5045NE,81,,Ketelhavenplein,Tilburg
5045NE,80,,Ketelhavenplein,Tilburg
5045NE,79,,Ketelhavenplein,Tilburg
5045NE,82,,Ketelhavenplein,Tilburg
5045NE,85,,Ketelhavenplein,Tilburg
5045NE,84,,Ketelhavenplein,Tilburg
5045NE,83,,Ketelhavenplein,Tilburg
5045NE,74,,Ketelhavenplein,Tilburg
5045NE,73,,Ketelhavenplein,Tilburg
5045NE,72,,Ketelhavenplein,Tilburg
5045NE,75,,Ketelhavenplein,Tilburg
5045NE,78,,Ketelhavenplein,Tilburg
5045NE,77,,Ketelhavenplein,Tilburg
5045NE,76,,Ketelhavenplein,Tilburg
5045NE,97,,Ketelhavenplein,Tilburg
5045NE,96,,Ketelhavenplein,Tilburg
5045NE,95,,Ketelhavenplein,Tilburg
5045NE,98,,Ketelhavenplein,Tilburg
5045NE,101,,Ketelhavenplein,Tilburg
5045NE,100,,Ketelhavenplein,Tilburg
5045NE,99,,Ketelhavenplein,Tilburg
5045NE,94,,Ketelhavenplein,Tilburg
5045NE,88,,Ketelhavenplein,Tilburg
5045NE,87,,Ketelhavenplein,Tilburg
5045NE,86,,Ketelhavenplein,Tilburg
5045NE,89,,Ketelhavenplein,Tilburg
5045NE,92,,Ketelhavenplein,Tilburg
5045NE,91,,Ketelhavenplein,Tilburg
5045NE,90,,Ketelhavenplein,Tilburg
