5406XL,2,,Wilsfoort,Uden
5403AD,411,,Meerhoek,Uden
5409TC,14,,Ontginningsweg,Odiliapeel
1234XX,71,9,Leeuweriksweg,Uden
5402XB,71,9,Leeuweriksweg,Uden
1234XX,71,10,Leeuweriksweg,Uden
5402XB,71,10,Leeuweriksweg,Uden
5402ZH,21,,Crocusstraat,Uden
1234XX,109,1,Leeuweriksweg,Uden
5402XC,109,1,Leeuweriksweg,Uden
1234XX,109,2,Leeuweriksweg,Uden
5402XC,109,2,Leeuweriksweg,Uden
1234XX,109,3,Leeuweriksweg,Uden
5402XC,109,3,Leeuweriksweg,Uden
1234XX,109,4,Leeuweriksweg,Uden
5402XC,109,4,Leeuweriksweg,Uden
1234XX,109,5,Leeuweriksweg,Uden
5402XC,109,5,Leeuweriksweg,Uden
5409BE,13,,Pionier,Odiliapeel
5409BE,15,,Pionier,Odiliapeel
5409BE,17,,Pionier,Odiliapeel
5409BE,19,,Pionier,Odiliapeel
5409BE,23,,Pionier,Odiliapeel
5409BB,30,,Boekweitstraat,Odiliapeel
5409BB,32,,Boekweitstraat,Odiliapeel
5409BB,36,,Boekweitstraat,Odiliapeel
5409BB,38,,Boekweitstraat,Odiliapeel
5409BB,40,,Boekweitstraat,Odiliapeel
5404LC,211,,Velmolenweg,Uden
5404LC,213,,Velmolenweg,Uden
5404LC,195,,Velmolenweg,Uden
5404LC,193,,Velmolenweg,Uden
5404LC,191,,Velmolenweg,Uden
5404LC,189,,Velmolenweg,Uden
5404LC,177,,Velmolenweg,Uden
5404LC,175,,Velmolenweg,Uden
5402EK,38,,Land van Ravensteinstraat,Uden
5402EK,42,,Land van Ravensteinstraat,Uden
5402EK,44,,Land van Ravensteinstraat,Uden
5402EK,46,,Land van Ravensteinstraat,Uden
5402EK,48,,Land van Ravensteinstraat,Uden
5402EK,50,,Land van Ravensteinstraat,Uden
5402EK,54,,Land van Ravensteinstraat,Uden
5402ZC,16,,Aldetiendstraat,Uden
5402ZC,17,,Aldetiendstraat,Uden
5402ZC,21,,Aldetiendstraat,Uden
5403LN,108,,Heufkens,Uden
5403LN,112,,Heufkens,Uden
5403LN,114,,Heufkens,Uden
5403LN,116,,Heufkens,Uden
5403LS,327,,Heufkens,Uden
5403LN,122,,Heufkens,Uden
5403LN,124,,Heufkens,Uden
5403LM,103,,Heufkens,Uden
5403LM,105,,Heufkens,Uden
5403LM,107,,Heufkens,Uden
5403LM,115,,Heufkens,Uden
5403LM,117,,Heufkens,Uden
5403LM,123,,Heufkens,Uden
5403LM,125,,Heufkens,Uden
5403LM,127,,Heufkens,Uden
5403LM,131,,Heufkens,Uden
5403LN,102,,Heufkens,Uden
5403LM,101,,Heufkens,Uden
5403LM,111,,Heufkens,Uden
5403LM,113,,Heufkens,Uden
5403LM,119,,Heufkens,Uden
5403LM,121,,Heufkens,Uden
5403LM,129,,Heufkens,Uden
5403LM,133,,Heufkens,Uden
5403LN,110,,Heufkens,Uden
5403LN,118,,Heufkens,Uden
5403LN,120,,Heufkens,Uden
5403LM,109,,Heufkens,Uden
5403WL,958,,Sieberg,Uden
5403WL,956,,Sieberg,Uden
5403WL,954,,Sieberg,Uden
5403WL,950,,Sieberg,Uden
5403WL,948,,Sieberg,Uden
5403WL,946,,Sieberg,Uden
5403WL,944,,Sieberg,Uden
5403WL,942,,Sieberg,Uden
5403WL,938,,Sieberg,Uden
5403WL,936,,Sieberg,Uden
5403WL,930,,Sieberg,Uden
5403WL,928,,Sieberg,Uden
5403WL,926,,Sieberg,Uden
5403WL,924,,Sieberg,Uden
5403WL,920,,Sieberg,Uden
5403WL,918,,Sieberg,Uden
5403WL,916,,Sieberg,Uden
5403WL,914,,Sieberg,Uden
5403WL,912,,Sieberg,Uden
5403WL,908,,Sieberg,Uden
1234XX,100,7,Wilhelminastraat,Uden
5401CH,100,7,Wilhelminastraat,Uden
1234XX,100,8,Wilhelminastraat,Uden
5401CH,100,8,Wilhelminastraat,Uden
1234XX,100,9,Wilhelminastraat,Uden
5401CH,100,9,Wilhelminastraat,Uden
1234XX,100,10,Wilhelminastraat,Uden
5401CH,100,10,Wilhelminastraat,Uden
5401CH,100,11,Wilhelminastraat,Uden
5401CH,100,13,Wilhelminastraat,Uden
5401CH,100,14,Wilhelminastraat,Uden
5401CH,100,16,Wilhelminastraat,Uden
1234XX,100,17,Wilhelminastraat,Uden
5401CH,100,17,Wilhelminastraat,Uden
1234XX,100,18,Wilhelminastraat,Uden
5401CH,100,18,Wilhelminastraat,Uden
5401DA,100,11,Willem-Alexanderhof,Uden
