4882NV,2,BEDR,De Gagels,Klein Zundert
4891DA,17,,Schouwland,Rijsbergen
4891DA,2,,Schouwland,Rijsbergen
4891DA,13,,Schouwland,Rijsbergen
4891DA,15,,Schouwland,Rijsbergen
4891DA,4,,Schouwland,Rijsbergen
4891DA,10,,Schouwland,Rijsbergen
4891DA,12,,Schouwland,Rijsbergen
4891DA,6,,Schouwland,Rijsbergen
4891DA,8,,Schouwland,Rijsbergen
4891DA,1,,Schouwland,Rijsbergen
4891DA,3,,Schouwland,Rijsbergen
4891DA,9,,Schouwland,Rijsbergen
4891DA,11,,Schouwland,Rijsbergen
4891DA,5,,Schouwland,Rijsbergen
4891DA,7,,Schouwland,Rijsbergen
4885AZ,197,WINK,Achtmaalseweg,Achtmaal
4891VC,8,BEDR,Heiveld,Rijsbergen
4884BE,49,BEDR,Julianalaan,Wernhout
4881VH,23,BEDR,Achtmaalseweg,Zundert
4881XZ,11,BEDR,de Ambachten,Zundert
4881AJ,28,BEDR,Eikenlaan,Zundert
4881AT,31,BEDR,Elzenstraat,Zundert
4881BK,12,BEDR,Kapellekestraat,Zundert
4881BG,1,BEDR,Klein Zundertseweg,Zundert
4881BG,2,BEDR,Klein Zundertseweg,Zundert
4881GC,115,BEDR,Molenstraat,Zundert
4881BA,27,BEDR,Veldstraat,Zundert
4881BR,18,BEDR,Willem Passtoorsstraat,Zundert
4881BT,45,,Kapelakker,Zundert
4881BT,43,,Kapelakker,Zundert
4881BT,41,,Kapelakker,Zundert
4881BT,47,,Kapelakker,Zundert
4881BT,53,,Kapelakker,Zundert
4881BT,51,,Kapelakker,Zundert
4881BT,49,,Kapelakker,Zundert
4881BT,23,,Kapelakker,Zundert
4881BT,21,,Kapelakker,Zundert
4881BT,19,,Kapelakker,Zundert
4881BT,25,,Kapelakker,Zundert
4881BT,39,,Kapelakker,Zundert
4881BT,29,,Kapelakker,Zundert
4881BT,27,,Kapelakker,Zundert
4881VB,24,,Prinsenstraat,Zundert
4882NC,2,BENZ,Achterste Schaapsdijk,Klein Zundert
4884ME,16,K068,Kleine Heistraat,Wernhout
4884ME,16,K387,Kleine Heistraat,Wernhout
4884ME,16,K474,Kleine Heistraat,Wernhout
4884MW,10,,Weduwestraat,Wernhout
4881WD,1,,Rutvenstraat,Zundert
4881MA,5,BIJ,Weduwestraat,Zundert
4885KM,9,BEDR,Eendenkooistraat,Achtmaal
4885KS,1,BEDR,Goirkesstraat,Achtmaal
4885LB,39,BEDR,Groenestraat,Achtmaal
4885JJ,4,BEDR,Heiningstraat,Achtmaal
4885KZ,1,BEDR,Kraaiheuvelstraat,Achtmaal
4885KN,1,BIJ,Laveibosstraat,Achtmaal
4885JA,14,BEDR,Ostaaijensebaan,Achtmaal
4882DG,42,BEDR,Bredaseweg,Klein Zundert
4882JH,22,a,Eldertstraat,Klein Zundert
4882TA,17,BEDR,Ettensebaan,Klein Zundert
4882JA,4,CORS,Heischoorstraat,Klein Zundert
4882KE,10,BEDR,Moersebaan,Klein Zundert
4882NR,6,BEDR,Palmbosstraat,Klein Zundert
4882NP,12,BEDR,Raambergweg,Klein Zundert
4882NM,8,BEDR,Sint Willebrordusstraat,Klein Zundert
4891PK,5,BEDR,Breedschotsestraat,Rijsbergen
4891PL,16,BEDR,Breedschotsestraat,Rijsbergen
4891SC,6,BOVE,De Lange Dreef,Rijsbergen
4891SK,10,BEDR,Fort Oranjestraat,Rijsbergen
4891ZM,4,BIJ,Huisakkerstraat,Rijsbergen
4891RB,4,BEDR,Nieuw-Ginnekensebaan,Rijsbergen
4891PG,16,RECR,Oekelsestraat,Rijsbergen
4891PE,31,BIJ,Oekelsestraat,Rijsbergen
4891RG,12,BEDR,Overasebaan,Rijsbergen
4891SV,2,BEDR,Pater Taksweg,Rijsbergen
4891TD,24,BIJ,Tiggeltsebergstraat,Rijsbergen
4891TD,54,BEDR,Tiggeltsebergstraat,Rijsbergen
