18,6075EE,Hertog van Gulickstraat,Herkenbosch
9,6077ND,Sint Petrusstraat,Sint Odiliënberg
6,6077AB,Raadhuisplein,Sint Odiliënberg
20,6065EX,Waarderweg,Montfort
11,6077BW,Christinastraat,Sint Odiliënberg
15,6077BW,Christinastraat,Sint Odiliënberg
1,6077BE,Churchill-laan,Sint Odiliënberg
4,6077BE,Churchill-laan,Sint Odiliënberg
7,6077BE,Churchill-laan,Sint Odiliënberg
9,6077BE,Churchill-laan,Sint Odiliënberg
13,6077BE,Churchill-laan,Sint Odiliënberg
23,6077BE,Churchill-laan,Sint Odiliënberg
5,6065BM,Prinstiend,Montfort
9,6065BM,Prinstiend,Montfort
39,6065AK,Wilhelminastraat,Montfort
40,6065AL,Wilhelminastraat,Montfort
15,6077AA,Kerkplein,Sint Odiliënberg
15,6077PC,Kleine Bergerweg,Sint Odiliënberg
17,6077PC,Kleine Bergerweg,Sint Odiliënberg
17,6063CX,Populierenlaan,Vlodrop
16,6063CA,St.Maartensplein,Vlodrop
10,6077CH,Beukenlaan,Sint Odiliënberg
11,6077CH,Beukenlaan,Sint Odiliënberg
16,6077CH,Beukenlaan,Sint Odiliënberg
22,6077CH,Beukenlaan,Sint Odiliënberg
26,6077CH,Beukenlaan,Sint Odiliënberg
30,6077CH,Beukenlaan,Sint Odiliënberg
32,6077CH,Beukenlaan,Sint Odiliënberg
1,6077BM,Bisschop Balderiklaan,Sint Odiliënberg
48,6074AE,Heinsbergerweg,Melick
11,6074BV,Parallelweg,Melick
2,6074CL,Parklaan,Melick
3,6074CK,Parklaan,Melick
5,6074CK,Parklaan,Melick
11,6074CK,Parklaan,Melick
6,6074AD,Heinsbergerweg,Melick
7,6074AC,Heinsbergerweg,Melick
18,6074BB,Markt,Melick
7,6074CJ,van Sonsbeecklaan,Melick
22,6074EK,Groenstraat,Melick
23,6074EJ,Groenstraat,Melick
58,6074CL,Parklaan,Melick
3,6074DJ,Peereboom,Melick
5,6074DJ,Peereboom,Melick
6,6074DH,Peereboom,Melick
7,6074DJ,Peereboom,Melick
14,6074DH,Peereboom,Melick
15,6074DJ,Peereboom,Melick
18,6074DH,Peereboom,Melick
19,6074DJ,Peereboom,Melick
22,6074DH,Peereboom,Melick
26,6074DH,Peereboom,Melick
16,6063BC,Randweg,Vlodrop
6,6061BT,Wiersweg,Posterholt
1,6075AZ,St.Augustinusstraat,Herkenbosch
14,6075AD,Steegstraat,Herkenbosch
20,6075BB,St.Carolusstraat,Herkenbosch
24,6075BB,St.Carolusstraat,Herkenbosch
1,6075BA,St.Carolusstraat,Herkenbosch
11,6075BA,St.Carolusstraat,Herkenbosch
17,6075BA,St.Carolusstraat,Herkenbosch
1,6075AM,Muytertweg,Herkenbosch
43,6075CA,Stationsweg,Herkenbosch
46,6075CD,Stationsweg,Herkenbosch
53,6075CA,Stationsweg,Herkenbosch
56,6075CD,Stationsweg,Herkenbosch
7,6075EW,Leeuwerikstraat,Herkenbosch
10,6075EW,Leeuwerikstraat,Herkenbosch
12,6075EW,Leeuwerikstraat,Herkenbosch
14,6075EW,Leeuwerikstraat,Herkenbosch
19,6075EW,Leeuwerikstraat,Herkenbosch
22,6075EW,Leeuwerikstraat,Herkenbosch
