6415GK,47,,Baron Mackaystraat,Heerlen
6411VT,7,,Baronstraat,Heerlen
6411VT,13,,Baronstraat,Heerlen
6411VT,18,,Baronstraat,Heerlen
6413SK,5,,Bartholomeo Diazstraat,Heerlen
6413SK,11,,Bartholomeo Diazstraat,Heerlen
6418EJ,15,,Bautscherweg,Heerlen
6418EM,24,,Bautscherweg,Heerlen
6418EJ,29,,Bautscherweg,Heerlen
6418EJ,37,,Bautscherweg,Heerlen
6418EK,77,,Bautscherweg,Heerlen
6418EL,89,,Bautscherweg,Heerlen
6418EL,99,,Bautscherweg,Heerlen
6418EL,107,,Bautscherweg,Heerlen
6418EL,115,,Bautscherweg,Heerlen
6418EL,121,,Bautscherweg,Heerlen
6418ER,128,,Bautscherweg,Heerlen
6418ER,134,,Bautscherweg,Heerlen
6413BL,8,,Beekstraat,Heerlen
6413XJ,11,,Beersdalplein,Heerlen
6422PA,19,,Beitel,Heerlen
6422PB,80,,Beitel,Heerlen
6422PB,104,,Beitel,Heerlen
6417CL,10,,Bekkerveld,Heerlen
6417CL,17,,Bekkerveld,Heerlen
6417CL,23,,Bekkerveld,Heerlen
6417CL,29,,Bekkerveld,Heerlen
6417CM,35,,Bekkerveld,Heerlen
6411EG,15,,Bekkerweg,Heerlen
6411EG,27,,Bekkerweg,Heerlen
6417BT,47,,Bekkerweg,Heerlen
6417BW,76,,Bekkerweg,Heerlen
6417BT,81,,Bekkerweg,Heerlen
6417BX,86,,Bekkerweg,Heerlen
6417BX,90,,Bekkerweg,Heerlen
6417BX,98,,Bekkerweg,Heerlen
6417BV,103,,Bekkerweg,Heerlen
6417BX,108,,Bekkerweg,Heerlen
6417BV,121,,Bekkerweg,Heerlen
6414HM,5,,Belgiëlaan,Heerlen
6414GR,11,,Beneluxlaan,Heerlen
6414GR,17,,Beneluxlaan,Heerlen
6414GW,22,,Beneluxlaan,Heerlen
6414GW,28,,Beneluxlaan,Heerlen
6414GW,34,,Beneluxlaan,Heerlen
6414GS,39,,Beneluxlaan,Heerlen
6414GS,45,,Beneluxlaan,Heerlen
6414GS,51,,Beneluxlaan,Heerlen
6414GS,57,,Beneluxlaan,Heerlen
6414GX,62,,Beneluxlaan,Heerlen
6414GX,68,,Beneluxlaan,Heerlen
6414GX,74,,Beneluxlaan,Heerlen
6414GV,105,,Beneluxlaan,Heerlen
6414GV,117,,Beneluxlaan,Heerlen
6419PE,5,,Benzenrade,Heerlen
6419PG,24,,Benzenrade,Heerlen
6411ED,12,,Benzenraderweg,Heerlen
6411EE,32,,Benzenraderweg,Heerlen
6411EE,44,,Benzenraderweg,Heerlen
6417ST,58,,Benzenraderweg,Heerlen
6417SV,98,,Benzenraderweg,Heerlen
