6412PW,115,,Esschenweg,Heerlen
6412PR,6,,Ten Esschen,Heerlen
6433KD,2,,De Koumen,Hoensbroek
6433KG,31,,De Koumen,Hoensbroek
6433KG,45,,De Koumen,Hoensbroek
6433KD,52,,De Koumen,Hoensbroek
6433KD,58,,De Koumen,Hoensbroek
6433KE,72,,De Koumen,Hoensbroek
6433KE,86,,De Koumen,Hoensbroek
6433KE,116,,De Koumen,Hoensbroek
6433KE,124,,De Koumen,Hoensbroek
6433KE,150,,De Koumen,Hoensbroek
6413LJ,8,,Boomvarenerf,Heerlen
6413LJ,18,,Boomvarenerf,Heerlen
6413LJ,26,,Boomvarenerf,Heerlen
6413LG,6,,Lepidodendronerf,Heerlen
6413LH,2,,Schubboomerf,Heerlen
6413LH,10,,Schubboomerf,Heerlen
6413LH,20,,Schubboomerf,Heerlen
6413LH,30,,Schubboomerf,Heerlen
6413LA,6,,Varenerf,Heerlen
6413LA,14,,Varenerf,Heerlen
6413LA,24,,Varenerf,Heerlen
6413LA,32,,Varenerf,Heerlen
6413LA,40,,Varenerf,Heerlen
6413LB,48,,Varenerf,Heerlen
6413LB,56,,Varenerf,Heerlen
6413LB,66,,Varenerf,Heerlen
6413LB,74,,Varenerf,Heerlen
6413LB,82,,Varenerf,Heerlen
6413LB,90,,Varenerf,Heerlen
6413LC,98,,Varenerf,Heerlen
6413LC,108,,Varenerf,Heerlen
6413LC,150,,Varenerf,Heerlen
6413LK,4,,Wolfsklauwerf,Heerlen
6413LK,14,,Wolfsklauwerf,Heerlen
6413LE,2,,Zegelboomerf,Heerlen
6413LE,10,,Zegelboomerf,Heerlen
6413MA,8,,Fossielenerf,Heerlen
6413LN,15,,Fossielenerf,Heerlen
6413LN,35,,Fossielenerf,Heerlen
6413LN,39,,Fossielenerf,Heerlen
6413MA,44,,Fossielenerf,Heerlen
6413MA,48,,Fossielenerf,Heerlen
6413LN,53,,Fossielenerf,Heerlen
6413MA,58,,Fossielenerf,Heerlen
6413MA,62,,Fossielenerf,Heerlen
6413LN,67,,Fossielenerf,Heerlen
6413MA,72,,Fossielenerf,Heerlen
6413MA,82,,Fossielenerf,Heerlen
6413MA,92,,Fossielenerf,Heerlen
6413MB,100,,Fossielenerf,Heerlen
6413MB,110,,Fossielenerf,Heerlen
6413MB,118,,Fossielenerf,Heerlen
6413MC,162,,Fossielenerf,Heerlen
6413MC,170,,Fossielenerf,Heerlen
6413MC,180,,Fossielenerf,Heerlen
6413MC,190,,Fossielenerf,Heerlen
6413MC,198,,Fossielenerf,Heerlen
6413MD,208,,Fossielenerf,Heerlen
6413MD,218,,Fossielenerf,Heerlen
6413ME,228,,Fossielenerf,Heerlen
6413ME,236,,Fossielenerf,Heerlen
6413ME,246,,Fossielenerf,Heerlen
6413ME,256,,Fossielenerf,Heerlen
6413ME,264,,Fossielenerf,Heerlen
6413ME,274,,Fossielenerf,Heerlen
6413ME,284,,Fossielenerf,Heerlen
6413ME,322,,Fossielenerf,Heerlen
6413ME,330,,Fossielenerf,Heerlen
6413MG,340,,Fossielenerf,Heerlen
6413MG,350,,Fossielenerf,Heerlen
6413MH,360,,Fossielenerf,Heerlen
6413MH,368,,Fossielenerf,Heerlen
6413MH,378,,Fossielenerf,Heerlen
6413MH,388,,Fossielenerf,Heerlen
6413MH,396,,Fossielenerf,Heerlen
6413MH,406,,Fossielenerf,Heerlen
6413MH,416,,Fossielenerf,Heerlen
6413MH,424,,Fossielenerf,Heerlen
6413MJ,434,,Fossielenerf,Heerlen
6413MJ,444,,Fossielenerf,Heerlen
6413MJ,482,,Fossielenerf,Heerlen
6413MJ,490,,Fossielenerf,Heerlen
6413MK,500,,Fossielenerf,Heerlen
6413MK,510,,Fossielenerf,Heerlen
6413MK,518,,Fossielenerf,Heerlen
6413MK,528,,Fossielenerf,Heerlen
6413MK,538,,Fossielenerf,Heerlen
6413MK,548,,Fossielenerf,Heerlen
6413MK,556,,Fossielenerf,Heerlen
6413ML,566,,Fossielenerf,Heerlen
6413ML,576,,Fossielenerf,Heerlen
6413ML,584,,Fossielenerf,Heerlen
6413MN,594,,Fossielenerf,Heerlen
6413MN,604,,Fossielenerf,Heerlen
6413MN,642,,Fossielenerf,Heerlen
6413MN,650,,Fossielenerf,Heerlen
6413MN,660,,Fossielenerf,Heerlen
6413MN,670,,Fossielenerf,Heerlen
6413MP,678,,Fossielenerf,Heerlen
6413MP,688,,Fossielenerf,Heerlen
6413MP,698,,Fossielenerf,Heerlen
6413MP,708,,Fossielenerf,Heerlen
6413MP,716,,Fossielenerf,Heerlen
6413MP,726,,Fossielenerf,Heerlen
6413MP,736,,Fossielenerf,Heerlen
6413MR,744,,Fossielenerf,Heerlen
6413MR,754,,Fossielenerf,Heerlen
6413MR,764,,Fossielenerf,Heerlen
6413MR,798,,Fossielenerf,Heerlen
6413KP,3,,Ammonieterf,Heerlen
6413KV,8,,Ammonieterf,Heerlen
6413KV,12,,Ammonieterf,Heerlen
6413KP,17,,Ammonieterf,Heerlen
6413KP,21,,Ammonieterf,Heerlen
6413KV,26,,Ammonieterf,Heerlen
6413KV,30,,Ammonieterf,Heerlen
6413KP,35,,Ammonieterf,Heerlen
6413KP,39,,Ammonieterf,Heerlen
6413KV,44,,Ammonieterf,Heerlen
6413KV,48,,Ammonieterf,Heerlen
6413KP,53,,Ammonieterf,Heerlen
6413KP,57,,Ammonieterf,Heerlen
6413KP,81,,Ammonieterf,Heerlen
6413KW,86,,Ammonieterf,Heerlen
6413KP,91,,Ammonieterf,Heerlen
6413KP,95,,Ammonieterf,Heerlen
6413KW,100,,Ammonieterf,Heerlen
6413KW,104,,Ammonieterf,Heerlen
6413KR,109,,Ammonieterf,Heerlen
6413KW,114,,Ammonieterf,Heerlen
6413KW,118,,Ammonieterf,Heerlen
6413KR,123,,Ammonieterf,Heerlen
6413KR,127,,Ammonieterf,Heerlen
6413KW,132,,Ammonieterf,Heerlen
6413KR,137,,Ammonieterf,Heerlen
6413KR,141,,Ammonieterf,Heerlen
6413KX,160,,Ammonieterf,Heerlen
6413KS,169,,Ammonieterf,Heerlen
6413KX,174,,Ammonieterf,Heerlen
6413KS,179,,Ammonieterf,Heerlen
6413KS,183,,Ammonieterf,Heerlen
6413KX,188,,Ammonieterf,Heerlen
6413KX,192,,Ammonieterf,Heerlen
6413KS,197,,Ammonieterf,Heerlen
6413KX,202,,Ammonieterf,Heerlen
6413KX,206,,Ammonieterf,Heerlen
6413KS,211,,Ammonieterf,Heerlen
6413KS,215,,Ammonieterf,Heerlen
6413KZ,220,,Ammonieterf,Heerlen
6413KT,225,,Ammonieterf,Heerlen
6413KZ,244,,Ammonieterf,Heerlen
6413KT,249,,Ammonieterf,Heerlen
6413KT,253,,Ammonieterf,Heerlen
6413KZ,258,,Ammonieterf,Heerlen
6413KT,263,,Ammonieterf,Heerlen
6413KT,267,,Ammonieterf,Heerlen
6413KZ,272,,Ammonieterf,Heerlen
