117,9301NT,Ceintuurbaan Noord,Roden
12,9302CJ,Katoel,Roden
1,7681ML,Aan 't Spoor,Vroomshoop
3,7681ML,Aan 't Spoor,Vroomshoop
4,7681MK,Aan 't Spoor,Vroomshoop
5,7681ML,Aan 't Spoor,Vroomshoop
6,7681MK,Aan 't Spoor,Vroomshoop
7,7681ML,Aan 't Spoor,Vroomshoop
8,7681MK,Aan 't Spoor,Vroomshoop
9,7681ML,Aan 't Spoor,Vroomshoop
10,7681MK,Aan 't Spoor,Vroomshoop
11,7681ML,Aan 't Spoor,Vroomshoop
12,7681MK,Aan 't Spoor,Vroomshoop
13,7681ML,Aan 't Spoor,Vroomshoop
14,7681MK,Aan 't Spoor,Vroomshoop
16,7681MK,Aan 't Spoor,Vroomshoop
18,7681MK,Aan 't Spoor,Vroomshoop
20,7681MK,Aan 't Spoor,Vroomshoop
22,7681MK,Aan 't Spoor,Vroomshoop
24,7681MK,Aan 't Spoor,Vroomshoop
25,7681ML,Aan 't Spoor,Vroomshoop
26,7681MK,Aan 't Spoor,Vroomshoop
27,7681ML,Aan 't Spoor,Vroomshoop
28,7681MK,Aan 't Spoor,Vroomshoop
29,7681ML,Aan 't Spoor,Vroomshoop
30,7681MK,Aan 't Spoor,Vroomshoop
31,7681ML,Aan 't Spoor,Vroomshoop
33,7681ML,Aan 't Spoor,Vroomshoop
35,7681ML,Aan 't Spoor,Vroomshoop
1,7683SW,Achteres,Den Ham
3,7683SW,Achteres,Den Ham
4,7683SW,Achteres,Den Ham
5,7683SW,Achteres,Den Ham
6,7683SW,Achteres,Den Ham
8,7683SW,Achteres,Den Ham
10,7683SW,Achteres,Den Ham
11,7683SW,Achteres,Den Ham
12,7683SX,Achteres,Den Ham
13,7683SX,Achteres,Den Ham
14,7683SX,Achteres,Den Ham
15,7683SX,Achteres,Den Ham
17,7683SX,Achteres,Den Ham
19,7683SX,Achteres,Den Ham
20,7683SX,Achteres,Den Ham
21,7683SZ,Achteres,Den Ham
23,7683SZ,Achteres,Den Ham
25,7683SZ,Achteres,Den Ham
1,7681AS,Admiraal de Ruyterstraat,Vroomshoop
2,7681AS,Admiraal de Ruyterstraat,Vroomshoop
3,7681AS,Admiraal de Ruyterstraat,Vroomshoop
4,7681AS,Admiraal de Ruyterstraat,Vroomshoop
5,7681AS,Admiraal de Ruyterstraat,Vroomshoop
6,7681AS,Admiraal de Ruyterstraat,Vroomshoop
7,7681AS,Admiraal de Ruyterstraat,Vroomshoop
8,7681AS,Admiraal de Ruyterstraat,Vroomshoop
10,7681AS,Admiraal de Ruyterstraat,Vroomshoop
1,7681ND,Afrikalaan,Vroomshoop
2,7681ND,Afrikalaan,Vroomshoop
3,7681ND,Afrikalaan,Vroomshoop
5,7681ND,Afrikalaan,Vroomshoop
7,7681ND,Afrikalaan,Vroomshoop
9,7681ND,Afrikalaan,Vroomshoop
1,7676DC,Akelei,Westerhaar-Vriezenveensewijk
2,7676DC,Akelei,Westerhaar-Vriezenveensewijk
3,7676DC,Akelei,Westerhaar-Vriezenveensewijk
4,7676DC,Akelei,Westerhaar-Vriezenveensewijk
5,7676DC,Akelei,Westerhaar-Vriezenveensewijk
6,7676DC,Akelei,Westerhaar-Vriezenveensewijk
7,7676DC,Akelei,Westerhaar-Vriezenveensewijk
8,7676DC,Akelei,Westerhaar-Vriezenveensewijk
9,7676DC,Akelei,Westerhaar-Vriezenveensewijk
10,7676DC,Akelei,Westerhaar-Vriezenveensewijk
11,7676DC,Akelei,Westerhaar-Vriezenveensewijk
12,7676DC,Akelei,Westerhaar-Vriezenveensewijk
13,7676DC,Akelei,Westerhaar-Vriezenveensewijk
14,7676DC,Akelei,Westerhaar-Vriezenveensewijk
15,7676DC,Akelei,Westerhaar-Vriezenveensewijk
16,7676DC,Akelei,Westerhaar-Vriezenveensewijk
17,7676DC,Akelei,Westerhaar-Vriezenveensewijk
18,7676DC,Akelei,Westerhaar-Vriezenveensewijk
19,7676DC,Akelei,Westerhaar-Vriezenveensewijk
20,7676DC,Akelei,Westerhaar-Vriezenveensewijk
21,7676DC,Akelei,Westerhaar-Vriezenveensewijk
23,7676DC,Akelei,Westerhaar-Vriezenveensewijk
25,7676DC,Akelei,Westerhaar-Vriezenveensewijk
27,7676DC,Akelei,Westerhaar-Vriezenveensewijk
29,7676DC,Akelei,Westerhaar-Vriezenveensewijk
31,7676DC,Akelei,Westerhaar-Vriezenveensewijk
33,7676DC,Akelei,Westerhaar-Vriezenveensewijk
35,7676DC,Akelei,Westerhaar-Vriezenveensewijk
37,7676DC,Akelei,Westerhaar-Vriezenveensewijk
39,7676DC,Akelei,Westerhaar-Vriezenveensewijk
2,7671NG,Akker,Vriezenveen
4,7671NG,Akker,Vriezenveen
6,7671NG,Akker,Vriezenveen
8,7671NG,Akker,Vriezenveen
9,7671NJ,Akker,Vriezenveen
10,7671NG,Akker,Vriezenveen
11,7671NJ,Akker,Vriezenveen
12,7671NG,Akker,Vriezenveen
13,7671NJ,Akker,Vriezenveen
14,7671NG,Akker,Vriezenveen
15,7671NJ,Akker,Vriezenveen
