6181MN,21,,Bosrank,Elsloo
6171AB,1,,Bosweg,Stein
6171AB,2,,Bosweg,Stein
6171AB,4,,Bosweg,Stein
6171AB,5,,Bosweg,Stein
6171AB,6,,Bosweg,Stein
6171AB,7,,Bosweg,Stein
6171AB,8,,Bosweg,Stein
6171AB,10,,Bosweg,Stein
6171AB,12,,Bosweg,Stein
6181PC,2,,Boudewijnhofstraat,Elsloo
6181PC,3,,Boudewijnhofstraat,Elsloo
6181PC,4,,Boudewijnhofstraat,Elsloo
6181PC,5,,Boudewijnhofstraat,Elsloo
6181PC,6,,Boudewijnhofstraat,Elsloo
6181PC,7,,Boudewijnhofstraat,Elsloo
6181PC,9,,Boudewijnhofstraat,Elsloo
6181PC,11,,Boudewijnhofstraat,Elsloo
6181PC,13,,Boudewijnhofstraat,Elsloo
6181PC,15,,Boudewijnhofstraat,Elsloo
6129PL,2,,Bramertweg,Urmond
6129PL,4,,Bramertweg,Urmond
6129PL,6,,Bramertweg,Urmond
6129PM,7,,Bramertweg,Urmond
6129PL,8,,Bramertweg,Urmond
6129PM,9,,Bramertweg,Urmond
6129PL,10,,Bramertweg,Urmond
6129PM,11,,Bramertweg,Urmond
6129PL,12,,Bramertweg,Urmond
6129PM,13,,Bramertweg,Urmond
6129PL,14,,Bramertweg,Urmond
6129PM,15,,Bramertweg,Urmond
6129PL,16,,Bramertweg,Urmond
6129PM,17,,Bramertweg,Urmond
6129PL,18,,Bramertweg,Urmond
6129PM,19,,Bramertweg,Urmond
6129PL,20,,Bramertweg,Urmond
6129PM,21,,Bramertweg,Urmond
6129PL,22,,Bramertweg,Urmond
6129PM,23,,Bramertweg,Urmond
6129PL,24,,Bramertweg,Urmond
6129PM,25,,Bramertweg,Urmond
6129PL,26,,Bramertweg,Urmond
6129PM,27,,Bramertweg,Urmond
6129PL,28,,Bramertweg,Urmond
6129PM,29,,Bramertweg,Urmond
6129PL,30,,Bramertweg,Urmond
6129PM,31,,Bramertweg,Urmond
6129PL,32,,Bramertweg,Urmond
6129PM,33,,Bramertweg,Urmond
6129PL,34,,Bramertweg,Urmond
6129PM,35,,Bramertweg,Urmond
6129PL,36,,Bramertweg,Urmond
6129PM,37,,Bramertweg,Urmond
6129PL,38,,Bramertweg,Urmond
6129PM,39,,Bramertweg,Urmond
6129PL,40,,Bramertweg,Urmond
6129PL,42,,Bramertweg,Urmond
6181BE,1,,Brederodestraat,Elsloo
