2,5528CG,De Leemvelden,Hoogeloon
1,5534AN,De Lei,Netersel
2,5534AN,De Lei,Netersel
3,5534AN,De Lei,Netersel
4,5534AN,De Lei,Netersel
5,5534AN,De Lei,Netersel
6,5534AN,De Lei,Netersel
7,5534AN,De Lei,Netersel
8,5534AN,De Lei,Netersel
9,5534AN,De Lei,Netersel
10,5534AN,De Lei,Netersel
11,5534AN,De Lei,Netersel
12,5534AN,De Lei,Netersel
13,5534AN,De Lei,Netersel
14,5534AN,De Lei,Netersel
15,5534AN,De Lei,Netersel
16,5534AN,De Lei,Netersel
17,5534AN,De Lei,Netersel
18,5534AN,De Lei,Netersel
19,5534AN,De Lei,Netersel
20,5534AN,De Lei,Netersel
21,5534AN,De Lei,Netersel
26,5534AN,De Lei,Netersel
28,5534AN,De Lei,Netersel
32,5534AN,De Lei,Netersel
1,5534AA,De Muilen,Netersel
3,5534AA,De Muilen,Netersel
4,5534AA,De Muilen,Netersel
5,5534AA,De Muilen,Netersel
6,5534AA,De Muilen,Netersel
9,5534AA,De Muilen,Netersel
10,5534AA,De Muilen,Netersel
12,5534AA,De Muilen,Netersel
14,5534AA,De Muilen,Netersel
16,5534AA,De Muilen,Netersel
19,5534AA,De Muilen,Netersel
1,5527PA,De Pals,Hapert
2,5527PA,De Pals,Hapert
1,5527JC,De Pan,Hapert
2,5527JC,De Pan,Hapert
8,5527JC,De Pan,Hapert
12,5527JC,De Pan,Hapert
3,5527JC,De Pan,Hapert
4,5527JC,De Pan,Hapert
10,5527JC,De Pan,Hapert
14,5527JC,De Pan,Hapert
5,5527JC,De Pan,Hapert
9,5527JC,De Pan,Hapert
11,5527JC,De Pan,Hapert
13,5527JC,De Pan,Hapert
15,5527JC,De Pan,Hapert
17,5527JC,De Pan,Hapert
1,5527JZ,De Ploeg,Hapert
2,5527JZ,De Ploeg,Hapert
3,5527JZ,De Ploeg,Hapert
4,5527JZ,De Ploeg,Hapert
5,5527JZ,De Ploeg,Hapert
6,5527JZ,De Ploeg,Hapert
7,5527JZ,De Ploeg,Hapert
8,5527JZ,De Ploeg,Hapert
