46,9422CP,Vaartweg,Smilde
23,9411SB,Romhof,Beilen
3,9411SG,Dambroeken,Beilen
1,9411SG,Dambroeken,Beilen
12,9411SG,Dambroeken,Beilen
2,9411SG,Dambroeken,Beilen
14,9411MA,De Stroom,Beilen
22,9411WB,Klateringerweg,Beilen
5,9411SB,Romhof,Beilen
2,9413CC,Pitruslaan,Beilen
4,9413CC,Pitruslaan,Beilen
7,9421RD,Sleedoornlaan,Bovensmilde
9,9421RD,Sleedoornlaan,Bovensmilde
19,9421RD,Sleedoornlaan,Bovensmilde
21,9421RD,Sleedoornlaan,Bovensmilde
23,9421RD,Sleedoornlaan,Bovensmilde
25,9421RD,Sleedoornlaan,Bovensmilde
4,9421RD,Sleedoornlaan,Bovensmilde
6,9421RD,Sleedoornlaan,Bovensmilde
8,9421RD,Sleedoornlaan,Bovensmilde
10,9421RD,Sleedoornlaan,Bovensmilde
16,9421RD,Sleedoornlaan,Bovensmilde
18,9421RD,Sleedoornlaan,Bovensmilde
24,9421RD,Sleedoornlaan,Bovensmilde
26,9421RD,Sleedoornlaan,Bovensmilde
27,9421RD,Sleedoornlaan,Bovensmilde
12,9421RD,Sleedoornlaan,Bovensmilde
14,9421RD,Sleedoornlaan,Bovensmilde
5,9419TE,Berkenweg,Drijber
4,9438TB,Schapendijk,Garminge
1,9411ZT,Bruggemaet,Beilen
3,9411ZT,Bruggemaet,Beilen
5,9411ZT,Bruggemaet,Beilen
7,9411ZT,Bruggemaet,Beilen
9,9411ZT,Bruggemaet,Beilen
16,9413CE,Fluitekruidlaan,Beilen
14,9413CE,Fluitekruidlaan,Beilen
4,9411SE,Bathoorn,Beilen
2,9433PN,Essenmaat,Zwiggelte
26,9413DA,Biggekruid,Beilen
28,9413DA,Biggekruid,Beilen
3,9413DE,Walstro,Beilen
5,9413DE,Walstro,Beilen
7,9413DE,Walstro,Beilen
9,9413DE,Walstro,Beilen
4,9413DG,Steenbreek,Beilen
6,9413DG,Steenbreek,Beilen
8,9413DG,Steenbreek,Beilen
10,9413DG,Steenbreek,Beilen
34,9413DA,Biggekruid,Beilen
36,9413DA,Biggekruid,Beilen
38,9413DA,Biggekruid,Beilen
40,9413DA,Biggekruid,Beilen
42,9413DA,Biggekruid,Beilen
44,9413DA,Biggekruid,Beilen
13,9421RD,Sleedoornlaan,Bovensmilde
28,9421RD,Sleedoornlaan,Bovensmilde
1,9422TJ,Veldhuizenweg,Smilde
26,9413CG,Distelbrink,Beilen
10,9411PT,De Zuidmaten,Beilen
13,9422HX,Bakboord,Smilde
14,9422HX,Bakboord,Smilde
15,9422HX,Bakboord,Smilde
16,9422HX,Bakboord,Smilde
3,9431TA,Beilerstraat,Westerbork
2,8414BB,De Drift,Hooghalen
20,8414BB,De Drift,Hooghalen
3,9413BC,Kervelbrink,Beilen
6,9422BR,W.A. Scholtenweg,Smilde
31,9422CX,Industrieweg,Smilde
9,9431TA,Beilerstraat,Westerbork
10,9415RD,Zwartingerkamp,Hijken
3,7938RE,Boekweitstraat,Nieuw-Balinge
9,9414AR,Nijlanden,Hooghalen
28,9413CG,Distelbrink,Beilen
30,9413CG,Distelbrink,Beilen
10,9421TL,Grietmanswijk,Bovensmilde
14,9417PG,Grondselweg,Spier
18,9418RG,Nije Weg,Wijster
20,9418RG,Nije Weg,Wijster
1,9411VR,Ossebroeken,Beilen
2,9413DE,Walstro,Beilen
4,9413DE,Walstro,Beilen
6,9413DE,Walstro,Beilen
8,9413DE,Walstro,Beilen
30,9413DM,Spurrie,Beilen
32,9413DM,Spurrie,Beilen
34,9413DM,Spurrie,Beilen
36,9413DM,Spurrie,Beilen
38,9431CG,Westeinde,Westerbork
16,9419TP,Het Binnenveld,Drijber
18,9436TB,Hoogeveenseweg,Mantinge
13,9431AT,Oosteinde,Westerbork
34,9431AV,Oosteinde,Westerbork
26,9431CB,Pieterbergweg,Westerbork
5,9413CC,Pitruslaan,Beilen
1,9421RD,Sleedoornlaan,Bovensmilde
2,9421RD,Sleedoornlaan,Bovensmilde
15,9421RD,Sleedoornlaan,Bovensmilde
17,9421RD,Sleedoornlaan,Bovensmilde
20,9421RD,Sleedoornlaan,Bovensmilde
22,9421RD,Sleedoornlaan,Bovensmilde
8,9415RD,Zwartingerkamp,Hijken
57,9422BL,Tramweg,Smilde
58,9422BL,Tramweg,Smilde
18,9411VR,Ossebroeken,Beilen
36,9433VA,Het Zwiggelterveld,Zwiggelte
1,9442PJ,Dwarsweg,Elp
101,9411AL,Dingspelstraat,Beilen
103,9411AL,Dingspelstraat,Beilen
10,9413DE,Walstro,Beilen
20,9413DM,Spurrie,Beilen
22,9413DM,Spurrie,Beilen
24,9413DM,Spurrie,Beilen
26,9413DM,Spurrie,Beilen
23,9413DM,Spurrie,Beilen
25,9413DM,Spurrie,Beilen
27,9413DM,Spurrie,Beilen
29,9413DM,Spurrie,Beilen
31,9413DM,Spurrie,Beilen
33,9413DM,Spurrie,Beilen
35,9413DM,Spurrie,Beilen
37,9413DM,Spurrie,Beilen
2,9411TX,Domoweg,Beilen
3,9411TX,Domoweg,Beilen
4,9411TX,Domoweg,Beilen
1,7938RE,Boekweitstraat,Nieuw-Balinge
25,9413CG,Distelbrink,Beilen
1,9423RP,Hulzebosstraat,Hoogersmilde
3,9423RP,Hulzebosstraat,Hoogersmilde
13,9423RP,Hulzebosstraat,Hoogersmilde
1,9411NC,Weversstraat,Beilen
25,9431CC,Westeinde,Westerbork
1,9431DD,De Zandberg,Westerbork
2,9431DD,De Zandberg,Westerbork
3,9431DD,De Zandberg,Westerbork
4,9431DD,De Zandberg,Westerbork
5,9431DD,De Zandberg,Westerbork
6,9431DD,De Zandberg,Westerbork
7,9431DD,De Zandberg,Westerbork
8,9431DD,De Zandberg,Westerbork
9,9431DD,De Zandberg,Westerbork
10,9431DD,De Zandberg,Westerbork
1,9413CJ,Koekoeksbloemlaan,Beilen
1,9421SR,Ligusterstraat,Bovensmilde
3,9421SR,Ligusterstraat,Bovensmilde
5,9421SR,Ligusterstraat,Bovensmilde
12,9413CE,Fluitekruidlaan,Beilen
1,9411NA,Raadhuisstraat,Beilen
12,9411SB,Romhof,Beilen
12,9411SC,Romhof,Beilen
3,9421RD,Sleedoornlaan,Bovensmilde
5,9421RD,Sleedoornlaan,Bovensmilde
11,9421RD,Sleedoornlaan,Bovensmilde
5,9415PV,Molenkamp,Hijken
22,9411VR,Ossebroeken,Beilen
22,9421NV,Witterhof,Bovensmilde
3,7938PG,Koekoeksdijk,Nieuw-Balinge
2,9431AK,Brinklaan,Westerbork
18,9414AV,Stengelinstraat,Hooghalen
6,7938PG,Koekoeksdijk,Nieuw-Balinge
17,9418TX,Nijverheidsweg,Wijster
23,9433PP,Olde Gard,Zwiggelte
21,9433PP,Olde Gard,Zwiggelte
19,9433PP,Olde Gard,Zwiggelte
17,9433PP,Olde Gard,Zwiggelte
7,9418TW,Ambachtsweg,Wijster
4,9418TX,Nijverheidsweg,Wijster
35,9421TK,Meesterswijk,Bovensmilde
4,9411TZ,Tolmaatsweg,Beilen
4,9418TS,Weegbrugweg,Wijster
10,9413CE,Fluitekruidlaan,Beilen
27,9413CG,Distelbrink,Beilen
35,9411TS,Smalbroek,Beilen
20,9421NV,Witterhof,Bovensmilde
18,9421NV,Witterhof,Bovensmilde
21,9413DM,Spurrie,Beilen
39,9413DM,Spurrie,Beilen
12,9413DE,Walstro,Beilen
14,9413DE,Walstro,Beilen
16,9413DE,Walstro,Beilen
18,9413DE,Walstro,Beilen
20,9413DE,Walstro,Beilen
22,9413DE,Walstro,Beilen
24,9413DE,Walstro,Beilen
26,9413DE,Walstro,Beilen
28,9413DE,Walstro,Beilen
30,9413DE,Walstro,Beilen
32,9413DE,Walstro,Beilen
34,9413DE,Walstro,Beilen
16,9421NV,Witterhof,Bovensmilde
14,9421NV,Witterhof,Bovensmilde
12,9421NV,Witterhof,Bovensmilde
10,9421NV,Witterhof,Bovensmilde
8,9421NV,Witterhof,Bovensmilde
6,9421NV,Witterhof,Bovensmilde
4,9421NV,Witterhof,Bovensmilde
2,9421NV,Witterhof,Bovensmilde
1,9421NV,Witterhof,Bovensmilde
3,9421NV,Witterhof,Bovensmilde
5,9421NV,Witterhof,Bovensmilde
7,9421NV,Witterhof,Bovensmilde
9,9421NV,Witterhof,Bovensmilde
11,9421NV,Witterhof,Bovensmilde
13,9421NV,Witterhof,Bovensmilde
15,9421NV,Witterhof,Bovensmilde
17,9421NV,Witterhof,Bovensmilde
19,9421NV,Witterhof,Bovensmilde
3,9414AE,Middendorp,Hooghalen
3,9433TJ,Elperweg,Zwiggelte
5,9418TA,Zuideres,Wijster
52,9411LN,Asserstraat,Beilen
11,9413DH,Madeliefje,Beilen
17,9431JJ,Rolhof,Westerbork
22,9414BP,Buitenakker,Hooghalen
20,9414BP,Buitenakker,Hooghalen
3,9413CJ,Koekoeksbloemlaan,Beilen
13,9414BN,Buitenakker,Hooghalen
124,9422HT,Stuurboord,Smilde
125,9422HT,Stuurboord,Smilde
126,9422HT,Stuurboord,Smilde
213,9422HT,Stuurboord,Smilde
214,9422HT,Stuurboord,Smilde
215,9422HT,Stuurboord,Smilde
216,9422HT,Stuurboord,Smilde
217,9422HT,Stuurboord,Smilde
218,9422HT,Stuurboord,Smilde
219,9422HT,Stuurboord,Smilde
220,9422HT,Stuurboord,Smilde
101,9422HC,Gangboord,Smilde
102,9422HC,Gangboord,Smilde
103,9422HC,Gangboord,Smilde
104,9422HC,Gangboord,Smilde
105,9422HC,Gangboord,Smilde
1,9411ZV,Molenpassage,Beilen
3,9411ZV,Molenpassage,Beilen
5,9411ZV,Molenpassage,Beilen
2,9431BX,Stukkenweg,Eursinge
2,9434TK,Stukkenweg,Eursinge
9,9418RE,Nije Weg,Wijster
11,9418RE,Nije Weg,Wijster
13,9418RE,Nije Weg,Wijster
15,9418PE,Nije Weg,Wijster
15,9418RE,Nije Weg,Wijster
17,9418RE,Nije Weg,Wijster
1,9422TK,Menneweg,Appelscha
10,7826EJ,Drijberseweg,Wijster
10,9418PW,Drijberseweg,Wijster
15,7910TL,Noorderweg,Nieuweroord
6,9423TC,Jannes Brugginkweg,Hoogersmilde
19,9414BN,Buitenakker,Hooghalen
21,9414BN,Buitenakker,Hooghalen
17,9414BN,Buitenakker,Hooghalen
15,9414BN,Buitenakker,Hooghalen
15,9423TD,De Veldhuizen,Hoogersmilde
4,9431BN,Boerbrink,Westerbork
2,9431MK,Homaat,Westerbork
6,9413DT,Kaardebol,Beilen
2,9413DT,Kaardebol,Beilen
7,9413DH,Madeliefje,Beilen
9,9422TE,Wittewijk,Smilde
26,9418PV,Meester Haddersstraat,Wijster
4,9413DT,Kaardebol,Beilen
3,9413DT,Kaardebol,Beilen
5,9413DT,Kaardebol,Beilen
7,9413DT,Kaardebol,Beilen
9,9413DT,Kaardebol,Beilen
8,9442PG,Boerstraat,Elp
10,9413DT,Kaardebol,Beilen
1,9411KD,Torenlaan,Beilen
55,9439TJ,Mej. A.Talmaweg,Witteveen
11,9413DT,Kaardebol,Beilen
13,9413DT,Kaardebol,Beilen
15,9413DT,Kaardebol,Beilen
17,9413DT,Kaardebol,Beilen
19,9413DT,Kaardebol,Beilen
21,9413DT,Kaardebol,Beilen
23,9413DT,Kaardebol,Beilen
25,9413DT,Kaardebol,Beilen
49,9422AJ,Hoofdweg,Smilde
18,9413DT,Kaardebol,Beilen
20,9413DT,Kaardebol,Beilen
22,9413DT,Kaardebol,Beilen
24,9413DT,Kaardebol,Beilen
22,9415RD,Zwartingerkamp,Hijken
24,9415RD,Zwartingerkamp,Hijken
26,9415RD,Zwartingerkamp,Hijken
28,9415RD,Zwartingerkamp,Hijken
30,9415RD,Zwartingerkamp,Hijken
1,9413DP,Lidrus,Beilen
3,9413DP,Lidrus,Beilen
5,9413DP,Lidrus,Beilen
54,7938PE,Verlengde Middenraai,Nieuw-Balinge
56,7938PE,Verlengde Middenraai,Nieuw-Balinge
58,7938PE,Verlengde Middenraai,Nieuw-Balinge
62,7938PE,Verlengde Middenraai,Nieuw-Balinge
2,9413DM,Spurrie,Beilen
4,9413DM,Spurrie,Beilen
9,9413DJ,Sleedoorn,Beilen
19,9411LA,Hofstraat,Beilen
40,9411AG,Esweg,Beilen
1,9422XZ,Grietmanswijk,Bovensmilde
13,9413DP,Lidrus,Beilen
15,9413DP,Lidrus,Beilen
17,9413DP,Lidrus,Beilen
19,9413DP,Lidrus,Beilen
21,9413DP,Lidrus,Beilen
23,9413DP,Lidrus,Beilen
25,9413DP,Lidrus,Beilen
27,9413DP,Lidrus,Beilen
29,9413DP,Lidrus,Beilen
31,9413DP,Lidrus,Beilen
2,9423RV,Serwoutersstraat,Hoogersmilde
48,9422BD,Kanaalweg,Smilde
12,9413DT,Kaardebol,Beilen
14,9413DT,Kaardebol,Beilen
2,9411ZV,Molenpassage,Beilen
27,9422CX,Industrieweg,Smilde
7,9433PP,Olde Gard,Zwiggelte
16,9411VR,Ossebroeken,Beilen
8,9413DT,Kaardebol,Beilen
11,9413DJ,Sleedoorn,Beilen
29,9414BN,Buitenakker,Hooghalen
31,9431MR,Boermaat,Westerbork
4,9411ZV,Molenpassage,Beilen
5,9413DH,Madeliefje,Beilen
23,9411LS,Hijkerweg,Beilen
3,9413DH,Madeliefje,Beilen
42,9411KN,Brinkstraat,Beilen
11,9423RP,Hulzebosstraat,Hoogersmilde
7,9413DJ,Sleedoorn,Beilen
1,9413DN,Clematis,Beilen
5,9413DL,Vogelwikke,Beilen
9,9413DH,Madeliefje,Beilen
6,9414BP,Buitenakker,Hooghalen
30,9413DA,Biggekruid,Beilen
15,9438TH,Neie Hof,Garminge
11,9438TH,Neie Hof,Garminge
5,9413DN,Clematis,Beilen
5,9413DJ,Sleedoorn,Beilen
5,9431BK,Zandhoeklaan,Westerbork
13,9438TH,Neie Hof,Garminge
32,9413DA,Biggekruid,Beilen
66,9411TG,Lieving,Beilen
2,9413DK,Reseda,Beilen
4,9413DK,Reseda,Beilen
6,9413DK,Reseda,Beilen
8,9413DK,Reseda,Beilen
10,9413DK,Reseda,Beilen
12,9413DK,Reseda,Beilen
14,9413DK,Reseda,Beilen
16,9413DK,Reseda,Beilen
30,9431AE,Hoofdstraat,Westerbork
7,9413DL,Vogelwikke,Beilen
60,9416TD,Oranje,Oranje
1,9413DH,Madeliefje,Beilen
16,9433TH,Oranjekanaal N.Z.,Zwiggelte
33,9414BN,Buitenakker,Hooghalen
4,9439PE,Mej. A.Talmaweg,Witteveen
14,9418RG,Nije Weg,Wijster
16,9418RG,Nije Weg,Wijster
1,9438TH,Neie Hof,Garminge
3,9438TH,Neie Hof,Garminge
5,9438TH,Neie Hof,Garminge
7,9438TH,Neie Hof,Garminge
3,9413DN,Clematis,Beilen
1,9413DJ,Sleedoorn,Beilen
3,9433PP,Olde Gard,Zwiggelte
1,9412AT,Fiolenkamp,Beilen
13,9411VR,Ossebroeken,Beilen
48,7938PN,Mantingerweg,Nieuw-Balinge
9,9418PN,Bruntingerweg,Wijster
28,9431AR,Zuidbrink,Westerbork
30,9431AR,Zuidbrink,Westerbork
32,9431AR,Zuidbrink,Westerbork
34,9431AR,Zuidbrink,Westerbork
36,9431AR,Zuidbrink,Westerbork
38,9431AR,Zuidbrink,Westerbork
40,9431AR,Zuidbrink,Westerbork
42,9431AR,Zuidbrink,Westerbork
44,9431AR,Zuidbrink,Westerbork
46,9431AR,Zuidbrink,Westerbork
48,9431AR,Zuidbrink,Westerbork
50,9431AR,Zuidbrink,Westerbork
52,9431AR,Zuidbrink,Westerbork
54,9431AR,Zuidbrink,Westerbork
56,9431AR,Zuidbrink,Westerbork
58,9431AR,Zuidbrink,Westerbork
60,9431AR,Zuidbrink,Westerbork
62,9431AR,Zuidbrink,Westerbork
64,9431AR,Zuidbrink,Westerbork
66,9431AR,Zuidbrink,Westerbork
68,9431AR,Zuidbrink,Westerbork
70,9431AR,Zuidbrink,Westerbork
72,9431AR,Zuidbrink,Westerbork
74,9431AR,Zuidbrink,Westerbork
76,9431AR,Zuidbrink,Westerbork
78,9431AR,Zuidbrink,Westerbork
80,9431AR,Zuidbrink,Westerbork
82,9431AR,Zuidbrink,Westerbork
9,6662JA,Sterappel,Elst
73,6662ZM,Kievitshof,Elst
46,6662RN,Rozenkamp,Elst
7,6662EA,De Duiker,Elst
27,6661DC,Grote Molenstraat,Elst
19,6662ZC,De Zuiling,Elst
11,6662PH,Wolfhoeksestraat,Elst
7,6662RG,Durenkamp,Elst
7,6661ZW,1e Lange Voren,Elst
9,6661EB,Oranje Nassaustraat,Elst
7,6662LA,Henriëtte Roland Holstlaan,Elst
99,6661HM,Platenmakersstraat,Elst
2,6661XP,Prins Hendrikstraat,Elst
3,6662NP,Breedlersestraat,Elst
89,6662DX,Vergert,Elst
5,6661BR,Haydnstraat,Elst
40,6662XC,Elzepas,Elst
6,6662ME,Taminiausingel,Elst
1,6661VM,1e Molenbergstraat,Elst
3,6661NL,Langstraat,Elst
76,6662EH,Schravenweijde,Elst
87,6661KC,Rijksweg-Noord,Elst
12,6661ZP,Van Hogendorpstraat,Elst
71,6662ZM,Kievitshof,Elst
16,6662TC,Grote Kamp,Elst
25,6661XN,Prins Hendrikstraat,Elst
62,6662RZ,Klaverkamp,Elst
21,6661KA,Rijksweg-Noord,Elst
5,6662DG,Halve Morgen,Elst
7,6661WL,Johan Willem Frisostraat,Elst
17,6662ZE,De Wuurde,Elst
19,6662VS,Galgeplek,Elst
34,6661WT,Louise de Colignystraat,Elst
36,6661HG,Rädeckerstraat,Elst
90,6662DD,Europaplein,Elst
30,6661CZ,Chopinstraat,Elst
79,6661KC,Rijksweg-Noord,Elst
73,6662NB,De Wuurde,Elst
16,6661BV,Haydnstraat,Elst
6,6661XW,Graaf Lodewijkstraat,Elst
3,6662LA,Henriëtte Roland Holstlaan,Elst
48,6662TJ,Ruiterskamp,Elst
12,6661GH,Sluterstraat,Elst
208,6661HB,Reijersstraat,Elst
14,6662RM,Rozenkamp,Elst
30,6661VX,Koningin Wilhelminastraat,Elst
17,6662EJ,Huyekamp,Elst
12,6662CC,Zülpichhof,Elst
9,6661ZN,Van Hogendorpstraat,Elst
25,6662PC,Bemmelseweg,Elst
10,6662HC,Winterjan,Elst
125,6661HM,Platenmakersstraat,Elst
4,6661DJ,Grote Molenstraat,Elst
37,6662VD,Steenoven,Elst
1,6662AA,Mr. Thorbeckestraat,Elst
5,6661DL,Koningin Emmastraat,Elst
20,6661WK,Frederik Hendrikstraat,Elst
26,6662VE,Steenoven,Elst
17,6661VG,Willem de Zwijgerstraat,Elst
61,6661VP,Prinses Beatrixstraat,Elst
24,6662VX,Vogelzang,Elst
152,6662GB,Vriesenenk,Elst
17,6662VS,Galgeplek,Elst
