11,7495TG,Almelosestraat,Ambt Delden
38,7495WR,Loofrietweg,Ambt Delden
2,7495PV,Peppelendijk,Ambt Delden
11,7495SN,Zomerweg,Ambt Delden
26,7491CK,Spoorstraat,Delden
16,7496PV,Diepenheimsestraat,Hengevelde
8,7478RX,Hazendammerweg,Diepenheim
25,7478BK,Vosland,Diepenheim
4,7497MC,Berkenstraat,Bentelo
16,7497MC,Berkenstraat,Bentelo
79,7471JD,Markeloseweg,Goor
19,7471JG,Slagdijk,Goor
135,7471JD,Markeloseweg,Goor
14,7496AJ,Bekkampstraat,Hengevelde
1,7496XX,Kloetenweg,Ambt Delden
4,7495XX,Barloseweg,Ambt Delden
4,7495RR,Koerdamsweg,Ambt Delden
5,7495VZ,Zonnig Spoor,Ambt Delden
22,7497LD,Burgemeester Buijvoetsplein,Bentelo
8,7496PL,W.-B.-Scheidingsweg,Hengevelde
3,7491AN,Bellinkweg,Delden
5,7491XX,Hooijerinksplein,Delden
5,7491HE,De Wielewaal,Delden
19,7491AZ,Muldersweg,Delden
3,7491XP,Ranninkstraat,Delden
2,7491XX,Weegbree,Delden
26,7472DJ,Dammaten,Goor
10,7472AC,Entersestraat,Goor
1,7491MK,de Dinkel,Delden
5,7491MK,de Dinkel,Delden
3,7491MK,de Dinkel,Delden
30,7491MK,de Dinkel,Delden
32,7491MK,de Dinkel,Delden
28,7491MK,de Dinkel,Delden
24,7491MK,de Dinkel,Delden
26,7491MK,de Dinkel,Delden
40,7491MK,de Dinkel,Delden
42,7491MK,de Dinkel,Delden
38,7491MK,de Dinkel,Delden
34,7491MK,de Dinkel,Delden
36,7491MK,de Dinkel,Delden
22,7491MK,de Dinkel,Delden
8,7491MK,de Dinkel,Delden
10,7491MK,de Dinkel,Delden
6,7491MK,de Dinkel,Delden
2,7491MK,de Dinkel,Delden
4,7491MK,de Dinkel,Delden
18,7491MK,de Dinkel,Delden
20,7491MK,de Dinkel,Delden
12,7491MK,de Dinkel,Delden
14,7491MK,de Dinkel,Delden
14,7491BG,Molenstraat,Delden
3,7491XX,Meijlingstraat,Delden
3,7491BN,Meijlingstraat,Delden
8,7491ET,Brinkweg,Delden
37,7471WJ,Berkenstraat,Goor
39,7471WJ,Berkenstraat,Goor
28,7472DJ,Dammaten,Goor
147,7471XX,Grotestraat,Goor
147,7471BN,Grotestraat,Goor
12,7475RJ,Brummelaarsweg,Markelo
38,7474CH,Hengevelderstraat,Goor
38,7471CH,Hengevelderstraat,Goor
34,7471CH,Hengevelderstraat,Goor
36,7471CH,Hengevelderstraat,Goor
22,7472DD,Klavermaten,Goor
47,7472DD,Klavermaten,Goor
73,7471CK,Molenstraat,Goor
