5961RJ,9,,Grad Roosenstraat,Horst
5975WB,33,,De Sondert,Sevenum
5963HG,3,,Veldlaan,Hegelsom
7064BG,108,,Ulftseweg,Silvolde
7055AS,23,,Hiddinkdijk,Heelweg
7065BN,6,,Seesinkvloetstraat,Sinderen
7064EP,73,,Boterweg,Silvolde
7064CE,32,,Lichtenbergseweg,Silvolde
7054AT,2,,Stompdijk,Westendorp
7061ZE,84,,Vulcaanstraat,Terborg
7064BA,39,,Ulftseweg,Silvolde
7054AK,3,,Kersendijk,Westendorp
7064AM,15,,Terborgseveld,Silvolde
7064GP,2,,Schoolstraat,Silvolde
7061DJ,2,,Bergweg,Terborg
7061CH,65,,Hoofdstraat,Terborg
7061AS,48,,Industrieweg,Terborg
7061ZL,22,,Koningin Wilhelminastraat,Terborg
7064LH,2,,Lichtenberg,Silvolde
7051ZL,7,,Roggestraat,Varsseveld
7061CA,11,,Walstraat,Terborg
7065AP,17,,Harterinkdijk,Sinderen
7064HG,1,,Doctor Kuyperstraat,Silvolde
7064KK,2,,Bievinkstraat,Silvolde
7061DP,12,,Silvoldseweg,Terborg
7064HP,22,,Berkenlaan,Silvolde
7061CS,10,,Doetinchemseweg,Terborg
7051ZJ,5,,Korenbloemstraat,Varsseveld
7061GA,1,,Varsseveldseweg,Terborg
7061AT,68,,Industrieweg,Terborg
7061AT,66,,Industrieweg,Terborg
7064AG,48,,Terborgseweg,Silvolde
7061XV,41,,IJsselweg,Terborg
7061AX,6,,Vulcaanstraat,Terborg
7061AS,44,,Industrieweg,Terborg
7061CV,13,,Looiersweg,Terborg
7051ZH,20,,Klaproosstraat,Varsseveld
7064BA,15,,Ulftseweg,Silvolde
7051CG,3,,Spoorstraat,Varsseveld
7051BD,11,,Anna van Saksenstraat,Varsseveld
7061AT,72,,Industrieweg,Terborg
7061BS,21,,Bosboomstraat,Terborg
7055AK,2,,Hoge Weg,Heelweg
7051AD,4,,Prinses Beatrixstraat,Varsseveld
7051DT,58,,Doetinchemseweg,Varsseveld
7051ZJ,8,,Korenbloemstraat,Varsseveld
7051BD,4,,Anna van Saksenstraat,Varsseveld
7061DG,17,,De Laegte,Terborg
7064GW,47,,Doctor Schaepmanstraat,Silvolde
7051BD,12,,Anna van Saksenstraat,Varsseveld
7054BW,8,,Lankerdijk,Westendorp
7051GP,1,,Gunjansdijk,Varsseveld
7051AA,11,,Doetinchemseweg,Varsseveld
7064BB,41,,Ulftseweg,Silvolde
7061BL,5,,Neering Bögelstraat,Terborg
7054BE,27,,Boesvelderdijk,Westendorp
7064GV,1,,Doctor Schaepmanstraat,Silvolde
7064GP,4,,Schoolstraat,Silvolde
7061DR,24,,Silvoldseweg,Terborg
7061CP,13,,Doetinchemseweg,Terborg
7061ZB,55,,Vulcaanstraat,Terborg
7061ZL,18,,Koningin Wilhelminastraat,Terborg
7061DE,6,,Den Vlasberg,Terborg
7064BA,3,,Ulftseweg,Silvolde
7051ZM,19,,Essenkampstraat,Varsseveld
7061ZM,15,,Borgsche Rieten,Terborg
7051CC,34,,Graaf van Lohnstraat,Varsseveld
7064AR,54,,Terborgseveld,Silvolde
7064BJ,10,,Boterweg,Silvolde
7061DD,33,,'t Veld,Terborg
7064BE,82,,Ulftseweg,Silvolde
7061GH,17,,Varsseveldseweg,Terborg
7055AX,10,,Molenweg,Heelweg
7064HS,48,,Berkenlaan,Silvolde
7061CV,19,,Looiersweg,Terborg
7064BJ,3,,Boterweg,Silvolde
7064GA,7,,Koningin Julianastraat,Silvolde
7064GA,13,,Koningin Julianastraat,Silvolde
7051BE,12,,Anna van Burenstraat,Varsseveld
7064GR,24,,Siebelinkstraat,Silvolde
7051ZJ,14,,Korenbloemstraat,Varsseveld
7051GN,1,,Lichtenvoordseweg,Varsseveld
7061ZM,9,,Borgsche Rieten,Terborg
7054BE,11,,Boesvelderdijk,Westendorp
7061BN,16,,van Nagellstraat,Terborg
7061BN,14,,van Nagellstraat,Terborg
7054BL,132,,Doetinchemseweg,Westendorp
7051DT,76,,Doetinchemseweg,Varsseveld
7061CT,6,,Stationsweg,Terborg
7064AZ,9,,Markt,Silvolde
7051DE,23,,van Pallandtstraat,Varsseveld
7051DC,24,,Schoolstraat,Varsseveld
7061AB,32,,Ettensestraat,Terborg
7064CA,9,,Lichtenbergseweg,Silvolde
7051GH,3,,Vlakkeeweg,Varsseveld
7065AT,6,,Kroezendijk,Sinderen
7051GT,6,,Entinkweg,Varsseveld
7061CS,6,,Doetinchemseweg,Terborg
7064AX,4,,Marktstraat,Silvolde
7061CG,7,,Hoofdstraat,Terborg
