7131CL,35,,Raadhuisstraat,Lichtenvoorde
7131GC,1,,van Raesfeltstraat,Lichtenvoorde
7131GD,2,,van Raesfeltstraat,Lichtenvoorde
7131GC,3,,van Raesfeltstraat,Lichtenvoorde
7131GD,4,,van Raesfeltstraat,Lichtenvoorde
7131GC,5,,van Raesfeltstraat,Lichtenvoorde
7131GD,6,,van Raesfeltstraat,Lichtenvoorde
7131GC,7,,van Raesfeltstraat,Lichtenvoorde
7131GD,8,,van Raesfeltstraat,Lichtenvoorde
7131GC,9,,van Raesfeltstraat,Lichtenvoorde
7131GD,10,,van Raesfeltstraat,Lichtenvoorde
7131GC,11,,van Raesfeltstraat,Lichtenvoorde
7131GD,12,,van Raesfeltstraat,Lichtenvoorde
7132AA,93,,Schatbergstraat,Lichtenvoorde
7131MG,90,,Lievelderweg,Lichtenvoorde
7137MB,81,,Lievelderweg,Lievelde
7137MB,83,,Lievelderweg,Lievelde
7137MB,85,,Lievelderweg,Lievelde
7137MB,87,,Lievelderweg,Lievelde
7137MB,93,,Lievelderweg,Lievelde
7137MB,94,,Lievelderweg,Lievelde
7137MB,95,,Lievelderweg,Lievelde
7137MB,96,,Lievelderweg,Lievelde
7137MB,97,,Lievelderweg,Lievelde
7137MB,99,,Lievelderweg,Lievelde
7137MB,101,,Lievelderweg,Lievelde
7137MB,103,,Lievelderweg,Lievelde
7137MB,104,,Lievelderweg,Lievelde
7137MC,105,,Lievelderweg,Lievelde
7137MC,106,,Lievelderweg,Lievelde
7137MC,107,,Lievelderweg,Lievelde
7137MC,109,,Lievelderweg,Lievelde
7137MC,113,,Lievelderweg,Lievelde
7137MC,114,,Lievelderweg,Lievelde
7137MC,115,,Lievelderweg,Lievelde
7137MC,116,,Lievelderweg,Lievelde
7137MC,117,,Lievelderweg,Lievelde
7137MC,121,,Lievelderweg,Lievelde
7137NB,122,,Lievelderweg,Lievelde
7137MC,123,,Lievelderweg,Lievelde
7137NB,124,,Lievelderweg,Lievelde
7137MC,125,,Lievelderweg,Lievelde
7137NB,126,,Lievelderweg,Lievelde
7137MV,127,,Lievelderweg,Lievelde
7137NB,128,,Lievelderweg,Lievelde
7137MV,129,,Lievelderweg,Lievelde
7137NB,130,,Lievelderweg,Lievelde
7137MV,131,,Lievelderweg,Lievelde
7137MV,133,,Lievelderweg,Lievelde
7137MV,135,,Lievelderweg,Lievelde
7137MV,137,,Lievelderweg,Lievelde
7137MV,139,,Lievelderweg,Lievelde
7137MV,141,,Lievelderweg,Lievelde
7137MV,143,,Lievelderweg,Lievelde
7137MV,145,,Lievelderweg,Lievelde
7137MX,153,,Lievelderweg,Lievelde
7137NB,157,,Lievelderweg,Lievelde
7137NB,159,,Lievelderweg,Lievelde
7137NB,161,,Lievelderweg,Lievelde
7137NB,163,,Lievelderweg,Lievelde
7135KE,1,,Lindeboomweg,Harreveld
7135KG,6,,Lindeboomweg,Harreveld
7135KE,7,,Lindeboomweg,Harreveld
7135KG,8,,Lindeboomweg,Harreveld
7135KG,10,,Lindeboomweg,Harreveld
7135KE,11,,Lindeboomweg,Harreveld
7135KG,12,,Lindeboomweg,Harreveld
7135KE,13,,Lindeboomweg,Harreveld
7135KG,14,,Lindeboomweg,Harreveld
7135KE,15,,Lindeboomweg,Harreveld
