7131ZN,16,,Hillenstraat,Lichtenvoorde
7131DR,1,,'t Hof,Lichtenvoorde
7131DR,4,,'t Hof,Lichtenvoorde
7131DR,6,,'t Hof,Lichtenvoorde
7131TC,1,,Hofesch,Lichtenvoorde
7131TB,2,,Hofesch,Lichtenvoorde
7131TC,3,,Hofesch,Lichtenvoorde
7131TB,4,,Hofesch,Lichtenvoorde
7131TC,5,,Hofesch,Lichtenvoorde
7131TB,6,,Hofesch,Lichtenvoorde
7131TC,7,,Hofesch,Lichtenvoorde
7131TB,8,,Hofesch,Lichtenvoorde
7131TC,9,,Hofesch,Lichtenvoorde
7131TB,10,,Hofesch,Lichtenvoorde
7131TC,11,,Hofesch,Lichtenvoorde
7131TB,12,,Hofesch,Lichtenvoorde
7131TC,13,,Hofesch,Lichtenvoorde
7131TB,14,,Hofesch,Lichtenvoorde
7131TC,15,,Hofesch,Lichtenvoorde
7131TB,16,,Hofesch,Lichtenvoorde
7131TC,17,,Hofesch,Lichtenvoorde
7131TB,18,,Hofesch,Lichtenvoorde
7131TC,19,,Hofesch,Lichtenvoorde
7131TB,20,,Hofesch,Lichtenvoorde
7131TC,21,,Hofesch,Lichtenvoorde
7131TB,22,,Hofesch,Lichtenvoorde
7131TC,23,,Hofesch,Lichtenvoorde
7131TB,24,,Hofesch,Lichtenvoorde
7131TC,25,,Hofesch,Lichtenvoorde
7131TB,26,,Hofesch,Lichtenvoorde
7131TC,27,,Hofesch,Lichtenvoorde
7131TB,28,,Hofesch,Lichtenvoorde
7131TC,29,,Hofesch,Lichtenvoorde
7131TB,30,,Hofesch,Lichtenvoorde
7131TC,31,,Hofesch,Lichtenvoorde
7131TB,32,,Hofesch,Lichtenvoorde
7131TC,33,,Hofesch,Lichtenvoorde
7131TB,34,,Hofesch,Lichtenvoorde
7131TB,36,,Hofesch,Lichtenvoorde
7131TB,38,,Hofesch,Lichtenvoorde
7131TB,40,,Hofesch,Lichtenvoorde
7131TB,42,,Hofesch,Lichtenvoorde
7131TB,44,,Hofesch,Lichtenvoorde
7135TW,1,,Hofkamp,Harreveld
7135TW,3,,Hofkamp,Harreveld
7135TW,4,,Hofkamp,Harreveld
7135TW,5,,Hofkamp,Harreveld
7135TW,6,,Hofkamp,Harreveld
7135TW,7,,Hofkamp,Harreveld
7135TW,8,,Hofkamp,Harreveld
7135TW,9,,Hofkamp,Harreveld
