24,8601WS,Pottenbakkersstraat,Sneek
2,8757JV,Zeedijk,Gaast
1,8761PZ,Zeedijk,Ferwoude
51,8621DZ,De Opper,Heeg
3,8603EV,Douwe Hiddesstraat,Sneek
6,8711HE,Hearekeunst,Workum
5,8601EK,Wijnkanstraat,Sneek
12,8601WR,Klompenmakersstraat,Sneek
52,8606JC,Oude Oppenhuizerweg,Sneek
17,8621BC,Túnstrjitte,Heeg
19,8621BC,Túnstrjitte,Heeg
21,8621BC,Túnstrjitte,Heeg
46,8601CM,Kruizebroederstraat,Sneek
56,8606JC,Oude Oppenhuizerweg,Sneek
13,8702TH,Dr. Wumkesstraat,Sneek
11,8702TH,Dr. Wumkesstraat,Sneek
17,8711BG,Begine,Workum
4,8701GA,Hanzestraat,Bolsward
14,8701GA,Stadsstreng,Bolsward
16,8701GA,Hanzestraat,Bolsward
20,8701GA,Hanzestraat,Bolsward
22,8701GA,Hanzestraat,Bolsward
24,8701GA,Hanzestraat,Bolsward
26,8701GA,Hanzestraat,Bolsward
15,8701JP,'t Laag,Bolsward
17,8701JP,'t Laag,Bolsward
18,8701GA,Hanzestraat,Bolsward
31,8723BE,Hoofdstraat,Koudum
33,8723BE,Hoofdstraat,Koudum
1,8723EJ,Tsjerkepaad,Koudum
3,8723EJ,Tsjerkepaad,Koudum
5,8723EJ,Tsjerkepaad,Koudum
7,8723EJ,Tsjerkepaad,Koudum
9,8723EJ,Tsjerkepaad,Koudum
11,8723EJ,Tsjerkepaad,Koudum
224,8701MH,De Marne,Bolsward
49,8608AB,IJlsterkade,Sneek
91,8625TH,Noardein,Oppenhuizen
1,8624TZ,Nije Dyk,Uitwellingerga
5,8723BZ,Westeweg,Koudum
2,8601DA,Veemarktplein,Sneek
7,8618ND,Pikesyl,Abbega
93,8723AW,Beukenlaan,Koudum
3,8626GE,Grienedyk,Offingawier
101,8723AW,Beukenlaan,Koudum
12,8607BZ,Lemmerweg,Sneek
2,8601WR,Klompenmakersstraat,Sneek
29,8601CB,Prins Hendrikkade,Sneek
41,8601BP,Oosterdijk,Sneek
101,8621CW,Pharshoeke,Heeg
20,8701JP,'t Laag,Bolsward
7,8701GR,De Bunders,Bolsward
9,8701GR,De Bunders,Bolsward
11,8701GR,De Bunders,Bolsward
13,8701GR,De Bunders,Bolsward
15,8701GR,De Bunders,Bolsward
17,8701GR,De Bunders,Bolsward
17,8701ZN,De Dammen,Bolsward
19,8701ZN,De Dammen,Bolsward
21,8701ZN,De Dammen,Bolsward
23,8701ZN,De Dammen,Bolsward
12,8701ZZ,De Greiden,Bolsward
10,8701ZZ,De Greiden,Bolsward
8,8701ZZ,De Greiden,Bolsward
6,8701ZZ,De Greiden,Bolsward
4,8701ZZ,De Greiden,Bolsward
5,8775XD,Nummer,Nijhuizum
30,8711HC,Slinkewei,Workum
21,8715EK,Meerweg,Stavoren
23,8715EK,Meerweg,Stavoren
25,8715EK,Meerweg,Stavoren
27,8715EK,Meerweg,Stavoren
29,8715EK,Meerweg,Stavoren
31,8715EK,Meerweg,Stavoren
161,8606CV,Johan Willem Frisostraat,Sneek
161,8606XG,Johan Willem Frisostraat,Sneek
2,8607BX,van Schouwenburgstraat,Sneek
4,8701JJ,Witherenstraat,Bolsward
19,8715EK,Meerweg,Stavoren
33,8715EK,Meerweg,Stavoren
17,8614XC,Simmersnie,Oudega
14,8651EG,Eegracht,IJlst
90,8608AX,Pripperstraat,Sneek
7,8625TD,Afkelânsdyk,Oppenhuizen
24,8701GC,Franekerstraat,Bolsward
33,8754LA,Wûnsstelling,Makkum
4,8633LC,De Râne,Ysbrechtum
63,8723AW,Beukenlaan,Koudum
65,8726AW,Beukenlaan,Koudum
65,8723AW,Beukenlaan,Koudum
67,8723AW,Beukenlaan,Koudum
69,8723AW,Beukenlaan,Koudum
3,8551RL,De Kolk,Woudsend
1,8754LA,Wûnsstelling,Makkum
20,8765LX,Dyksicht,Tjerkwerd
85,8723AW,Beukenlaan,Koudum
5,8754LA,Wûnsstelling,Makkum
18,8633LC,De Râne,Ysbrechtum
4,8711ED,Sylspaed,Workum
50,8606AB,Koopmansgracht,Sneek
12,8621CV,Gouden Boaijum,Heeg
13,8554RD,Nr,Ypecolsga
4,8773KK,Wallemadyk,Folsgare
6,8773KK,Wallemadyk,Folsgare
8,8773KK,Wallemadyk,Folsgare
10,8773KK,Wallemadyk,Folsgare
87,8723AW,Beukenlaan,Koudum
182,8711AM,Noard,Workum
11,8754LA,Wûnsstelling,Makkum
55,8621DZ,De Opper,Heeg
248,8622DC,Jeltewei,Hommerts
54,8606JC,Oude Oppenhuizerweg,Sneek
53,8615LB,De Sylroede,Blauwhuis
26,8711HR,Hoekseize,Workum
24,8702KL,Nieuwmarkt,Bolsward
11,8701KN,Mariahof,Bolsward
12,8701KM,Mariahof,Bolsward
13,8701KN,Mariahof,Bolsward
14,8701KN,Mariahof,Bolsward
14,8701KM,Mariahof,Bolsward
15,8701KN,Mariahof,Bolsward
4,8605AP,Ankerpad,Sneek
65,8551ML,Vosseleane,Woudsend
11,8711LN,Anne Westerhuisstrjitte,Workum
12,8821LR,Grote Reed,Kimswerd
9,8711LN,Anne Westerhuisstrjitte,Workum
101,8626GG,De Potten,Offingawier
102,8626GG,De Potten,Offingawier
103,8626GG,De Potten,Offingawier
104,8626GG,De Potten,Offingawier
107,8626GG,De Potten,Offingawier
108,8626GG,De Potten,Offingawier
111,8626GG,De Potten,Offingawier
112,8626GG,De Potten,Offingawier
133,8626GG,De Potten,Offingawier
113,8626GG,De Potten,Offingawier
114,8626GG,De Potten,Offingawier
14,8633LC,De Râne,Ysbrechtum
15,8633LC,De Râne,Ysbrechtum
3,8626GJ,Koaiwei,Offingawier
49,8621DZ,De Opper,Heeg
41,8754LB,It Ferset,Makkum
22,8603ET,Gerben Nannesstraat,Sneek
1,8551RL,De Kolk,Woudsend
18,8748GM,It Partoer,Witmarsum
129,8602AJ,Eeltje Halbertsmastraat,Sneek
131,8602AJ,Eeltje Halbertsmastraat,Sneek
133,8602AJ,Eeltje Halbertsmastraat,Sneek
1,8625HV,Eastwei,Oppenhuizen
105,8626GG,De Potten,Offingawier
106,8626GG,De Potten,Offingawier
109,8626GG,De Potten,Offingawier
110,8626GG,De Potten,Offingawier
115,8626GG,De Potten,Offingawier
116,8626GG,De Potten,Offingawier
117,8626GG,De Potten,Offingawier
118,8626GG,De Potten,Offingawier
119,8626GG,De Potten,Offingawier
120,8626GG,De Potten,Offingawier
10,8723AX,Havenkade,Koudum
10,8723XA,Havenkade,Koudum
55,8748AB,Arumerweg,Witmarsum
12,8601VA,Wagenmakersstraat,Sneek
2,8601VG,Houtdraaiersstraat,Sneek
71,8723AW,Beukenlaan,Koudum
73,8723AV,Beukenlaan,Koudum
73,8723AW,Beukenlaan,Koudum
75,8723AV,Beukenlaan,Koudum
75,8723AW,Beukenlaan,Koudum
77,8723AV,Beukenlaan,Koudum
77,8723AW,Beukenlaan,Koudum
2,8723XA,Havenkade,Koudum
3,8723XA,Havenkade,Koudum
4,8723AZ,Havenkade,Koudum
4,8723XA,Havenkade,Koudum
5,8723XA,Havenkade,Koudum
89,8723AW,Beukenlaan,Koudum
6,8633LC,De Râne,Ysbrechtum
7,8633LC,De Râne,Ysbrechtum
14,8651NE,Sneekerpad,IJlst
18,8754LD,Menziessingel,Makkum
69,8601AH,Singel,Sneek
2,8607BZ,Lemmerweg,Sneek
21,8602AM,Winsemiusstraat,Sneek
66,8601AL,Singel,Sneek
70,8601AL,Singel,Sneek
4,8601AA,Harinxmakade,Sneek
5,8601AA,Harinxmakade,Sneek
6,8601AA,Harinxmakade,Sneek
8,8601AA,Harinxmakade,Sneek
10,8601AA,Harinxmakade,Sneek
11,8601AA,Harinxmakade,Sneek
74,8601AL,Singel,Sneek
15,8601BE,Kleinzand,Sneek
