8,6265BK,De Hochterhof,Sint Geertruid
58,6247CJ,Hogeweg,Gronsveld
60,6247CJ,Hogeweg,Gronsveld
62,6247CJ,Hogeweg,Gronsveld
64,6247CJ,Hogeweg,Gronsveld
66,6247CJ,Hogeweg,Gronsveld
68,6247CJ,Hogeweg,Gronsveld
70,6247CJ,Hogeweg,Gronsveld
72,6247CJ,Hogeweg,Gronsveld
2,6247GZ,Haverbannet,Gronsveld
1,6247GZ,Haverbannet,Gronsveld
3,6247GZ,Haverbannet,Gronsveld
5,6247GZ,Haverbannet,Gronsveld
7,6247GZ,Haverbannet,Gronsveld
9,6247GZ,Haverbannet,Gronsveld
50,6245RJ,Veldleeuwerik,Eijsden
52,6245RJ,Veldleeuwerik,Eijsden
54,6245RJ,Veldleeuwerik,Eijsden
60,6269DA,Amerikaplein,Margraten
62,6269DA,Amerikaplein,Margraten
64,6269DA,Amerikaplein,Margraten
66,6269DA,Amerikaplein,Margraten
68,6269DA,Amerikaplein,Margraten
70,6269DA,Amerikaplein,Margraten
72,6269DA,Amerikaplein,Margraten
74,6269DA,Amerikaplein,Margraten
76,6269DA,Amerikaplein,Margraten
78,6269DA,Amerikaplein,Margraten
80,6269DA,Amerikaplein,Margraten
7,6269ND,Gen Höf,Margraten
6,6245TG,Paardebloem,Eijsden
24,6245TG,Paardebloem,Eijsden
18,6245TE,Gele Helmbloem,Eijsden
27,6245TE,Gele Helmbloem,Eijsden
31,6268NZ,Kersenwei,Bemelen
85,6245JD,Boomkensstraat,Eijsden
18,6245TA,Boterbloem,Eijsden
22,6245TE,Gele Helmbloem,Eijsden
45,6269DP,Haegerhofstraat,Margraten
22,6261PH,De Gelimment,Mheer
19,6245RC,St. Rémy,Eijsden
21,6245RC,St. Rémy,Eijsden
23,6245RC,St. Rémy,Eijsden
12,6261PJ,Gouverneur De Loëstraat,Mheer
7,6268NZ,Kersenwei,Bemelen
10,6269BD,Bellefleur,Margraten
12,6269BD,Bellefleur,Margraten
14,6269BD,Bellefleur,Margraten
14,6247NZ,Burgemeester Frans Cortenraadstraat,Gronsveld
7,6269CD,Hendrik van Gelderstraat,Margraten
9,6269BC,Tromputte,Margraten
11,6269BC,Tromputte,Margraten
27,6268NZ,Kersenwei,Bemelen
37,6268NZ,Kersenwei,Bemelen
35,6268NZ,Kersenwei,Bemelen
33,6268NZ,Kersenwei,Bemelen
41,6268NZ,Kersenwei,Bemelen
39,6268NZ,Kersenwei,Bemelen
2,6245TE,Gele Helmbloem,Eijsden
6,6245TE,Gele Helmbloem,Eijsden
36,6267AG,Rijksweg,Cadier en Keer
29,6245TB,Koekoeksbloem,Eijsden
31,6245TB,Koekoeksbloem,Eijsden
33,6245TB,Koekoeksbloem,Eijsden
35,6245TB,Koekoeksbloem,Eijsden
37,6245TB,Koekoeksbloem,Eijsden
39,6245TB,Koekoeksbloem,Eijsden
41,6245TB,Koekoeksbloem,Eijsden
30,6245TC,Koekoeksbloem,Eijsden
32,6245TC,Koekoeksbloem,Eijsden
34,6245TC,Koekoeksbloem,Eijsden
36,6245TC,Koekoeksbloem,Eijsden
38,6245TC,Koekoeksbloem,Eijsden
40,6245TC,Koekoeksbloem,Eijsden
42,6245TC,Koekoeksbloem,Eijsden
11,6268NZ,Kersenwei,Bemelen
16,6245KN,Joseph Partounsstraat,Eijsden
7,6269BC,Tromputte,Margraten
8,6267AB,Dorpsstraat,Cadier en Keer
10,6267AB,Dorpsstraat,Cadier en Keer
23,6268NZ,Kersenwei,Bemelen
47,6255NS,Hoogcruts,Noorbeek
37,6245RJ,Veldleeuwerik,Eijsden
39,6245RJ,Veldleeuwerik,Eijsden
41,6245RJ,Veldleeuwerik,Eijsden
43,6245RJ,Veldleeuwerik,Eijsden
45,6245RJ,Veldleeuwerik,Eijsden
47,6245RJ,Veldleeuwerik,Eijsden
25,6245RJ,Veldleeuwerik,Eijsden
27,6245RJ,Veldleeuwerik,Eijsden
29,6245RJ,Veldleeuwerik,Eijsden
31,6245RJ,Veldleeuwerik,Eijsden
33,6245RJ,Veldleeuwerik,Eijsden
35,6245RJ,Veldleeuwerik,Eijsden
43,6247AA,Rijksweg,Gronsveld
23,6245HX,Capucijnenstraat,Eijsden
10,6262NW,Loverixplein,Banholt
19,6245TD,Korenbloem,Eijsden
46,6269CC,President Kennedystraat,Margraten
35,6255NX,Gulperstraat,Noorbeek
37,6255NX,Gulperstraat,Noorbeek
39,6255NX,Gulperstraat,Noorbeek
41,6255NX,Gulperstraat,Noorbeek
43,6255NX,Gulperstraat,Noorbeek
45,6255NX,Gulperstraat,Noorbeek
47,6255NX,Gulperstraat,Noorbeek
49,6255NX,Gulperstraat,Noorbeek
51,6255NX,Gulperstraat,Noorbeek
53,6255NX,Gulperstraat,Noorbeek
55,6255NX,Gulperstraat,Noorbeek
57,6255NX,Gulperstraat,Noorbeek
59,6255NX,Gulperstraat,Noorbeek
61,6255NX,Gulperstraat,Noorbeek
63,6255NX,Gulperstraat,Noorbeek
23,6245TD,Korenbloem,Eijsden
21,6268NZ,Kersenwei,Bemelen
1,6245RJ,Veldleeuwerik,Eijsden
3,6245RJ,Veldleeuwerik,Eijsden
5,6245RJ,Veldleeuwerik,Eijsden
7,6245RJ,Veldleeuwerik,Eijsden
9,6245RJ,Veldleeuwerik,Eijsden
11,6245RJ,Veldleeuwerik,Eijsden
13,6245RJ,Veldleeuwerik,Eijsden
15,6245RJ,Veldleeuwerik,Eijsden
17,6245RJ,Veldleeuwerik,Eijsden
19,6245RJ,Veldleeuwerik,Eijsden
21,6245RJ,Veldleeuwerik,Eijsden
23,6245RJ,Veldleeuwerik,Eijsden
16,6247NZ,Burgemeester Frans Cortenraadstraat,Gronsveld
18,6247NZ,Burgemeester Frans Cortenraadstraat,Gronsveld
20,6247NZ,Burgemeester Frans Cortenraadstraat,Gronsveld
22,6247NZ,Burgemeester Frans Cortenraadstraat,Gronsveld
1,6245LR,Zoerbeemden,Eijsden
19,6269EG,In de Molt,Margraten
2,6269BM,Eijkerstraat,Margraten
7,6269AD,Amerikaplein,Margraten
7,6269DA,Amerikaplein,Margraten
9,6269DA,Amerikaplein,Margraten
13,6269DA,Amerikaplein,Margraten
15,6269DA,Amerikaplein,Margraten
17,6269DA,Amerikaplein,Margraten
19,6269DA,Amerikaplein,Margraten
21,6269DA,Amerikaplein,Margraten
3,6269DA,Amerikaplein,Margraten
11,6269DA,Amerikaplein,Margraten
15,6267NN,Blankenberg,Cadier en Keer
17,6268NZ,Kersenwei,Bemelen
3,6261NK,Steegstraat,Mheer
19,6268NZ,Kersenwei,Bemelen
10,6247CM,Gronsvelder Kerkplein,Gronsveld
12,6247CM,Gronsvelder Kerkplein,Gronsveld
2,6247NZ,Burgemeester Frans Cortenraadstraat,Gronsveld
