6681CX,4,,Drieske,Bemmel
6852EC,2,,Drieslag,Huissen
6852EC,4,,Drieslag,Huissen
6852EC,6,,Drieslag,Huissen
6852EB,7,,Drieslag,Huissen
6852EC,8,,Drieslag,Huissen
6852EB,9,,Drieslag,Huissen
6852EC,10,,Drieslag,Huissen
6852EB,11,,Drieslag,Huissen
6852EC,12,,Drieslag,Huissen
6852EB,13,,Drieslag,Huissen
6852EC,14,,Drieslag,Huissen
6852EB,15,,Drieslag,Huissen
6852EC,16,,Drieslag,Huissen
6852EB,17,,Drieslag,Huissen
6852EB,19,,Drieslag,Huissen
6852EB,21,,Drieslag,Huissen
6852EB,23,,Drieslag,Huissen
6852EB,25,,Drieslag,Huissen
6852EB,27,,Drieslag,Huissen
6852EB,29,,Drieslag,Huissen
6852EB,31,,Drieslag,Huissen
6681ZD,1,,Ds Israëlstraat,Bemmel
6681ZH,2,,Ds Israëlstraat,Bemmel
6681ZH,4,,Ds Israëlstraat,Bemmel
6681ZH,6,,Ds Israëlstraat,Bemmel
6681ZD,7,,Ds Israëlstraat,Bemmel
6681ZH,8,,Ds Israëlstraat,Bemmel
6681ZD,9,,Ds Israëlstraat,Bemmel
6681ZH,10,,Ds Israëlstraat,Bemmel
6681ZD,11,,Ds Israëlstraat,Bemmel
6681ZH,12,,Ds Israëlstraat,Bemmel
6681ZD,13,,Ds Israëlstraat,Bemmel
6681ZH,14,,Ds Israëlstraat,Bemmel
6681ZD,15,,Ds Israëlstraat,Bemmel
6681ZH,16,,Ds Israëlstraat,Bemmel
6681ZD,17,,Ds Israëlstraat,Bemmel
6681ZH,18,,Ds Israëlstraat,Bemmel
6681ZD,19,,Ds Israëlstraat,Bemmel
6681ZH,20,,Ds Israëlstraat,Bemmel
6681ZD,21,,Ds Israëlstraat,Bemmel
6681ZD,23,,Ds Israëlstraat,Bemmel
6681ZD,25,,Ds Israëlstraat,Bemmel
6681ZH,26,,Ds Israëlstraat,Bemmel
6681ZD,27,,Ds Israëlstraat,Bemmel
6681ZH,28,,Ds Israëlstraat,Bemmel
6681ZD,29,,Ds Israëlstraat,Bemmel
6681ZH,30,,Ds Israëlstraat,Bemmel
6681ZD,31,,Ds Israëlstraat,Bemmel
6681ZH,32,,Ds Israëlstraat,Bemmel
6681ZD,33,,Ds Israëlstraat,Bemmel
6681ZH,34,,Ds Israëlstraat,Bemmel
6681ZD,35,,Ds Israëlstraat,Bemmel
6681ZD,37,,Ds Israëlstraat,Bemmel
6681ZD,39,,Ds Israëlstraat,Bemmel
6681ZD,41,,Ds Israëlstraat,Bemmel
6681ZD,43,,Ds Israëlstraat,Bemmel
6681ZD,45,,Ds Israëlstraat,Bemmel
6681ZE,51,,Ds Israëlstraat,Bemmel
6681ZE,53,,Ds Israëlstraat,Bemmel
6681ZE,55,,Ds Israëlstraat,Bemmel
6681ZE,57,,Ds Israëlstraat,Bemmel
6681ZE,59,,Ds Israëlstraat,Bemmel
6681ZE,61,,Ds Israëlstraat,Bemmel
6681ZE,63,,Ds Israëlstraat,Bemmel
6681ZE,65,,Ds Israëlstraat,Bemmel
6681ZE,67,,Ds Israëlstraat,Bemmel
6681ZE,69,,Ds Israëlstraat,Bemmel
6681ZE,71,,Ds Israëlstraat,Bemmel
6681ZE,73,,Ds Israëlstraat,Bemmel
6681ZE,75,,Ds Israëlstraat,Bemmel
6681ZG,85,,Ds Israëlstraat,Bemmel
6681ZG,87,,Ds Israëlstraat,Bemmel
6681ZG,89,,Ds Israëlstraat,Bemmel
6681ZG,91,,Ds Israëlstraat,Bemmel
6681ZG,93,,Ds Israëlstraat,Bemmel
6681ZG,97,,Ds Israëlstraat,Bemmel
6681ZG,99,,Ds Israëlstraat,Bemmel
6681ZG,101,,Ds Israëlstraat,Bemmel
6681ZG,103,,Ds Israëlstraat,Bemmel
6687LH,7,,Ds Talmastraat,Angeren
6687LH,8,,Ds Talmastraat,Angeren
6687LH,9,,Ds Talmastraat,Angeren
6687LH,10,,Ds Talmastraat,Angeren
6687LH,11,,Ds Talmastraat,Angeren
6687LH,12,,Ds Talmastraat,Angeren
6687LH,13,,Ds Talmastraat,Angeren
6687LH,14,,Ds Talmastraat,Angeren
6687LH,15,,Ds Talmastraat,Angeren
6687LP,1,,Duimeling,Angeren
6687LP,2,,Duimeling,Angeren
6687LP,3,,Duimeling,Angeren
6687LP,5,,Duimeling,Angeren
6687LP,6,,Duimeling,Angeren
6687LP,7,,Duimeling,Angeren
6687LP,8,,Duimeling,Angeren
6687LP,9,,Duimeling,Angeren
6687LZ,11,,Duimeling,Angeren
6687LZ,13,,Duimeling,Angeren
6687LZ,15,,Duimeling,Angeren
6687LZ,17,,Duimeling,Angeren
6687LZ,19,,Duimeling,Angeren
6687LZ,21,,Duimeling,Angeren
6686CS,1,,Duisterestraat,Doornenburg
6686CT,2,,Duisterestraat,Doornenburg
6686CS,3,,Duisterestraat,Doornenburg
6686CT,4,,Duisterestraat,Doornenburg
6686CS,5,,Duisterestraat,Doornenburg
6851LR,5,,Duisterestraat,Huissen
6686CT,6,,Duisterestraat,Doornenburg
6851LS,6,,Duisterestraat,Huissen
6851LR,7,,Duisterestraat,Huissen
6686CS,7,,Duisterestraat,Doornenburg
6686CT,8,,Duisterestraat,Doornenburg
6851LS,8,,Duisterestraat,Huissen
6686CS,9,,Duisterestraat,Doornenburg
6851LR,9,,Duisterestraat,Huissen
6686CT,10,,Duisterestraat,Doornenburg
6851LS,10,,Duisterestraat,Huissen
6686CS,11,,Duisterestraat,Doornenburg
6851LR,11,,Duisterestraat,Huissen
6686CT,12,,Duisterestraat,Doornenburg
6851LS,12,,Duisterestraat,Huissen
6686CS,13,,Duisterestraat,Doornenburg
6851LR,13,,Duisterestraat,Huissen
6686CT,14,,Duisterestraat,Doornenburg
6851LS,14,,Duisterestraat,Huissen
6686CS,15,,Duisterestraat,Doornenburg
6851LR,15,,Duisterestraat,Huissen
6851LS,16,,Duisterestraat,Huissen
6686CT,16,,Duisterestraat,Doornenburg
6686CS,17,,Duisterestraat,Doornenburg
6851LR,17,,Duisterestraat,Huissen
6686CT,18,,Duisterestraat,Doornenburg
6686CS,19,,Duisterestraat,Doornenburg
6851LR,19,,Duisterestraat,Huissen
6686CT,20,,Duisterestraat,Doornenburg
6686CS,21,,Duisterestraat,Doornenburg
6851LR,21,,Duisterestraat,Huissen
6686CT,22,,Duisterestraat,Doornenburg
6686CS,23,,Duisterestraat,Doornenburg
6686CT,24,,Duisterestraat,Doornenburg
6686CS,25,,Duisterestraat,Doornenburg
6851LR,25,,Duisterestraat,Huissen
6686CV,26,,Duisterestraat,Doornenburg
6686CS,27,,Duisterestraat,Doornenburg
6686CV,28,,Duisterestraat,Doornenburg
6686CS,29,,Duisterestraat,Doornenburg
6686CV,30,,Duisterestraat,Doornenburg
6686CV,32,,Duisterestraat,Doornenburg
6686CV,34,,Duisterestraat,Doornenburg
6686CS,35,,Duisterestraat,Doornenburg
6686CS,37,,Duisterestraat,Doornenburg
6686CV,38,,Duisterestraat,Doornenburg
6686CV,40,,Duisterestraat,Doornenburg
6686CS,41,,Duisterestraat,Doornenburg
6686CS,43,,Duisterestraat,Doornenburg
6686CV,46,,Duisterestraat,Doornenburg
6852MA,1,,Dullert,Huissen
6852MD,2,,Dullert,Huissen
6852MA,3,,Dullert,Huissen
6852MD,4,,Dullert,Huissen
6852MA,5,,Dullert,Huissen
6852MD,6,,Dullert,Huissen
6852MA,7,,Dullert,Huissen
6852MD,8,,Dullert,Huissen
6852MA,9,,Dullert,Huissen
6852MD,10,,Dullert,Huissen
6852MA,11,,Dullert,Huissen
6852MD,12,,Dullert,Huissen
6852MA,13,,Dullert,Huissen
6852MD,14,,Dullert,Huissen
6852MA,15,,Dullert,Huissen
6852MD,16,,Dullert,Huissen
6852MA,17,,Dullert,Huissen
6852MD,18,,Dullert,Huissen
6852MA,19,,Dullert,Huissen
6852MD,20,,Dullert,Huissen
6852MA,21,,Dullert,Huissen
6852MD,22,,Dullert,Huissen
6852MA,23,,Dullert,Huissen
6852MD,24,,Dullert,Huissen
6852MA,25,,Dullert,Huissen
6852MD,26,,Dullert,Huissen
6852MA,27,,Dullert,Huissen
6852MD,28,,Dullert,Huissen
6852MA,29,,Dullert,Huissen
6852MD,30,,Dullert,Huissen
6852MA,31,,Dullert,Huissen
6852ME,32,,Dullert,Huissen
6852MA,33,,Dullert,Huissen
6852ME,34,,Dullert,Huissen
6852MA,35,,Dullert,Huissen
6852ME,36,,Dullert,Huissen
6852MB,37,,Dullert,Huissen
6852ME,38,,Dullert,Huissen
6852MB,39,,Dullert,Huissen
6852ME,40,,Dullert,Huissen
6852MB,41,,Dullert,Huissen
6852ME,42,,Dullert,Huissen
6852MB,43,,Dullert,Huissen
6852ME,44,,Dullert,Huissen
6852MB,45,,Dullert,Huissen
6852ME,46,,Dullert,Huissen
6852MB,47,,Dullert,Huissen
6852ME,48,,Dullert,Huissen
6852MB,49,,Dullert,Huissen
6852ME,50,,Dullert,Huissen
6852MB,51,,Dullert,Huissen
6852ME,52,,Dullert,Huissen
6852MB,53,,Dullert,Huissen
6852ME,54,,Dullert,Huissen
6852MB,55,,Dullert,Huissen
6852ME,56,,Dullert,Huissen
6852MB,57,,Dullert,Huissen
6852ME,58,,Dullert,Huissen
6852MB,59,,Dullert,Huissen
6852ME,60,,Dullert,Huissen
6852MB,61,,Dullert,Huissen
6852ME,62,,Dullert,Huissen
6852MB,63,,Dullert,Huissen
6852ME,64,,Dullert,Huissen
6852MB,65,,Dullert,Huissen
6852ME,66,,Dullert,Huissen
6852MC,67,,Dullert,Huissen
6852ME,68,,Dullert,Huissen
6852MC,69,,Dullert,Huissen
6852ME,70,,Dullert,Huissen
6852MC,71,,Dullert,Huissen
6852ME,72,,Dullert,Huissen
6852MC,73,,Dullert,Huissen
6852MC,75,,Dullert,Huissen
6852MC,77,,Dullert,Huissen
6852MC,79,,Dullert,Huissen
6852MC,81,,Dullert,Huissen
6852MC,83,,Dullert,Huissen
6852MC,85,,Dullert,Huissen
6852MC,87,,Dullert,Huissen
6852MC,89,,Dullert,Huissen
6852MC,91,,Dullert,Huissen
6852MC,93,,Dullert,Huissen
6852MC,95,,Dullert,Huissen
6852MC,97,,Dullert,Huissen
6852MC,99,,Dullert,Huissen
6852MC,101,,Dullert,Huissen
6852MC,103,,Dullert,Huissen
6852MC,105,,Dullert,Huissen
6852MC,107,,Dullert,Huissen
6852MC,109,,Dullert,Huissen
6852MC,111,,Dullert,Huissen
6852MC,113,,Dullert,Huissen
6852MC,115,,Dullert,Huissen
6852MC,117,,Dullert,Huissen
6852MC,119,,Dullert,Huissen
6852MC,121,,Dullert,Huissen
6852MC,123,,Dullert,Huissen
6852MC,125,,Dullert,Huissen
6852MC,127,,Dullert,Huissen
6852MC,129,,Dullert,Huissen
