6021BW,9,,Jan van Brabantstraat,Budel
6021BP,1,,Jan van Schoonvorststraat,Budel
6021BP,3,,Jan van Schoonvorststraat,Budel
6021BP,5,,Jan van Schoonvorststraat,Budel
6021BP,7,,Jan van Schoonvorststraat,Budel
6021BP,9,,Jan van Schoonvorststraat,Budel
6021BP,11,,Jan van Schoonvorststraat,Budel
6021BP,12,,Jan van Schoonvorststraat,Budel
6021BP,13,,Jan van Schoonvorststraat,Budel
6021BP,14,,Jan van Schoonvorststraat,Budel
6021BP,16,,Jan van Schoonvorststraat,Budel
6021BP,18,,Jan van Schoonvorststraat,Budel
6021BP,20,,Jan van Schoonvorststraat,Budel
6021BP,22,,Jan van Schoonvorststraat,Budel
6021BP,24,,Jan van Schoonvorststraat,Budel
6021BP,26,,Jan van Schoonvorststraat,Budel
6023BS,1,,Jan Zandvlietstraat,Budel-Schoot
6023BS,3,,Jan Zandvlietstraat,Budel-Schoot
6023BS,5,,Jan Zandvlietstraat,Budel-Schoot
6023BS,7,,Jan Zandvlietstraat,Budel-Schoot
6023BS,9,,Jan Zandvlietstraat,Budel-Schoot
6023BS,11,,Jan Zandvlietstraat,Budel-Schoot
6023BS,13,,Jan Zandvlietstraat,Budel-Schoot
6023BS,15,,Jan Zandvlietstraat,Budel-Schoot
6026BG,1,,Jasmijnstraat,Maarheeze
6026BH,2,,Jasmijnstraat,Maarheeze
6026BG,3,,Jasmijnstraat,Maarheeze
6026BH,4,,Jasmijnstraat,Maarheeze
6026BG,5,,Jasmijnstraat,Maarheeze
6026BH,6,,Jasmijnstraat,Maarheeze
6026BG,7,,Jasmijnstraat,Maarheeze
6026BH,8,,Jasmijnstraat,Maarheeze
6026BG,9,,Jasmijnstraat,Maarheeze
6026BH,10,,Jasmijnstraat,Maarheeze
6026BG,11,,Jasmijnstraat,Maarheeze
6026BH,12,,Jasmijnstraat,Maarheeze
6026BG,13,,Jasmijnstraat,Maarheeze
6026BH,14,,Jasmijnstraat,Maarheeze
6026BG,15,,Jasmijnstraat,Maarheeze
6026BH,16,,Jasmijnstraat,Maarheeze
6026BG,17,,Jasmijnstraat,Maarheeze
6026BH,18,,Jasmijnstraat,Maarheeze
6026BG,19,,Jasmijnstraat,Maarheeze
6026BH,20,,Jasmijnstraat,Maarheeze
6026BG,21,,Jasmijnstraat,Maarheeze
6026BH,22,,Jasmijnstraat,Maarheeze
6026BG,23,,Jasmijnstraat,Maarheeze
6026BH,24,,Jasmijnstraat,Maarheeze
6026BG,25,,Jasmijnstraat,Maarheeze
6026BH,26,,Jasmijnstraat,Maarheeze
6026BG,27,,Jasmijnstraat,Maarheeze
6021KP,1,,Jeroen Boschlaan,Budel
6021KP,2,,Jeroen Boschlaan,Budel
6021KP,3,,Jeroen Boschlaan,Budel
6021KP,5,,Jeroen Boschlaan,Budel
6021KP,7,,Jeroen Boschlaan,Budel
6021KP,9,,Jeroen Boschlaan,Budel
6023CJ,1,,Johan van Seggelenstraat,Budel-Schoot
6023CK,2,,Johan van Seggelenstraat,Budel-Schoot
6023CJ,3,,Johan van Seggelenstraat,Budel-Schoot
6023CK,4,,Johan van Seggelenstraat,Budel-Schoot
6023CJ,5,,Johan van Seggelenstraat,Budel-Schoot
6023CK,6,,Johan van Seggelenstraat,Budel-Schoot
6023CJ,7,,Johan van Seggelenstraat,Budel-Schoot
6023CK,8,,Johan van Seggelenstraat,Budel-Schoot
6023CJ,9,,Johan van Seggelenstraat,Budel-Schoot
6023CK,10,,Johan van Seggelenstraat,Budel-Schoot
6023CJ,11,,Johan van Seggelenstraat,Budel-Schoot
6023CK,12,,Johan van Seggelenstraat,Budel-Schoot
6023CJ,13,,Johan van Seggelenstraat,Budel-Schoot
6023CK,14,,Johan van Seggelenstraat,Budel-Schoot
6023CJ,15,,Johan van Seggelenstraat,Budel-Schoot
6023CK,16,,Johan van Seggelenstraat,Budel-Schoot
6023CJ,17,,Johan van Seggelenstraat,Budel-Schoot
6023CK,18,,Johan van Seggelenstraat,Budel-Schoot
6023CJ,19,,Johan van Seggelenstraat,Budel-Schoot
6023CK,20,,Johan van Seggelenstraat,Budel-Schoot
6023CJ,21,,Johan van Seggelenstraat,Budel-Schoot
6023CJ,23,,Johan van Seggelenstraat,Budel-Schoot
6023CK,24,,Johan van Seggelenstraat,Budel-Schoot
6023CJ,25,,Johan van Seggelenstraat,Budel-Schoot
6023CK,26,,Johan van Seggelenstraat,Budel-Schoot
6023CJ,27,,Johan van Seggelenstraat,Budel-Schoot
6023CK,28,,Johan van Seggelenstraat,Budel-Schoot
6023CJ,29,,Johan van Seggelenstraat,Budel-Schoot
6023CK,30,,Johan van Seggelenstraat,Budel-Schoot
6023CJ,31,,Johan van Seggelenstraat,Budel-Schoot
6026EL,2,,Julianalaan,Maarheeze
6026EL,3,,Julianalaan,Maarheeze
6026EL,4,,Julianalaan,Maarheeze
6026EL,5,,Julianalaan,Maarheeze
6026EL,6,,Julianalaan,Maarheeze
6026EL,7,,Julianalaan,Maarheeze
6026EL,8,,Julianalaan,Maarheeze
6026EL,9,,Julianalaan,Maarheeze
6026EL,10,,Julianalaan,Maarheeze
6026EL,11,,Julianalaan,Maarheeze
6026EL,12,,Julianalaan,Maarheeze
6026EL,13,,Julianalaan,Maarheeze
6026EL,14,,Julianalaan,Maarheeze
6026EL,15,,Julianalaan,Maarheeze
6026EL,17,,Julianalaan,Maarheeze
6026RD,1,,Kalberg,Maarheeze
6026RD,3,,Kalberg,Maarheeze
6026SH,2,,Kamersven,Maarheeze
6026SH,4,,Kamersven,Maarheeze
6026SH,6,,Kamersven,Maarheeze
6026SH,8,,Kamersven,Maarheeze
6026SH,10,,Kamersven,Maarheeze
6021MR,1,,Kapelstraat,Budel
6021MR,2,,Kapelstraat,Budel
6021MR,6,,Kapelstraat,Budel
6021MR,8,,Kapelstraat,Budel
6021VX,1,,Kardinaal de Jongstraat,Budel
6021VX,2,,Kardinaal de Jongstraat,Budel
6021VX,3,,Kardinaal de Jongstraat,Budel
6021VX,4,,Kardinaal de Jongstraat,Budel
6021VX,5,,Kardinaal de Jongstraat,Budel
6021VX,6,,Kardinaal de Jongstraat,Budel
6021VX,7,,Kardinaal de Jongstraat,Budel
6021VX,8,,Kardinaal de Jongstraat,Budel
6021VX,9,,Kardinaal de Jongstraat,Budel
6021VX,10,,Kardinaal de Jongstraat,Budel
6021VX,11,,Kardinaal de Jongstraat,Budel
6021VX,12,,Kardinaal de Jongstraat,Budel
6021VX,13,,Kardinaal de Jongstraat,Budel
6021VX,14,,Kardinaal de Jongstraat,Budel
6021VX,15,,Kardinaal de Jongstraat,Budel
6021VX,16,,Kardinaal de Jongstraat,Budel
6021VX,17,,Kardinaal de Jongstraat,Budel
6021VX,18,,Kardinaal de Jongstraat,Budel
6021VX,19,,Kardinaal de Jongstraat,Budel
6021VX,21,,Kardinaal de Jongstraat,Budel
6021VX,23,,Kardinaal de Jongstraat,Budel
6021VX,25,,Kardinaal de Jongstraat,Budel
6021VX,27,,Kardinaal de Jongstraat,Budel
6021VX,29,,Kardinaal de Jongstraat,Budel
6021VX,31,,Kardinaal de Jongstraat,Budel
6021VR,2,,Karel V laan,Budel
6021VR,4,,Karel V laan,Budel
6021VR,6,,Karel V laan,Budel
6021VR,8,,Karel V laan,Budel
6021VR,10,,Karel V laan,Budel
6021VR,12,,Karel V laan,Budel
6021VR,14,,Karel V laan,Budel
6021VR,16,,Karel V laan,Budel
6021VR,18,,Karel V laan,Budel
6021VR,20,,Karel V laan,Budel
6021VR,22,,Karel V laan,Budel
6021VR,24,,Karel V laan,Budel
6021VR,26,,Karel V laan,Budel
6021VR,28,,Karel V laan,Budel
6021VR,36,,Karel V laan,Budel
6021VR,38,,Karel V laan,Budel
6021VR,40,,Karel V laan,Budel
6021VR,42,,Karel V laan,Budel
6023CH,1,,Kees Kappersstraat,Budel-Schoot
6023CH,2,,Kees Kappersstraat,Budel-Schoot
6023CH,3,,Kees Kappersstraat,Budel-Schoot
6023CH,4,,Kees Kappersstraat,Budel-Schoot
6023CH,5,,Kees Kappersstraat,Budel-Schoot
6023CH,6,,Kees Kappersstraat,Budel-Schoot
6023CH,7,,Kees Kappersstraat,Budel-Schoot
6023CH,8,,Kees Kappersstraat,Budel-Schoot
6023CH,9,,Kees Kappersstraat,Budel-Schoot
6023CH,10,,Kees Kappersstraat,Budel-Schoot
6023CH,11,,Kees Kappersstraat,Budel-Schoot
6023CH,12,,Kees Kappersstraat,Budel-Schoot
6023CH,13,,Kees Kappersstraat,Budel-Schoot
6023CH,14,,Kees Kappersstraat,Budel-Schoot
6023CH,15,,Kees Kappersstraat,Budel-Schoot
6023CH,16,,Kees Kappersstraat,Budel-Schoot
6023CH,17,,Kees Kappersstraat,Budel-Schoot
6023CH,18,,Kees Kappersstraat,Budel-Schoot
6023CH,19,,Kees Kappersstraat,Budel-Schoot
6023CH,20,,Kees Kappersstraat,Budel-Schoot
6023CH,21,,Kees Kappersstraat,Budel-Schoot
6023CH,23,,Kees Kappersstraat,Budel-Schoot
6023CH,25,,Kees Kappersstraat,Budel-Schoot
6023CH,27,,Kees Kappersstraat,Budel-Schoot
6021BX,1,,Keizer Ottostraat,Budel
6021BX,3,,Keizer Ottostraat,Budel
6021BX,4,,Keizer Ottostraat,Budel
6021BX,5,,Keizer Ottostraat,Budel
6021BX,6,,Keizer Ottostraat,Budel
6021BX,7,,Keizer Ottostraat,Budel
6021BX,8,,Keizer Ottostraat,Budel
6021BX,9,,Keizer Ottostraat,Budel
6021BX,10,,Keizer Ottostraat,Budel
6021BX,11,,Keizer Ottostraat,Budel
6021BX,12,,Keizer Ottostraat,Budel
6021BX,13,,Keizer Ottostraat,Budel
6021BX,14,,Keizer Ottostraat,Budel
6021BX,15,,Keizer Ottostraat,Budel
6021BX,16,,Keizer Ottostraat,Budel
6021BX,17,,Keizer Ottostraat,Budel
6021BX,18,,Keizer Ottostraat,Budel
6021BX,20,,Keizer Ottostraat,Budel
6021JD,1,,Kempenlandstraat,Budel
6021JE,2,,Kempenlandstraat,Budel
6021JD,3,,Kempenlandstraat,Budel
6021JE,4,,Kempenlandstraat,Budel
6021JD,5,,Kempenlandstraat,Budel
6021JE,6,,Kempenlandstraat,Budel
6021JD,7,,Kempenlandstraat,Budel
6021JE,8,,Kempenlandstraat,Budel
6021JD,9,,Kempenlandstraat,Budel
6021JE,10,,Kempenlandstraat,Budel
6021JD,11,,Kempenlandstraat,Budel
6021JE,12,,Kempenlandstraat,Budel
6021JD,13,,Kempenlandstraat,Budel
6021JE,14,,Kempenlandstraat,Budel
6021JD,15,,Kempenlandstraat,Budel
6021JE,16,,Kempenlandstraat,Budel
6021JD,17,,Kempenlandstraat,Budel
6021JE,18,,Kempenlandstraat,Budel
6021JD,19,,Kempenlandstraat,Budel
6021JE,20,,Kempenlandstraat,Budel
6026EP,2,,Kemphaan,Maarheeze
6026EP,4,,Kemphaan,Maarheeze
6026EP,6,,Kemphaan,Maarheeze
6024BH,202,,Kerkplein,Budel-Dorplein
6024BH,204,,Kerkplein,Budel-Dorplein
6024BH,206,,Kerkplein,Budel-Dorplein
6026RT,1,,Kerkstraat,Maarheeze
6026RV,2,,Kerkstraat,Maarheeze
6026RT,3,,Kerkstraat,Maarheeze
6026RV,4,,Kerkstraat,Maarheeze
6026RT,5,,Kerkstraat,Maarheeze
6026RV,6,,Kerkstraat,Maarheeze
6026RT,7,,Kerkstraat,Maarheeze
6026RV,8,,Kerkstraat,Maarheeze
6026RT,9,,Kerkstraat,Maarheeze
6026RT,11,,Kerkstraat,Maarheeze
6026RT,13,,Kerkstraat,Maarheeze
6026RT,15,,Kerkstraat,Maarheeze
6026RT,17,,Kerkstraat,Maarheeze
6026RT,19,,Kerkstraat,Maarheeze
6026RV,20,,Kerkstraat,Maarheeze
6026RV,22,,Kerkstraat,Maarheeze
6026RV,24,,Kerkstraat,Maarheeze
6026RV,26,,Kerkstraat,Maarheeze
