4513AB,18,,Havenstraat,Hoofdplaat
4501PS,13,014,Transportweg,Oostburg
4501PS,13,004,Transportweg,Oostburg
4501PS,17,,Transportweg,Oostburg
4511DB,11,102,Port Scaldis,Breskens
4511DB,11,062,Port Scaldis,Breskens
4511DB,13,042,Port Scaldis,Breskens
4525NT,78,,Spaanse Galeien,Retranchement
4525NT,86,,Spaanse Galeien,Retranchement
4525NT,93,,Spaanse Galeien,Retranchement
4501AA,15,,'t Schuttebocht,Oostburg
4501AA,23,,'t Schuttebocht,Oostburg
4501KC,5,,'t Vestje,Oostburg
4501JH,26,,Walstraat,Oostburg
4511CD,45,,Philips van Kleefstraat,Breskens
4511CG,52,,Philips van Kleefstraat,Breskens
4511CD,57,,Philips van Kleefstraat,Breskens
4503BC,1,,Slijkstraat,Groede
4503BC,14,,Slijkstraat,Groede
4515AH,11,,Slijpstraat,IJzendijke
4527GD,18,,Paardenmarkt,Aardenburg
4501GR,24,,Pallas,Oostburg
4515AZ,8,,Papenmuts,IJzendijke
4501JM,4,,Volderstraat,Oostburg
4504AL,6,,Prinses Wilhelminastraat,Nieuwvliet
4504AL,45,,Prinses Wilhelminastraat,Nieuwvliet
4515CN,2,,Tivoli,IJzendijke
4506KC,21,,Vuurdoornstraat,Cadzand
4503AD,7,,Walenstraat,Groede
4501GP,141,,Poolster,Oostburg
4501GN,162,,Poolster,Oostburg
4515GC,6,,Parmastraat,IJzendijke
4513AV,32,,Pastoor J.A.M. van den Muijsenbergstraat,Hoofdplaat
4506AH,20,,Prinsestraat,Cadzand
4511HV,313,,Schoneveld,Breskens
4515AC,2,,Walplein,IJzendijke
4507BT,51,,Rembrandt van Rijnstraat,Schoondijke
4527BE,20,,Romanlaan,Aardenburg
4515BN,1,,Rozemarijnstraat,IJzendijke
4513KB,13,,Oostlangeweg,Hoofdplaat
4515NA,31,,Oranjedijk,IJzendijke
4511HV,385,,Schoneveld,Breskens
4507JZ,3,,Statendijk,Schoondijke
4506KR,4,,Sincfal,Cadzand
4524JM,9,,Singel,Sluis
4528EE,10,,Sint Pietersdijk,Sint Kruis
4524AG,15,,St. Pieterstraat,Sluis
4527HC,8,,Sint Sebastiaanstraat,Aardenburg
4513AT,67,G7,Pastoor J.A.M. van den Muijsenbergstraat,Hoofdplaat
4501AJ,6,,Pastoor van Genklaan,Oostburg
4501GS,13,,Steenbok,Oostburg
4511BL,4,,Steenoven,Breskens
4503BH,7,,Voorstraat,Groede
4529PT,1,,Tol,Eede
4507AC,25,,van der Slikkestraat,Schoondijke
4501KT,2,,van Ostadestraat,Oostburg
4515CA,6,,Oranjestraat,IJzendijke
4515CA,60,,Oranjestraat,IJzendijke
4503BJ,18,,Voorstraat,Groede
4503BJ,40,,Voorstraat,Groede
4503BK,70,,Voorstraat,Groede
4511RB,3,004,Promenade,Breskens
4507JD,9,G1,Tragel West,Schoondijke
4527BK,45,,Peurssensstraat,Aardenburg
4511DA,1,071,Port Scaldis,Breskens
4511DA,3,002,Port Scaldis,Breskens
4511DA,5,011,Port Scaldis,Breskens
4501GE,19,,Orion,Oostburg
4501GG,50,G5,Orion,Oostburg
4501PA,34,,Oude Haven,Oostburg
4503GD,19,,Provincialeweg,Groede
4501JN,8,G2,Schoolstraat,Oostburg
4511CC,11,,Philips van Kleefstraat,Breskens
4524BS,6,,Ridderstraat,Sluis
4524BS,34,,Ridderstraat,Sluis
4527JA,3,,Zuttermanstraat,Aardenburg
4506JH,7,3,Boulevard de Wielingen,Cadzand
4506JH,7,4,Boulevard de Wielingen,Cadzand
4506JH,7,5,Boulevard de Wielingen,Cadzand
4506JH,7,6,Boulevard de Wielingen,Cadzand
4506JH,7,7,Boulevard de Wielingen,Cadzand
4506JH,7,8,Boulevard de Wielingen,Cadzand
4506JH,7,9,Boulevard de Wielingen,Cadzand
4506JH,7,10,Boulevard de Wielingen,Cadzand
4506JH,7,11,Boulevard de Wielingen,Cadzand
4506JH,7,12,Boulevard de Wielingen,Cadzand
4506JH,7,13,Boulevard de Wielingen,Cadzand
4506JH,7,15,Boulevard de Wielingen,Cadzand
4506JH,7,16,Boulevard de Wielingen,Cadzand
4506JH,7,17,Boulevard de Wielingen,Cadzand
4506JH,7,18,Boulevard de Wielingen,Cadzand
4506JH,7,19,Boulevard de Wielingen,Cadzand
4506JH,7,20,Boulevard de Wielingen,Cadzand
4506JH,7,21,Boulevard de Wielingen,Cadzand
4506JH,7,22,Boulevard de Wielingen,Cadzand
4506JH,7,23,Boulevard de Wielingen,Cadzand
4506JH,7,24,Boulevard de Wielingen,Cadzand
4506JH,7,25,Boulevard de Wielingen,Cadzand
4506JH,7,26,Boulevard de Wielingen,Cadzand
4506JH,7,27,Boulevard de Wielingen,Cadzand
4506JH,7,28,Boulevard de Wielingen,Cadzand
4506JH,7,30,Boulevard de Wielingen,Cadzand
4506JH,7,31,Boulevard de Wielingen,Cadzand
4506JH,7,32,Boulevard de Wielingen,Cadzand
4506JH,7,33,Boulevard de Wielingen,Cadzand
4506JH,7,34,Boulevard de Wielingen,Cadzand
4506GA,6,,Stijn Albregtsstraat,Cadzand
4511RC,1,101,Kaai,Breskens
4511RC,2,102,Kaai,Breskens
4511RC,3,103,Kaai,Breskens
4506JL,63,,Boulevard de Wielingen,Cadzand
4506AA,2,T,Erasmusweg,Cadzand
4511CM,3,,Glacispad,Breskens
4501HL,6,,Tragelweg,Oostburg
4501AH,2,P,Pastoor van Genklaan,Oostburg
4524CA,1,P,Lange Wolstraat,Sluis
4524AD,58,PK,Hoogstraat,Sluis
4515SB,22,,Watervlietseweg,IJzendijke
4515SB,24,,Watervlietseweg,IJzendijke
4515SB,28,,Watervlietseweg,IJzendijke
4515SB,30,,Watervlietseweg,IJzendijke
4515SB,34,,Watervlietseweg,IJzendijke
4515SB,36,,Watervlietseweg,IJzendijke
4511RN,112,042,Langeweg,Breskens
4506JW,1,,Leeuwerikenlaan,Cadzand
4504RM,4,,Lepelblad,Nieuwvliet
4504RM,10,,Lepelblad,Nieuwvliet
4506AR,4,G2,Koolsweg,Cadzand
