5388EC,24,,Hoogstraat,Nistelrode
5388PH,13,,Dijkstraat,Nistelrode
5388BZ,24,,Blauwesteenweg,Nistelrode
5388CN,1,,Het Erp,Nistelrode
5388VX,16,,Plattedel,Nistelrode
5388VX,20,,Plattedel,Nistelrode
5388XB,42,,Kantje,Nistelrode
5388VA,1,,Piet Geersdijk,Nistelrode
5388EG,8,,Delst,Nistelrode
5388AG,2,,Kerkhoflaan,Nistelrode
5388EG,11,,Delst,Nistelrode
5388EG,9,,Delst,Nistelrode
5388BR,12,,Wevershof,Nistelrode
5388TE,7,,Nieuwlandsesteeg,Nistelrode
5388SG,5,,Palmenweg,Nistelrode
5388SG,6,,Palmenweg,Nistelrode
5388HV,9,,Toniesplein,Nistelrode
5388HN,14,,Weijen,Nistelrode
5476VG,4,,Bosweg,Vorstenbosch
5388SG,9,,Palmenweg,Nistelrode
5388HN,20,,Weijen,Nistelrode
5388HN,26,,Weijen,Nistelrode
5388SG,13,,Palmenweg,Nistelrode
5388GE,11,,Tramstraat,Nistelrode
5388HP,40,,Weijen,Nistelrode
5388TH,7,,Udenseweg,Nistelrode
5388HP,42,,Weijen,Nistelrode
5476VX,5,,Derptweg,Vorstenbosch
5388CL,2,,Urnenveld,Nistelrode
5388HP,46,,Weijen,Nistelrode
5476VX,11,,Derptweg,Vorstenbosch
5388CL,4,,Urnenveld,Nistelrode
5388HM,67,,Weijen,Nistelrode
5388SM,39,,Veldweg,Nistelrode
5388CG,26,,Kerkveld,Nistelrode
5388HR,88,,Weijen,Nistelrode
5476KL,6,,Eggerlaan,Vorstenbosch
5476KC,6,,Kerkstraat,Vorstenbosch
5388VT,5,,Grote Heide,Nistelrode
5388CG,16,,Kerkveld,Nistelrode
5388CG,18,,Kerkveld,Nistelrode
5388CG,20,,Kerkveld,Nistelrode
5388CG,22,,Kerkveld,Nistelrode
5388CG,24,,Kerkveld,Nistelrode
5476KG,3,,Heuvel,Vorstenbosch
5388CG,28,,Kerkveld,Nistelrode
5388CG,30,,Kerkveld,Nistelrode
5388CG,32,,Kerkveld,Nistelrode
5388CG,34,,Kerkveld,Nistelrode
5388CG,36,,Kerkveld,Nistelrode
5388CG,38,,Kerkveld,Nistelrode
5476KG,8,,Heuvel,Vorstenbosch
5388CG,40,,Kerkveld,Nistelrode
5388CG,42,,Kerkveld,Nistelrode
5476LZ,57,,Binnenveld,Vorstenbosch
5476LD,6,,Peelstraat,Vorstenbosch
5476VS,1,,Rietdijk,Vorstenbosch
5476VS,15,,Rietdijk,Vorstenbosch
5476KB,41,,Kerkstraat,Vorstenbosch
5476VS,17,,Rietdijk,Vorstenbosch
5476KT,2,,Hondstraat,Vorstenbosch
5476VD,10,,Leeghandseweg,Vorstenbosch
5388RH,48,,Kerkveld,Nistelrode
5388RH,50,,Kerkveld,Nistelrode
5476VD,12,,Leeghandseweg,Vorstenbosch
5476VD,14,,Leeghandseweg,Vorstenbosch
5476VJ,4,,Nistelrodesedijk,Vorstenbosch
5476VJ,6,,Nistelrodesedijk,Vorstenbosch
5476VJ,8,,Nistelrodesedijk,Vorstenbosch
5476VJ,10,,Nistelrodesedijk,Vorstenbosch
5388VT,16,,Grote Heide,Nistelrode
5476VJ,5,,Nistelrodesedijk,Vorstenbosch
5476VJ,7,,Nistelrodesedijk,Vorstenbosch
5476VJ,9,,Nistelrodesedijk,Vorstenbosch
5476VJ,11,,Nistelrodesedijk,Vorstenbosch
5476VP,1,,Lendersgat,Vorstenbosch
5388VG,30,,Dintherseweg,Nistelrode
