5473XS,1,,Krommertsweg,Heeswijk-Dinther
5473XP,2,,Kruisstraat,Heeswijk-Dinther
5473AL,1,,Kunerastraat,Heeswijk-Dinther
5473AL,2,,Kunerastraat,Heeswijk-Dinther
5473AL,3,,Kunerastraat,Heeswijk-Dinther
5473AL,4,,Kunerastraat,Heeswijk-Dinther
5473AL,5,,Kunerastraat,Heeswijk-Dinther
5473AL,6,,Kunerastraat,Heeswijk-Dinther
5473AL,7,,Kunerastraat,Heeswijk-Dinther
5473AL,8,,Kunerastraat,Heeswijk-Dinther
5473AL,9,,Kunerastraat,Heeswijk-Dinther
5473AL,10,,Kunerastraat,Heeswijk-Dinther
5473AL,12,,Kunerastraat,Heeswijk-Dinther
5473AL,14,,Kunerastraat,Heeswijk-Dinther
5473AL,16,,Kunerastraat,Heeswijk-Dinther
5473AL,18,,Kunerastraat,Heeswijk-Dinther
5473AL,20,,Kunerastraat,Heeswijk-Dinther
5473KB,4,,Laag-Beugt,Heeswijk-Dinther
5473KB,5,,Laag-Beugt,Heeswijk-Dinther
5473KB,6,,Laag-Beugt,Heeswijk-Dinther
5473KB,7,,Laag-Beugt,Heeswijk-Dinther
5473KB,8,,Laag-Beugt,Heeswijk-Dinther
5473KB,10,,Laag-Beugt,Heeswijk-Dinther
5473KB,12,,Laag-Beugt,Heeswijk-Dinther
5473KB,14,,Laag-Beugt,Heeswijk-Dinther
5472PA,1,,Laageindsedijk,Loosbroek
5472PA,2,,Laageindsedijk,Loosbroek
5472PA,3,,Laageindsedijk,Loosbroek
5472PA,4,,Laageindsedijk,Loosbroek
5472PA,5,,Laageindsedijk,Loosbroek
5472PA,7,,Laageindsedijk,Loosbroek
5473KG,1,,Lange Kruisdelstraat,Heeswijk-Dinther
5473KG,4,,Lange Kruisdelstraat,Heeswijk-Dinther
5473KG,7,,Lange Kruisdelstraat,Heeswijk-Dinther
5473GS,1,,Langemeijerstraat,Heeswijk-Dinther
5473GS,2,,Langemeijerstraat,Heeswijk-Dinther
5473GS,3,,Langemeijerstraat,Heeswijk-Dinther
5473GS,4,,Langemeijerstraat,Heeswijk-Dinther
5473GS,5,,Langemeijerstraat,Heeswijk-Dinther
5473GS,6,,Langemeijerstraat,Heeswijk-Dinther
5473GS,7,,Langemeijerstraat,Heeswijk-Dinther
5473GS,8,,Langemeijerstraat,Heeswijk-Dinther
5473GS,9,,Langemeijerstraat,Heeswijk-Dinther
5473GS,10,,Langemeijerstraat,Heeswijk-Dinther
5473GS,11,,Langemeijerstraat,Heeswijk-Dinther
5473GS,12,,Langemeijerstraat,Heeswijk-Dinther
5473GS,13,,Langemeijerstraat,Heeswijk-Dinther
5473GS,14,,Langemeijerstraat,Heeswijk-Dinther
5473NM,1,,Langenbergsestraat,Heeswijk-Dinther
5473NM,2,,Langenbergsestraat,Heeswijk-Dinther
5473NM,5,,Langenbergsestraat,Heeswijk-Dinther
5473NM,7,,Langenbergsestraat,Heeswijk-Dinther
5473NM,10,,Langenbergsestraat,Heeswijk-Dinther
5473NM,12,,Langenbergsestraat,Heeswijk-Dinther
5473VL,2,,Lariestraat,Heeswijk-Dinther
