5665ET,168,,Bosrand,Geldrop
5731RA,47,,Broekstraat,Mierlo
5731RB,64,,Broekstraat,Mierlo
5731HH,18,,Brugstraat,Mierlo
5731HH,40,,Brugstraat,Mierlo
5731HJ,62,,Brugstraat,Mierlo
5731SC,3,,Burgemeester Termeerstraat,Mierlo
5731LN,75,,Burgemeester van Lokvenstraat,Mierlo
5731AJ,27,,Burgemeester Verheugtstraat,Mierlo
5731AL,56,,Burgemeester Verheugtstraat,Mierlo
5731JH,95,,Dorpsstraat,Mierlo
5731PG,21,,Bekelaar,Mierlo
5731XM,6,,Spechtlaan,Mierlo
5731AL,54,,Burgemeester Verheugtstraat,Mierlo
5731JK,106,,Dorpsstraat,Mierlo
5731VM,11,,Heer van Rodestraat,Mierlo
5731VM,13,,Heer van Rodestraat,Mierlo
5731VM,15,,Heer van Rodestraat,Mierlo
5731VM,17,,Heer van Rodestraat,Mierlo
5731VM,19,,Heer van Rodestraat,Mierlo
5731VM,1,,Heer van Rodestraat,Mierlo
5731VM,21,,Heer van Rodestraat,Mierlo
5731VM,3,,Heer van Rodestraat,Mierlo
5731VM,5,,Heer van Rodestraat,Mierlo
5731VM,7,,Heer van Rodestraat,Mierlo
5731VM,9,,Heer van Rodestraat,Mierlo
5731EH,87,,Heer van Scherpenzeelweg,Mierlo
5731EH,91,,Heer van Scherpenzeelweg,Mierlo
5731EH,93,,Heer van Scherpenzeelweg,Mierlo
5731EH,95,,Heer van Scherpenzeelweg,Mierlo
5731EH,97,,Heer van Scherpenzeelweg,Mierlo
5731EH,99,,Heer van Scherpenzeelweg,Mierlo
5731EH,101,,Heer van Scherpenzeelweg,Mierlo
5731EH,103,,Heer van Scherpenzeelweg,Mierlo
5731EH,89,,Heer van Scherpenzeelweg,Mierlo
5731PM,7,,Overakker,Mierlo
5731GR,23,,Vesperstraat,Mierlo
5731XX,9,,Boslaan,Mierlo
5731GG,34,,Bisschop van Mierlostraat,Mierlo
5731BR,64,,Margrietstraat,Mierlo
5731VR,101,,Heer van Rodestraat,Mierlo
5731VR,103,,Heer van Rodestraat,Mierlo
5731VR,105,,Heer van Rodestraat,Mierlo
5665SB,13,,Wethouder van Santestraat,Geldrop
5665SB,15,,Wethouder van Santestraat,Geldrop
5665SB,17,,Wethouder van Santestraat,Geldrop
5665SB,19,,Wethouder van Santestraat,Geldrop
5665SB,1,,Wethouder van Santestraat,Geldrop
5665SB,21,,Wethouder van Santestraat,Geldrop
5665SB,23,,Wethouder van Santestraat,Geldrop
5665SB,25,,Wethouder van Santestraat,Geldrop
5665SB,27,,Wethouder van Santestraat,Geldrop
5665SB,3,,Wethouder van Santestraat,Geldrop
5665SB,5,,Wethouder van Santestraat,Geldrop
5665SB,7,,Wethouder van Santestraat,Geldrop
5665SB,9,,Wethouder van Santestraat,Geldrop
5666EH,17,,Witte de Withstraat,Geldrop
5666EH,19,,Witte de Withstraat,Geldrop
5666EH,21,,Witte de Withstraat,Geldrop
5666EH,23,,Witte de Withstraat,Geldrop
5666EH,25,,Witte de Withstraat,Geldrop
