2671GA,31,,Dijkweg,Naaldwijk
2671GC,21,,Rembrandtstraat,Naaldwijk
2671GC,23,,Rembrandtstraat,Naaldwijk
2671GR,2,,Wilhelminaplein,Naaldwijk
2671HX,3,,Herenstraat,Naaldwijk
2671JJ,17,,'s-Gravenzandseweg,Naaldwijk
2671MP,73,,Zuidweg,Naaldwijk
2671MP,75,,Zuidweg,Naaldwijk
2671MP,79,,Zuidweg,Naaldwijk
2671MP,81,,Zuidweg,Naaldwijk
2671MP,83,,Zuidweg,Naaldwijk
2671MP,85,,Zuidweg,Naaldwijk
2671MP,87,,Zuidweg,Naaldwijk
2671MP,89,,Zuidweg,Naaldwijk
2671MP,91,,Zuidweg,Naaldwijk
2671NX,56,,De Tuinen,Naaldwijk
2671NX,63,,De Tuinen,Naaldwijk
2671ZV,1,,Vierschaar,Naaldwijk
2675BR,20,,Veilingweg,Honselersdijk
2675LJ,12,,Broekpolderlaan,Honselersdijk
2675TW,56,,Van der Goesstraat,Honselersdijk
2676CN,22,,De Vierde Hoeve,Maasdijk
2676CN,44,,De Vierde Hoeve,Maasdijk
2676CN,46,,De Vierde Hoeve,Maasdijk
2676CN,48,,De Vierde Hoeve,Maasdijk
2676CN,50,,De Vierde Hoeve,Maasdijk
2676CN,54,,De Vierde Hoeve,Maasdijk
2676CN,58,,De Vierde Hoeve,Maasdijk
2676CN,62,,De Vierde Hoeve,Maasdijk
2676LL,34,,Transportweg,Maasdijk
2676VN,1,,Prinsenlaan,Maasdijk
2676VN,11,,Prinsenlaan,Maasdijk
2678AG,120,,Kijckerweg,De Lier
2678ER,3,,Abel Tasmanlaan,De Lier
2678KC,3,,Leeweg,De Lier
2678KD,3,,Leewerf,De Lier
2678KE,69,,Leeweg,De Lier
2678KK,40,,Hoefweg,De Lier
2681AK,60,,de Masemude,Monster
2681AK,61,,de Masemude,Monster
2681AK,62,,de Masemude,Monster
2681AK,63,,de Masemude,Monster
2681AK,64,,de Masemude,Monster
2681AR,24,,De Kruithoff,Monster
2681DJ,5,,Stationsweg,Monster
2681RV,5,,Stationsweg,Monster
2681EM,2,,Seringenstraat,Monster
2681EM,4,,Seringenstraat,Monster
2681EM,6,,Seringenstraat,Monster
2681EM,8,,Seringenstraat,Monster
2681HB,26,,Nassauplein,Monster
2681LD,33,,Kloosterlaan,Monster
2681TT,1,,Zilvermeeuwstraat,Monster
2681TV,108,,Vlotlaan,Monster
2681VC,69,,Laan van Delfland,Monster
2684VT,21,,Strandweg,Ter Heijde
2685CG,6,,Fonteinstraat,Poeldijk
2691AH,2,,Veilingkade,'s-Gravenzande
2691AL,10,,Gravenstraat,'s-Gravenzande
2691BB,31,,Langestraat,'s-Gravenzande
2691BJ,1,,Koningswerf,'s-Gravenzande
2691BJ,5,,Koningswerf,'s-Gravenzande
2691BJ,6,,Koningswerf,'s-Gravenzande
2691BJ,9,,Koningswerf,'s-Gravenzande
2691BJ,11,,Koningswerf,'s-Gravenzande
2691BJ,12,,Koningswerf,'s-Gravenzande
2691BJ,13,,Koningswerf,'s-Gravenzande
2691BJ,15,,Koningswerf,'s-Gravenzande
2691BJ,18,,Koningswerf,'s-Gravenzande
2691BJ,20,,Koningswerf,'s-Gravenzande
2691BJ,21,,Koningswerf,'s-Gravenzande
2691BJ,22,,Koningswerf,'s-Gravenzande
2691BJ,23,,Koningswerf,'s-Gravenzande
2691BJ,25,,Koningswerf,'s-Gravenzande
2691BJ,26,,Koningswerf,'s-Gravenzande
2691BJ,30,,Koningswerf,'s-Gravenzande
2691BJ,32,,Koningswerf,'s-Gravenzande
2691BJ,34,,Koningswerf,'s-Gravenzande
2691BJ,36,,Koningswerf,'s-Gravenzande
2691BJ,38,,Koningswerf,'s-Gravenzande
2691BV,1,,Marktplein,'s-Gravenzande
2691BW,4,,Pieter Heusstraat,'s-Gravenzande
2691CL,1,,Gravenhof,'s-Gravenzande
2691CL,2,,Gravenhof,'s-Gravenzande
2691CL,6,,Gravenhof,'s-Gravenzande
2691CL,7,,Gravenhof,'s-Gravenzande
