2681BS,20,,Molenstraat,Monster
2671GN,37,,Frederik Hendrikstraat,Naaldwijk
2691MG,38,,Galgeweg,'s-Gravenzande
2671NA,22,TNBW,Sint Jorispad,Naaldwijk
2291EK,1200,,Erasmusweg,Wateringen
2295RV,72,,Bovendijk,Kwintsheul
2295KB,43,1,Heulweg,Kwintsheul
2691SX,2,,Kornalijn,'s-Gravenzande
2691JD,117,BU18,Monsterseweg,'s-Gravenzande
2291GB,33,,Poeldijkseweg,Wateringen
2681SZ,336,,Rijnweg,Monster
2295LG,4,,Kerkstraat,Kwintsheul
2671JS,29,,Koningstraat,Naaldwijk
2691KE,19,,Strandweg,'s-Gravenzande
2691KE,21,,Strandweg,'s-Gravenzande
2691KE,29,,Strandweg,'s-Gravenzande
2691KE,33,,Strandweg,'s-Gravenzande
2675AE,66,,Dijkweg,Honselersdijk
2675KD,35,,Middel Broekweg,Honselersdijk
2675KD,39,1,Middel Broekweg,Honselersdijk
2675KD,39,,Middel Broekweg,Honselersdijk
2675KD,39,2,Middel Broekweg,Honselersdijk
2675LV,159,1,Jupiter,Honselersdijk
2675LV,155,,Jupiter,Honselersdijk
2675LV,159,2,Jupiter,Honselersdijk
2675LV,157,,Jupiter,Honselersdijk
2675LV,159,3,Jupiter,Honselersdijk
2675LV,159,,Jupiter,Honselersdijk
2675LV,201,,Jupiter,Honselersdijk
2675LW,286,,Jupiter,Honselersdijk
2675LN,116,,Venus,Honselersdijk
2675LN,129,,Venus,Honselersdijk
2675LN,149,,Venus,Honselersdijk
2675LN,150,,Venus,Honselersdijk
2675LN,170,,Venus,Honselersdijk
2675LN,240,,Venus,Honselersdijk
2295ND,113,,Hoenderparklaan,Kwintsheul
2295ND,117,,Hoenderparklaan,Kwintsheul
2295NH,100,,Hoenderparklaan,Kwintsheul
2295NH,102,,Hoenderparklaan,Kwintsheul
2295NH,104,,Hoenderparklaan,Kwintsheul
2295NH,106,,Hoenderparklaan,Kwintsheul
2295NH,108,,Hoenderparklaan,Kwintsheul
2295NH,110,,Hoenderparklaan,Kwintsheul
2295NH,112,,Hoenderparklaan,Kwintsheul
2295NH,114,,Hoenderparklaan,Kwintsheul
2295NH,116,,Hoenderparklaan,Kwintsheul
2295NH,120,,Hoenderparklaan,Kwintsheul
2295NH,140,,Hoenderparklaan,Kwintsheul
2295NH,142,,Hoenderparklaan,Kwintsheul
2295NH,146,,Hoenderparklaan,Kwintsheul
2295ND,105,,Hoenderparklaan,Kwintsheul
