6151DD,25,,Leemkuil,Munstergeleen
6151DC,1,,Leerlooierstraat,Munstergeleen
6151DC,2,,Leerlooierstraat,Munstergeleen
6151DC,3,,Leerlooierstraat,Munstergeleen
6151DC,4,,Leerlooierstraat,Munstergeleen
6151DC,5,,Leerlooierstraat,Munstergeleen
6151DC,6,,Leerlooierstraat,Munstergeleen
6151DC,7,,Leerlooierstraat,Munstergeleen
6151DC,8,,Leerlooierstraat,Munstergeleen
6151DC,9,,Leerlooierstraat,Munstergeleen
6151DC,10,,Leerlooierstraat,Munstergeleen
6151DC,11,,Leerlooierstraat,Munstergeleen
6151DC,12,,Leerlooierstraat,Munstergeleen
6163LZ,1,,Leesjongenstraat,Geleen
6163LZ,2,,Leesjongenstraat,Geleen
6163LZ,3,,Leesjongenstraat,Geleen
6163LZ,4,,Leesjongenstraat,Geleen
6163LZ,5,,Leesjongenstraat,Geleen
6163LZ,6,,Leesjongenstraat,Geleen
6163LZ,7,,Leesjongenstraat,Geleen
6163LZ,8,,Leesjongenstraat,Geleen
6163LZ,9,,Leesjongenstraat,Geleen
6163LZ,10,,Leesjongenstraat,Geleen
6163LZ,11,,Leesjongenstraat,Geleen
6163LZ,12,,Leesjongenstraat,Geleen
6163LZ,13,,Leesjongenstraat,Geleen
6163LZ,14,,Leesjongenstraat,Geleen
6163LZ,15,,Leesjongenstraat,Geleen
6163LZ,17,,Leesjongenstraat,Geleen
6164VS,1,,Leeuwenhoekstraat,Geleen
6164VX,2,,Leeuwenhoekstraat,Geleen
6164VS,3,,Leeuwenhoekstraat,Geleen
6163AX,29,,Lindenlaan,Geleen
6163AZ,30,,Lindenlaan,Geleen
6163AX,31,,Lindenlaan,Geleen
6163AZ,32,,Lindenlaan,Geleen
6163AX,33,,Lindenlaan,Geleen
6163AZ,34,,Lindenlaan,Geleen
6163AX,35,,Lindenlaan,Geleen
6163AZ,36,,Lindenlaan,Geleen
6163AX,37,,Lindenlaan,Geleen
6163AZ,38,,Lindenlaan,Geleen
6163AX,39,,Lindenlaan,Geleen
6163AZ,40,,Lindenlaan,Geleen
6163AX,41,,Lindenlaan,Geleen
6163AZ,42,,Lindenlaan,Geleen
6163AX,43,,Lindenlaan,Geleen
6163AZ,44,,Lindenlaan,Geleen
6163AX,45,,Lindenlaan,Geleen
6163AZ,46,,Lindenlaan,Geleen
6163AX,47,,Lindenlaan,Geleen
6163AZ,48,,Lindenlaan,Geleen
6163AX,49,,Lindenlaan,Geleen
6163AX,51,,Lindenlaan,Geleen
6163AX,53,,Lindenlaan,Geleen
6163AX,55,,Lindenlaan,Geleen
6163AX,57,,Lindenlaan,Geleen
6163AX,59,,Lindenlaan,Geleen
6163AX,61,,Lindenlaan,Geleen
6163AX,63,,Lindenlaan,Geleen
6163AX,65,,Lindenlaan,Geleen
6127CX,1,,Lindenstraat,Grevenbicht
6127CX,2,,Lindenstraat,Grevenbicht
6127CX,3,,Lindenstraat,Grevenbicht
6127CX,4,,Lindenstraat,Grevenbicht
6127CX,5,,Lindenstraat,Grevenbicht
6127CX,6,,Lindenstraat,Grevenbicht
6127CX,7,,Lindenstraat,Grevenbicht
6127CX,8,,Lindenstraat,Grevenbicht
6127CX,9,,Lindenstraat,Grevenbicht
6127CX,10,,Lindenstraat,Grevenbicht
6127CX,11,,Lindenstraat,Grevenbicht
6127CX,12,,Lindenstraat,Grevenbicht
6127CX,13,,Lindenstraat,Grevenbicht
6127CX,15,,Lindenstraat,Grevenbicht
6127CX,17,,Lindenstraat,Grevenbicht
