2911EG,17,,Hunze,Nieuwerkerk aan den IJssel
2912BJ,8,,Van 't Hoffstraat,Nieuwerkerk aan den IJssel
2912NG,56,,de Linde,Nieuwerkerk aan den IJssel
2912AD,2,,John F Kennedyplantsoen,Nieuwerkerk aan den IJssel
2912SL,34,,Singel,Nieuwerkerk aan den IJssel
2914XB,18,,Korstmos,Nieuwerkerk aan den IJssel
2912SB,23,,Batavierlaan,Nieuwerkerk aan den IJssel
2911RE,151,,Wolga,Nieuwerkerk aan den IJssel
2911GA,80,,Gouwe,Nieuwerkerk aan den IJssel
2911GA,84,,Gouwe,Nieuwerkerk aan den IJssel
2911EN,36,,Vecht,Nieuwerkerk aan den IJssel
2911EM,39,,Vecht,Nieuwerkerk aan den IJssel
2911EP,42,,Vecht,Nieuwerkerk aan den IJssel
2911EP,50,,Vecht,Nieuwerkerk aan den IJssel
2911EP,54,,Vecht,Nieuwerkerk aan den IJssel
2911EM,59,,Vecht,Nieuwerkerk aan den IJssel
2911EP,64,,Vecht,Nieuwerkerk aan den IJssel
2912RC,2,,de Iep,Nieuwerkerk aan den IJssel
2912RC,7,,de Iep,Nieuwerkerk aan den IJssel
2914BC,32,,Dalkruid,Nieuwerkerk aan den IJssel
2914BD,33,,Dalkruid,Nieuwerkerk aan den IJssel
2912RG,66,,de Meidoorn,Nieuwerkerk aan den IJssel
2912NH,1,,de Populier,Nieuwerkerk aan den IJssel
2912NH,8,,de Populier,Nieuwerkerk aan den IJssel
2912NH,11,,de Populier,Nieuwerkerk aan den IJssel
2912NH,12,,de Populier,Nieuwerkerk aan den IJssel
2912NH,13,,de Populier,Nieuwerkerk aan den IJssel
2912NH,14,,de Populier,Nieuwerkerk aan den IJssel
2912NH,16,,de Populier,Nieuwerkerk aan den IJssel
2912NH,21,,de Populier,Nieuwerkerk aan den IJssel
2912NH,25,,de Populier,Nieuwerkerk aan den IJssel
2912NH,26,,de Populier,Nieuwerkerk aan den IJssel
2912NH,31,,de Populier,Nieuwerkerk aan den IJssel
2912NH,36,,de Populier,Nieuwerkerk aan den IJssel
2912NJ,43,,de Populier,Nieuwerkerk aan den IJssel
2912NJ,49,,de Populier,Nieuwerkerk aan den IJssel
2912NJ,53,,de Populier,Nieuwerkerk aan den IJssel
2914BW,10,,Penningkruid,Nieuwerkerk aan den IJssel
2914BW,14,,Penningkruid,Nieuwerkerk aan den IJssel
2914BW,16,,Penningkruid,Nieuwerkerk aan den IJssel
2914BX,17,,Penningkruid,Nieuwerkerk aan den IJssel
2914BX,18,,Penningkruid,Nieuwerkerk aan den IJssel
2914BX,20,,Penningkruid,Nieuwerkerk aan den IJssel
2914CE,27,,Lupineveld,Nieuwerkerk aan den IJssel
2914CE,36,,Lupineveld,Nieuwerkerk aan den IJssel
2912GG,12,,Luxemburgsezoom,Nieuwerkerk aan den IJssel
2912GG,14,,Luxemburgsezoom,Nieuwerkerk aan den IJssel
2911RG,158,,Schelde,Nieuwerkerk aan den IJssel
2911HG,44,,Seine,Nieuwerkerk aan den IJssel
2914EA,46,,Eendendaal,Nieuwerkerk aan den IJssel
2914PG,16,,Ereprijsveld,Nieuwerkerk aan den IJssel
