9675KH,1,,Vossenburcht,Winschoten
9685CA,25,,Scheepsmeter,Blauwestad
9672BP,7,,Kartonbaan,Winschoten
9685CD,1,,Kievit,Blauwestad
9685CD,3,,Kievit,Blauwestad
9679HM,31,,Langeweg,Scheemda
9675RJ,1,,Refter,Winschoten
9671GX,17,,Olieslagersstraat,Winschoten
9675CL,29,,J. van Galenlaan,Winschoten
9675CL,31,,J. van Galenlaan,Winschoten
9675CL,33,,J. van Galenlaan,Winschoten
9675CL,35,,J. van Galenlaan,Winschoten
9675CL,37,,J. van Galenlaan,Winschoten
9675CL,39,,J. van Galenlaan,Winschoten
9675CL,41,,J. van Galenlaan,Winschoten
9675CL,43,,J. van Galenlaan,Winschoten
9685AB,18,,Meerkoet,Blauwestad
9685HB,21,,Anholt,Blauwestad
9685CB,10,,Misthoorn,Blauwestad
9675RK,6,,Brouwhuis,Winschoten
9685CA,12,,Scheepsmeter,Blauwestad
9685AP,1,,Dwinger,Blauwestad
9685AP,3,,Dwinger,Blauwestad
9685AP,5,,Dwinger,Blauwestad
9685AP,7,,Dwinger,Blauwestad
9685AP,9,,Dwinger,Blauwestad
9685AP,11,,Dwinger,Blauwestad
9685AP,13,,Dwinger,Blauwestad
9685AP,15,,Dwinger,Blauwestad
9685AP,17,,Dwinger,Blauwestad
9685AP,19,,Dwinger,Blauwestad
9685AP,21,,Dwinger,Blauwestad
9685AP,23,,Dwinger,Blauwestad
9685AP,25,,Dwinger,Blauwestad
9685AP,27,,Dwinger,Blauwestad
9685AP,29,,Dwinger,Blauwestad
9685AP,31,,Dwinger,Blauwestad
9685AP,33,,Dwinger,Blauwestad
9685AP,35,,Dwinger,Blauwestad
9685AP,37,,Dwinger,Blauwestad
9685AP,39,,Dwinger,Blauwestad
9685AP,41,,Dwinger,Blauwestad
9685AP,43,,Dwinger,Blauwestad
9685AP,45,,Dwinger,Blauwestad
9685AP,47,,Dwinger,Blauwestad
9685AP,49,,Dwinger,Blauwestad
9685AP,51,,Dwinger,Blauwestad
9685AN,22,,Handelskade,Blauwestad
9685AN,23,,Handelskade,Blauwestad
9685AN,24,,Handelskade,Blauwestad
9685AN,25,,Handelskade,Blauwestad
9685AN,26,,Handelskade,Blauwestad
9685AN,27,,Handelskade,Blauwestad
9685AN,28,,Handelskade,Blauwestad
9685AN,29,,Handelskade,Blauwestad
9685AN,30,,Handelskade,Blauwestad
9685AN,31,,Handelskade,Blauwestad
9679VA,26,,Grotelant,Scheemda
