2941XH,7,,Koninginneweg,Lekkerkerk
2872BD,10,,Patrijshof,Schoonhoven
2872BD,12,,Patrijshof,Schoonhoven
2931LD,9,,Zaag,Krimpen aan de Lek
2872BD,13,,Patrijshof,Schoonhoven
2872AH,16,,Eksterstraat,Schoonhoven
2872AH,18,,Eksterstraat,Schoonhoven
2872AH,20,,Eksterstraat,Schoonhoven
2872AH,22,,Eksterstraat,Schoonhoven
2872AH,24,,Eksterstraat,Schoonhoven
2872AH,26,,Eksterstraat,Schoonhoven
2872AH,28,,Eksterstraat,Schoonhoven
2872AH,30,,Eksterstraat,Schoonhoven
2941ES,51,,Burgemeester van der Willigenstraat,Lekkerkerk
2872BD,1,,Patrijshof,Schoonhoven
2821LW,4,,Slingerkade,Stolwijk
2861BE,1,,Fransekade,Bergambacht
2872BD,2,,Patrijshof,Schoonhoven
2941DA,9,,Tiendweijde,Lekkerkerk
2953LB,9,,Zijdepark,Ouderkerk aan den IJssel
2935BB,12,,Burgemeester Neetstraat,Ouderkerk aan den IJssel
2821ZN,31,,Groenhove,Stolwijk
2821ZN,33,,Groenhove,Stolwijk
2821BN,5,,Buitenom,Stolwijk
2821BN,7,,Buitenom,Stolwijk
2821BN,9,,Buitenom,Stolwijk
2821BN,11,,Buitenom,Stolwijk
2821BN,13,,Buitenom,Stolwijk
2821BN,15,,Buitenom,Stolwijk
2821BN,17,,Buitenom,Stolwijk
2871BP,10,,Korte Weistraat,Schoonhoven
2872BD,17,,Patrijshof,Schoonhoven
2821BN,3,,Buitenom,Stolwijk
2872ZS,10,,Goudstraat,Schoonhoven
2872ZS,12,,Goudstraat,Schoonhoven
2872ZX,12,,Platinastraat,Schoonhoven
2861LN,3,,Molenhofje,Bergambacht
2861EZ,2,,'t Hooge Zand,Bergambacht
2851AL,1,,Palingdreef,Haastrecht
2941ER,41,01,Tiendweg-West,Lekkerkerk
2825AK,26,,Westeinde,Berkenwoude
2821XR,17,,Bankstate,Stolwijk
2821XR,15,,Bankstate,Stolwijk
2821XX,64,,Bovenkerkseweg,Stolwijk
2872AR,2,,De Snip,Schoonhoven
